Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
320-U1334C-1H-1-A,320,U1334,C,1,1-1,H,1,A,0,150,0.0,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 6/4,,,,,,
320-U1334C-1H-1-A,320,U1334,C,1,1-1,H,1,A,0,150,0.0,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarian,Clay with radiolarian,70,soft,10YR 4/2,,,,,,
320-U1334C-1H-2-A,320,U1334,C,1,1-2,H,2,A,0,150,1.5,3.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 6/4,,,,,,
320-U1334C-1H-2-A,320,U1334,C,1,1-2,H,2,A,0,150,1.5,3.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarian,Clay with radiolarian,70,soft,10YR 4/2,,,,,,
320-U1334C-1H-3-A,320,U1334,C,1,1-3,H,3,A,0,150,3.0,4.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 6/4,,,,,,
320-U1334C-1H-3-A,320,U1334,C,1,1-3,H,3,A,0,150,3.0,4.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarian,Clay with radiolarian,70,soft,10YR 4/2,,,,,,
320-U1334C-1H-4-A,320,U1334,C,1,1-4,H,4,A,0,150,4.5,6.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 6/4,,,,,,
320-U1334C-1H-4-A,320,U1334,C,1,1-4,H,4,A,0,150,4.5,6.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarian,Clay with radiolarian,70,soft,10YR 4/2,,,,,,
320-U1334C-1H-5-A,320,U1334,C,1,1-5,H,5,A,0,150,6.0,7.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarian,Clay with radiolarian,100,soft,10YR 2/2,,,,,,
320-U1334C-1H-6-A,320,U1334,C,1,1-6,H,6,A,0,150,7.5,9.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarian,Clay with radiolarian,100,soft,10YR 2/2,,,,,,
