Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
323-U1344D-1H-1-A,323,U1344,D,1,1-1,H,1,A,0,70,0.0,0.7,diatom ooze,Leg 323,,diatom ooze,,soupy,5Y 4/3,,,,,,,,,,,,,,,,
323-U1344D-1H-1-A,323,U1344,D,1,1-1,H,1,A,70,150,0.7,1.5,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/3,,,,,,,,,,,,,,,,
323-U1344D-1H-2-A,323,U1344,D,1,1-2,H,2,A,0,113,1.5,2.63,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/3,,,,,,,,,,,,,,,,
323-U1344D-2H-1-A,323,U1344,D,2,2-1,H,1,A,0,21,2.7,2.91,diatom silt,Leg 323,,diatom silt,,soupy,5Y 4/3,,,,,,,,,,,,,,,,
323-U1344D-2H-1-A,323,U1344,D,2,2-1,H,1,A,21,26,2.91,2.96,diatom silt,Leg 323,,diatom silt,50.0,soupy,5Y 4/3,,,,,bioturbated,,,,,,,,,,,
323-U1344D-2H-1-A,323,U1344,D,2,2-1,H,1,A,21,26,2.91,2.96,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,50.0,soupy,5Y 4/1 ,,,,,bioturbated,,,,,,,,,,,
323-U1344D-2H-1-A,323,U1344,D,2,2-1,H,1,A,26,75,2.96,3.45,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1344D-2H-1-A,323,U1344,D,2,2-1,H,1,A,75,78,3.45,3.48,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,
323-U1344D-2H-1-A,323,U1344,D,2,2-1,H,1,A,78,82,3.48,3.52,sand [S54],,diatom-bearing,diatom-bearing sand,,soft,5Y 4/2,,,,,laminated,,,,,,,,,,,
323-U1344D-2H-1-A,323,U1344,D,2,2-1,H,1,A,82,150,3.52,4.2,diatom silt,Leg 323,,diatom silt,50.0,soft,5Y 4/2,,,,,bioturbated,,,,,,,,,,,
