Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
327-U1363C-2X-CC-A,327,U1363,C,2,2-CC,X,CC,A,0,32,170.0,170.32,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,
327-U1363C-2X-CC-A,327,U1363,C,2,2-CC,X,CC,A,32,43,170.32,170.43,,silt [S54],,silt,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-1-A,327,U1363,C,4,4-1,X,1,A,0,55,183.2,183.75,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-1-A,327,U1363,C,4,4-1,X,1,A,55,95,183.75,184.15,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",lots of forams ,,,,
327-U1363C-4X-2-A,327,U1363,C,4,4-2,X,2,A,0,11,184.7,184.81,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-2-A,327,U1363,C,4,4-2,X,2,A,11,16,184.81,184.86,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-2-A,327,U1363,C,4,4-2,X,2,A,16,48,184.86,185.18,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-2-A,327,U1363,C,4,4-2,X,2,A,48,76,185.18,185.46,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-2-A,327,U1363,C,4,4-2,X,2,A,76,95,185.46,185.65,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-2-A,327,U1363,C,4,4-2,X,2,A,95,100,185.65,185.7,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-3-A,327,U1363,C,4,4-3,X,3,A,17,51,186.37,186.71,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",upper clayey portion= CaCO3,,,,
327-U1363C-4X-3-A,327,U1363,C,4,4-3,X,3,A,51,150,186.71,187.7,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",interbedded silty clays,,,,
327-U1363C-4X-CC-A,327,U1363,C,4,4-CC,X,CC,A,0,11,187.7,187.81,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-CC-A,327,U1363,C,4,4-CC,X,CC,A,11,16,187.81,187.86,,silt [S54],,silt,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-CC-A,327,U1363,C,4,4-CC,X,CC,A,16,22,187.86,187.92,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,,,
327-U1363C-4X-CC-A,327,U1363,C,4,4-CC,X,CC,A,22,40,187.92,188.1,,silt [S54],,silt,,,,,"Shepard, 1954",,,,,
327-U1363C-5X-1-A,327,U1363,C,5,5-1,X,1,A,0,23,192.8,193.03,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,,,
