Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data
329-U1365C-1H-1-A,329.0,U1365,C,1.0,1-1,H,1,A,0.0,50.0,0.0,0.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-1H-2-A,329.0,U1365,C,1.0,1-2,H,2,A,70.0,80.0,2.2,2.3,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-1H-2-A,329.0,U1365,C,1.0,1-2,H,2,A,105.0,140.0,2.55,2.9,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-1H-3-A,329.0,U1365,C,1.0,1-3,H,3,A,70.0,150.0,3.7,4.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-1H-4-A,329.0,U1365,C,1.0,1-4,H,4,A,60.0,109.0,5.1,5.59,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-1H-CC-A,329.0,U1365,C,1.0,1-CC,H,CC,A,0.0,18.0,5.69,5.87,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-2H-1-A,329.0,U1365,C,2.0,2-1,H,1,A,0.0,43.0,6.0,6.43,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-1-A,329.0,U1365,C,3.0,3-1,H,1,A,0.0,150.0,15.5,17.0,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-2-A,329.0,U1365,C,3.0,3-2,H,2,A,10.0,20.0,17.1,17.2,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-2-A,329.0,U1365,C,3.0,3-2,H,2,A,80.0,140.0,17.8,18.4,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-3-A,329.0,U1365,C,3.0,3-3,H,3,A,0.0,10.0,18.5,18.6,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-3-A,329.0,U1365,C,3.0,3-3,H,3,A,40.0,60.0,18.9,19.1,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-3-A,329.0,U1365,C,3.0,3-3,H,3,A,70.0,100.0,19.2,19.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-3-A,329.0,U1365,C,3.0,3-3,H,3,A,120.0,150.0,19.7,20.0,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-4-A,329.0,U1365,C,3.0,3-4,H,4,A,15.0,150.0,20.15,21.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-5-A,329.0,U1365,C,3.0,3-5,H,5,A,40.0,150.0,21.9,23.0,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1365C-3H-6-A,329.0,U1365,C,3.0,3-6,H,6,A,0.0,150.0,23.0,24.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
