Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data
329-U1366C-1H-1-A,329,U1366,C,1,1-1,H,1,A,0,150,0.0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-1H-2-A,329,U1366,C,1,1-2,H,2,A,0,150,1.5,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-1H-3-A,329,U1366,C,1,1-3,H,3,A,0,150,3.0,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-1H-4-A,329,U1366,C,1,1-4,H,4,A,0,144,4.5,5.94,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-1H-CC-A,329,U1366,C,1,1-CC,H,CC,A,0,10,5.94,6.04,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-1-A,329,U1366,C,2,2-1,H,1,A,0,150,6.0,7.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-2-A,329,U1366,C,2,2-2,H,2,A,0,150,7.5,9.0,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-3-A,329,U1366,C,2,2-3,H,3,A,0,150,9.0,10.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-4-A,329,U1366,C,2,2-4,H,4,A,0,68,10.5,11.18,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-4-A,329,U1366,C,2,2-4,H,4,A,68,94,11.18,11.44,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50,,,,
329-U1366C-2H-4-A,329,U1366,C,2,2-4,H,4,A,94,150,11.44,12.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-5-A,329,U1366,C,2,2-5,H,5,A,0,150,12.0,13.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-6-A,329,U1366,C,2,2-6,H,6,A,0,150,13.5,15.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-7-A,329,U1366,C,2,2-7,H,7,A,0,34,15.0,15.34,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-2H-CC-A,329,U1366,C,2,2-CC,H,CC,A,0,14,15.34,15.48,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-1-A,329,U1366,C,3,3-1,H,1,A,0,150,15.5,17.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-2-A,329,U1366,C,3,3-2,H,2,A,0,150,17.0,18.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-3-A,329,U1366,C,3,3-3,H,3,A,0,150,18.5,20.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-4-A,329,U1366,C,3,3-4,H,4,A,0,150,20.0,21.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-5-A,329,U1366,C,3,3-5,H,5,A,0,150,21.5,23.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-6-A,329,U1366,C,3,3-6,H,6,A,0,150,23.0,24.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-7-A,329,U1366,C,3,3-7,H,7,A,0,69,24.5,25.19,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366C-3H-CC-A,329,U1366,C,3,3-CC,H,CC,A,0,16,25.19,25.35,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
,,,,,,,,,,,,,,,,,,,,,,
