Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data
329-U1369B-1H-1-A,329,U1369,B,1,1-1,H,1,A,0,150,0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-1H-2-A,329,U1369,B,1,1-2,H,2,A,0,150,1.5,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-1H-3-A,329,U1369,B,1,1-3,H,3,A,0,150,3,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-1H-4-A,329,U1369,B,1,1-4,H,4,A,0,146,4.5,5.96,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-1H-CC-A,329,U1369,B,1,1-CC,H,CC,A,0,20,5.96,6.16,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-1-A,329,U1369,B,2,2-1,H,1,A,0,150,6.2,7.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-2-A,329,U1369,B,2,2-2,H,2,A,0,150,7.7,9.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-3-A,329,U1369,B,2,2-3,H,3,A,0,150,9.2,10.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-4-A,329,U1369,B,2,2-4,H,4,A,0,150,10.7,12.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-5-A,329,U1369,B,2,2-5,H,5,A,0,150,12.2,13.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-6-A,329,U1369,B,2,2-6,H,6,A,0,150,13.7,15.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-7-A,329,U1369,B,2,2-7,H,7,A,0,66,15.2,15.86,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-2H-CC-A,329,U1369,B,2,2-CC,H,CC,A,0,25,15.86,16.11,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-3H-1-A,329,U1369,B,3,3-1,H,1,A,0,150,15.7,17.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-3H-2-A,329,U1369,B,3,3-2,H,2,A,0,38,17.2,17.58,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369B-3H-CC-A,329,U1369,B,3,3-CC,H,CC,A,0,14,17.58,17.72,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
