Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. prefix,MAJ Lith. principal name,MAJ Lith. suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. prefix,MIN Lith. principal name,MIN Lith. suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. prefix abundance plot [%],MAJ Lith. principal name abundance plot [%],Ship File Links,Shore File Links
"339-U1385B-1H-1-A, 0-101",339,U1385,B,1,1-1,H,1,A,0,101,0.0,1.01,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 4/3 (dark olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,moderate_339 ,4,,,"Dark olive foram-rich clay (nanno?), extensively bioturbated, sharp contact at the bottom.",100,100,,
"339-U1385B-1H-1-A, 101-127",339,U1385,B,1,1-1,H,1,A,101,127,1.01,1.27,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/4 (yellowish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,slight_339 ,3,,,"Yellowish-brown, foram (nanno?)-rich clay. Extensively bioturbated, Sharp bottom contact. Apparently disturbed by drilling (second movement of pipe?)",100,100,,
"339-U1385B-1H-1-A, 127-150",339,U1385,B,1,1-1,H,1,A,127,150,1.27,1.5,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 4/2 (grayish olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,"Grayish olive foram/nanno-rich clay, extensively bioturbated.",100,100,,
"339-U1385B-1H-2-A, 0-27",339,U1385,B,1,1-2,H,2,A,0,27,1.5,1.77,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (grayish olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,moderate_339 ,4,,,"Grayish olive, bioturbated, foram (nanno?) clay, sharp bottom contact (possibly chemical)",100,100,,
"339-U1385B-1H-2-A, 27-150",339,U1385,B,1,1-2,H,2,A,27,150,1.77,3.0,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,moderate_339 ,4,,,"Gray foram (nanno?) clay, extensively bioturbated, sharp bottom contact at flow-in",100,100,,
"339-U1385B-1H-3-A, 0-145",339,U1385,B,1,1-3,H,3,A,0,145,3.0,4.45,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (grayish olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,Flow is evident by vertical orientation,100,100,,
"339-U1385B-1H-4-A, 0-141",339,U1385,B,1,1-4,H,4,A,0,141,4.5,5.91,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (grayish olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,,100,100,,
"339-U1385B-1H-CC-A, 0-23",339,U1385,B,1,1-CC,H,CC,A,0,23,5.91,6.14,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (grayish olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,,100,100,,
"339-U1385B-2H-1-A, 0-150",339,U1385,B,2,2-1,H,1,A,0,150,6.1,7.6,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (grayish olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,Flow-in at margins of core. 75 and 81 cm: cracking due to water sample ,100,100,,
"339-U1385B-2H-2-A, 0-150",339,U1385,B,2,2-2,H,2,A,0,150,7.6,9.1,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,5Y 5/2 (grayish olive),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,70 and 74 cm: cracking due to water sampling.,100,100,,
