Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,0.0,2.5,0.0,0.025,,mud [Leg210],,mud ,,,,7.5YR 5/3 (brown),,,,,,,,,,,,,,,,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,2.5,14.0,0.025,0.14,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,14.0,76.0,0.14,0.76,diatom rich,mud [Leg210],,diatom rich mud ,,,,5YR 4/1 (dark gray),,,,,,,,,,,,,,colour varies between 5Y4-1 and 2.5Y3-1,,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,76.0,81.0,0.76,0.81,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,81.0,91.0,0.81,0.91,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"cottage cheese structure, a little silt",,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,91.0,97.0,0.91,0.97,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,97.0,108.0,0.97,1.08,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"soupy, individual foraminifera, Pachyderma?",,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,108.0,145.0,1.08,1.45,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417A-1H-1-A,341,U1417,A,1,1-1,H,1,A,145.0,150.0,1.45,1.5,,,,,,,,,,,,,,,,,,,,,,IW sample,,,,,
341-U1417A-1H-2-A,341,U1417,A,1,1-2,H,2,A,0.0,114.0,1.5,2.64,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,23cm rhizome sampling disturbance,,,,,
341-U1417A-1H-2-A,341,U1417,A,1,1-2,H,2,A,114.0,131.0,2.64,2.81,,mud [Leg210],,mud ,,,color banding,N 7 (light gray),none [DB86],0.0,absent [A79],,,,,,,,,,,,,,,,
341-U1417A-1H-2-A,341,U1417,A,1,1-2,H,2,A,131.0,150.0,2.81,3.0,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,color banding of light grey (N/7) with dark grey (N/4);127-131cm rhizome sampling disturbances,,,,,
341-U1417A-1H-3-A,341,U1417,A,1,1-3,H,3,A,0.0,26.0,3.0,3.26,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"thinly laminated, dark with slightly lighter coloured laminae",,,,,
341-U1417A-1H-3-A,341,U1417,A,1,1-3,H,3,A,26.0,27.0,3.26,3.27,diatom bearing,ash(tuff) [MMK88m],,diatom bearing ash(tuff) ,ash,4.0,,5YR 3/2 (dark reddish brown),,,,,,,,,,,,,,,,,,,
341-U1417A-1H-3-A,341,U1417,A,1,1-3,H,3,A,27.0,73.0,3.27,3.73,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"thinly laminated, dark with slightly lighter coloured laminae",,,,,
341-U1417A-1H-3-A,341,U1417,A,1,1-3,H,3,A,73.0,145.0,3.73,4.45,,mud [Leg210],,mud ,,,,N 7 (light gray),,,,,,,,,,,,,,"thinly laminated, lighter gray with slightly darker coloured laminae",,,,,
341-U1417A-1H-3-A,341,U1417,A,1,1-3,H,3,A,145.0,150.0,4.45,4.5,,,,,,,,,,,,,,,,,,,,,,IW sample,,,,,
341-U1417A-1H-4-A,341,U1417,A,1,1-4,H,4,A,0.0,80.0,4.5,5.3,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,"48-49cm rhizome sampling disturbance;
74-75cm black lineations
dominant N/7 color with bands of light grey (N/4)",,,,,
341-U1417A-1H-CC-A,341,U1417,A,1,1-CC,H,CC,A,0.0,13.0,5.3,5.43,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0.0,absent [A79],,,,,,,,,,,5-8cm thin black lineations,,,,,
341-U1417A-1H-CC-A,341,U1417,A,1,1-CC,H,CC,A,0.0,18.0,5.3,5.48,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1417A-2H-1-A,341,U1417,A,2,2-1,H,1,A,0.0,82.0,5.4,6.22,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,occasional lighter grey laminae (N7),,,,,
341-U1417A-2H-1-A,341,U1417,A,2,2-1,H,1,A,82.0,150.0,6.22,6.9,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],2.0,,,,,,,,,,"occasional interspersed lonestones, grain size fine sand;
occasional lighter grey laminae (N7);
darker grey spots",,,,,
341-U1417A-2H-2-A,341,U1417,A,2,2-2,H,2,A,0.0,124.0,6.9,8.14,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"occasional interspersed lonestones, grain size fine sand, occasinally medium sand; occasional lighter grey laminae (N7)",,,,,
341-U1417A-2H-2-A,341,U1417,A,2,2-2,H,2,A,124.0,145.0,8.14,8.35,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,occasional lighter grey laminae (N7),,,,,
341-U1417A-2H-2-A,341,U1417,A,2,2-2,H,2,A,145.0,150.0,8.35,8.4,,,,,,,,,,,,,,,,,,,,,,IW sample,,,,,
341-U1417A-2H-3-A,341,U1417,A,2,2-3,H,3,A,0.0,103.0,8.4,9.43,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1.0,,,,,,,,,,"intersperseed lonestones, grain size fine sand; at 41-43 cm, 1 lonestone,subrounded, diameter 2 cm, lithology argillite; ""holes' in the section surface: missing sed stuck to working half",,,,,
341-U1417A-2H-3-A,341,U1417,A,2,2-3,H,3,A,103.0,150.0,9.43,9.9,,mud [Leg210],,mud ,,,,N 7 (light gray),,,present [A79],1.0,,,,,,,,,,"lonestone imprint at 110-111 cm, clast in working half",,,,,
