Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1403B-1H-1,342,U1403,B,1,1-1,H,1,,0,150,0,1.5,foraminiferal [Leg339],clay [Leg339],,foraminiferal  clay ,7.5YR 4/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,cobble [W22_2],,,,,,,,foraminiferal   clay ,clay ,,,,,,,
342-U1403B-1H-2,342,U1403,B,1,1-2,H,2,,0,150,1.5,3,foraminiferal [Leg339],clay [Leg339],,foraminiferal  clay ,7.5YR 4/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   clay ,clay ,,,,,,,
342-U1403B-1H-3,342,U1403,B,1,1-3,H,3,,0,75,3,3.75,nannofossil [Leg339],clay [Leg339],with foraminifers [Leg339],nannofossil  clay  with foraminifers ,7.5YR 4/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with foraminifers ,,,,,,,
342-U1403B-1H-CC,342,U1403,B,1,1-CC,H,CC,,0,7,3.75,3.82,nannofossil [Leg339],clay [Leg339],with foraminifers [Leg339],nannofossil  clay  with foraminifers ,7.5YR 4/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with foraminifers ,,,,,,,
342-U1403B-2H-1,342,U1403,B,2,2-1,H,1,,0,150,3.9,5.4,nannofossil [Leg339],clay [Leg339],with foraminifers [Leg339],nannofossil  clay  with foraminifers ,10YR 5/3 (brown),,,,complete [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with foraminifers ,,,,,,,
342-U1403B-2H-2,342,U1403,B,2,2-2,H,2,,0,150,5.4,6.9,silty [Leg339],clay [Leg339],,silty  clay ,10YR 5/3 (brown),,,,complete [DB91],6,,Rare foraminifera present,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403B-2H-3,342,U1403,B,2,2-3,H,3,,0,150,6.9,8.4,silty [Leg339],clay [Leg339],,silty  clay ,10YR 5/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403B-2H-4,342,U1403,B,2,2-4,H,4,,0,150,8.4,9.9,silty [Leg339],clay [Leg339],,silty  clay ,10YR 5/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403B-2H-5,342,U1403,B,2,2-5,H,5,,0,150,9.9,11.4,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 6/2 (light brownish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403B-2H-6,342,U1403,B,2,2-6,H,6,,0,150,11.4,12.9,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 6/2 (light brownish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403B-2H-7,342,U1403,B,2,2-7,H,7,,0,71,12.9,13.61,silty [Leg339],clay [Leg339],,silty  clay ,10YR 5/2 (grayish brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403B-2H-CC,342,U1403,B,2,2-CC,H,CC,,0,27,13.61,13.92,silty [Leg339],clay [Leg339],,silty  clay ,10YR 5/2 (grayish brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
