dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
,344-U1380C-2R-1-A,344,U1380,C,2,2-1,R,1,A,0,9,438,438.09,breccia,high [drilling disturbance],6,silty,clay [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),silty  clay ,silty clay  with biogenic components ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,well [BP01],,,,,,,,,,,,
,344-U1380C-2R-1-A,344,U1380,C,2,2-1,R,1,A,9,20,438.09,438.2,breccia,high [drilling disturbance],6,,limestone [USGS],,5B 7/1 (light bluish gray),limestone ,limestone ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,well [BP01],,,,,,,,,,,,
,344-U1380C-2R-1-A,344,U1380,C,2,2-1,R,1,A,20,128,438.2,439.28,fractured,high [drilling disturbance],6,silty,clay [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),silty  clay ,silty clay  with biogenic components ,silt [W22_1],2,silt [W22_1],2,"with traces of disseminated pyrite
",,,,,,,,,well [BP01],,,moderate [B06],3,"drilling disturbance is less between 22 and 78 cm, and increased with depth to fracturing.  Bioturbation visible between 20-60 cm
",,,,,,,
,344-U1380C-2R-CC-A,344,U1380,C,2,2-CC,R,CC,A,0,19,439.28,439.47,breccia,severe [drilling disturbance],7,silty,clay [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),silty  clay ,silty clay  with biogenic components ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,well [BP01],,,,,,,,,,,,
,344-U1380C-2R-CC-A,344,U1380,C,2,2-CC,R,CC,A,19,24,439.47,439.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,
,344-U1380C-3R-1-A,344,U1380,C,3,3-1,R,1,A,0,8,447.7,447.78,fractured,moderate [drilling disturbance],4,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,silt [W22_1],2,disseminated pyrite common,,,,,,,,,well [BP01],,,moderate [B06],3,,,,,,,,
,344-U1380C-3R-1-A,344,U1380,C,3,3-1,R,1,A,8,14,447.78,447.84,fractured,high [drilling disturbance],6,calcareous,silt [USGS],,5GY 4/1 (dark greenish gray),calcareous  silt ,calcareous silt ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,well [BP01],,,absent [B06],0,,,,,,,,
,344-U1380C-3R-1-A,344,U1380,C,3,3-1,R,1,A,14,150,447.84,449.2,fractured,moderate [drilling disturbance],4,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,silt [W22_1],2,disseminated pyrite common,,,,,,,,,well [BP01],,,moderate [B06],3,,,,,,,,
,344-U1380C-3R-2-A,344,U1380,C,3,3-2,R,2,A,0,124,449.2,450.44,fractured,high [drilling disturbance],6,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,silt [W22_1],2,disseminated pyrite common,,,,,,,,,well [BP01],,,moderate [B06],3,,,,,,,,
,344-U1380C-3R-2-A,344,U1380,C,3,3-2,R,2,A,124,125,450.44,450.45,fractured,high [drilling disturbance],6,,limestone [USGS],,5G 6/1 (greenish gray),limestone ,limestone ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,well [BP01],,,absent [B06],0,,,,,,,,
,344-U1380C-3R-2-A,344,U1380,C,3,3-2,R,2,A,125,130,450.45,450.5,fractured,high [drilling disturbance],6,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,silt [W22_1],2,disseminated pyrite common,,,,,,,,,well [BP01],,,moderate [B06],3,,,,,,,,
,344-U1380C-3R-3-A,344,U1380,C,3,3-3,R,3,A,0,114,450.5,451.64,fractured,high [drilling disturbance],6,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,silt [W22_1],2,"disseminated pyrite common, pyrite  vein at 62-63 cm depth",,,,,,,,,well [BP01],,,moderate [B06],3,"lower section let in place, little affected by drilling disturbance",,,,,,,
,344-U1380C-3R-3-A,344,U1380,C,3,3-3,R,3,A,114,144,451.64,451.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1380C-3R-4-A,344,U1380,C,3,3-4,R,4,A,0,82,451.94,452.76,fractured,high [drilling disturbance],6,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,silt [W22_1],2,"disseminated pyrite common

",,,,,,,,,well [BP01],,,moderate [B06],3,,,,,,,,
,344-U1380C-3R-4-A,344,U1380,C,3,3-4,R,4,A,82,100,452.76,452.94,fractured,high [drilling disturbance],6,calcareous,silt [USGS],,10GY 4/1 (dark greenish gray),calcareous  silt ,calcareous silt ,silt [W22_1],2,silt [W22_1],2,"very little carbonate, not homogenous in layer",,,,,,,,,well [BP01],,,sparse [B06],1,,,,,,,,
,344-U1380C-3R-4-A,344,U1380,C,3,3-4,R,4,A,100,113,452.94,453.07,fractured,high [drilling disturbance],6,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,silt [W22_1],2,"""disseminated pyrite common",,,,,,,,,well [BP01],,,moderate [B06],3,,,,,,,,
,344-U1380C-3R-4-A,344,U1380,C,3,3-4,R,4,A,113,126,453.07,453.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1380C-3R-5-A,344,U1380,C,3,3-5,R,5,A,0,34,453.2,453.54,fractured,moderate [drilling disturbance],4,silty,clay [USGS],,10GY 3/1 (very dark greenish gray),silty  clay ,silty clay ,silt [W22_1],2,silt [W22_1],2,disseminated pyrite common,,,,,,,,,well [BP01],,,slight,,"drilling disturbance slight in upper part of section
",,,,,,,
,344-U1380C-3R-5-A,344,U1380,C,3,3-5,R,5,A,34,36,453.54,453.56,fractured,high [drilling disturbance],6,,sandstone [USGS],,10GY 4/1 (dark greenish gray),sandstone ,sandstone ,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,well [BP01],,,absent [B06],0,,,,,,,,
,344-U1380C-3R-5-A,344,U1380,C,3,3-5,R,5,A,36,72,453.56,453.92,fractured,moderate [drilling disturbance],4,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,,,dissmeninated pyrite common,,,,,,,,,well [BP01],,,slight [B06],2,"drilling disturbance intensifies in lower part of section, high between 80-97 cm
",,,,,,,
,344-U1380C-3R-5-A,344,U1380,C,3,3-5,R,5,A,72,75,453.92,453.95,,,,,sandstone [USGS],,,sandstone,sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1380C-3R-5-A,344,U1380,C,3,3-5,R,5,A,75,111,453.95,454.31,fractured,moderate [drilling disturbance],4,clayey,silt [USGS],,10GY 3/1 (very dark greenish gray),clayey  silt ,clayey silt ,silt [W22_1],2,,,dissmeninated pyrite common,,,,,,,,,well [BP01],,,slight [B06],2,"drilling disturbance intensifies in lower part of section, high between 80-97 cm
",,,,,,,
,344-U1380C-3R-5-A,344,U1380,C,3,3-5,R,5,A,111,150,454.31,454.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1380C-3R-6-A,344,U1380,C,3,3-6,R,6,A,0,118,454.7,455.88,fractured,moderate to high [drilling disturbance],5,silty,clay [USGS],,10GY 3/1 (very dark greenish gray),silty  clay ,silty clay ,silt [W22_1],2,silt [W22_1],2,disseminated pyrite,,,,,,,,,well [BP01],,,slight [B06],2,drilling disturbance intensifies with increasing section depth and is high in the lower part,,,,,,,
,344-U1380C-3R-7-A,344,U1380,C,3,3-7,R,7,A,0,57,455.88,456.45,fractured,slight to moderate [drilling disturbance],3,silty,clay [USGS],with biogenic components [Leg339],10GY 3/1 (very dark greenish gray),silty  clay ,silty clay  with biogenic components ,silt [W22_1],2,fine sand [W22_2],4,"rare disseminated pyrite, disseminated sand-sized biogenic and other components",,,,,,,,,well [BP01],,,slight [B06],2,,,,,,,,
,344-U1380C-3R-CC-A,344,U1380,C,3,3-CC,R,CC,A,0,5,456.45,456.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,all to PAL,,,,,,,
