Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1426A-1H-1-A,0.0,150.0,0.0,1.5,diatom rich,clay ,,diatom rich clay ,,,,,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,diatom rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,1,H,1,A
346-U1426A-1H-2-A,0.0,21.0,1.5,1.71,diatom rich,clay ,,diatom rich clay ,,,,,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,diatom rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,1,H,2,A
346-U1426A-1H-2-A,21.0,26.0,1.71,1.76,,tephra ,,tephra ,,,,lens or pod ,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,Ash is disseminated into small patches.,,,,,,,,,,,,,,,,,,,346,U1426,A,1,H,2,A
346-U1426A-1H-2-A,26.0,57.0,1.76,2.07,diatom rich,clay ,,diatom rich clay ,,,,,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,diatom rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,1,H,2,A
346-U1426A-1H-2-A,57.0,64.0,2.07,2.14,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,1,H,2,A
346-U1426A-1H-2-A,64.0,83.0,2.14,2.33,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,1,H,2,A
346-U1426A-1H-CC-A,0.0,14.0,2.33,2.47,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,1,H,CC,A
346-U1426A-2H-1-A,0.0,60.0,2.5,3.1,,clay ,,clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,1,A
346-U1426A-2H-1-A,60.0,77.0,3.1,3.27,,tephra ,,tephra ,vitric,,,normal grading,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,1,A
346-U1426A-2H-1-A,77.0,133.0,3.27,3.83,,clay ,,clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,1,A
346-U1426A-2H-1-A,133.0,150.0,3.83,4.0,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,1,A
346-U1426A-2H-2-A,0.0,28.0,4.0,4.28,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,28.0,31.0,4.28,4.31,,tephra ,,tephra ,pumice,,,,N 8 (white),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,31.0,32.0,4.31,4.32,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,32.0,38.0,4.32,4.38,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,38.0,47.0,4.38,4.47,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,47.0,57.0,4.47,4.57,,silty clay ,,silty clay ,,,,mottling ,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,57.0,70.0,4.57,4.7,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,70.0,93.0,4.7,4.93,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,lamination,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,93.0,116.0,4.93,5.16,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
346-U1426A-2H-2-A,116.0,150.0,5.16,5.5,foraminifer rich,silty clay ,,foraminifer rich silty clay ,,,,,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,foraminifer rich  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,2,H,2,A
