Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1435A-3R-CC-A,0,5,19.4,19.45,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,,GLEY 1 6/5GY (greenish gray),very slightly consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,well [BP01],,,"The residue is only a black manganese nodule. However, the core consists mainly of nannofossil-rich clay, and all other goes to paleo group (PAL). The nodule is strongly weathered.",,,,,,,,,,,,,,,,1.0,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,3,R,CC,A
349-U1435A-4R-1-A,0,23,26.3,26.53,foraminifer rich,nannofossil ooze [Leg339],,foraminifer rich  nannofossil ooze ,foraminifer rich nannofossil ooze ,,10YR 6/4 (light yellowish brown),very slightly consolidated [B84],silt [W22_1],2.0,fine sand [W22_2],4.0,well [BP01],,,,,,,,,,,,,,,,medium bed [B01],lamination,slight [DB86],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,4,R,1,A
349-U1435A-4R-CC-A,0,5,26.59,26.64,foraminifer rich,nannofossil ooze [Leg339],,foraminifer rich  nannofossil ooze ,foraminifer rich nannofossil ooze ,,10YR 6/4 (light yellowish brown),very slightly consolidated [B84],silt [W22_1],2.0,fine sand [W22_2],4.0,well [BP01],,,,,,,,,,,,,,,,medium bed [B01],lamination,slight [DB86],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,4,R,CC,A
349-U1435A-4R-CC-A,13,18,26.72,26.77,foraminifer rich,nannofossil ooze [Leg339],,foraminifer rich  nannofossil ooze ,foraminifer rich nannofossil ooze ,,10YR 6/4 (light yellowish brown),very slightly consolidated [B84],silt [W22_1],2.0,fine sand [W22_2],4.0,well [BP01],,,,,,,,,,,,,,,,,lamination,slight [DB86],1.0,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,4,R,CC,A
349-U1435A-5R-1-A,0,22,36.0,36.22,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,1,A
349-U1435A-5R-1-A,22,37,36.22,36.37,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100.0,GLEY 1 6/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderately well [BP01],,,,,,,,,,100.0,,,,planar,horizontal,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,1,A
349-U1435A-5R-1-A,37,103,36.37,37.03,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,planar,horizontal,thick bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,1,A
349-U1435A-5R-1-A,103,122,37.03,37.22,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100.0,GLEY 1 6/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderately well [BP01],,,,,,,,,,100.0,,,,planar,horizontal,medium bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,1,A
349-U1435A-5R-1-A,122,145,37.22,37.45,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,,,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,1,A
349-U1435A-5R-2-A,0,11,37.5,37.61,,clay [Leg339],with silt [Leg339],clay ,clay  with silt ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,thin bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,2,A
349-U1435A-5R-2-A,11,42,37.61,37.92,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 6/5GY (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,2,A
349-U1435A-5R-2-A,42,82,37.92,38.32,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,thick bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,2,A
349-U1435A-5R-2-A,82,98,38.32,38.48,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 6/5GY (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,planar,horizontal,medium bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,2,A
349-U1435A-5R-2-A,98,128,38.48,38.78,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,,,thick bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,2,A
349-U1435A-5R-3-A,0,17,38.78,38.95,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,medium bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,3,A
349-U1435A-5R-3-A,17,35,38.95,39.13,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 6/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,3,A
349-U1435A-5R-3-A,35,69,39.13,39.47,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,100.0,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [2014],,,,,,,,,,100.0,,,,,,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,3,A
349-U1435A-5R-CC-A,0,16,39.47,39.63,clayey [Leg339],claystone [Leg339],,clayey   claystone ,clayey  claystone ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],fine sand [W22_2],4.0,medium sand [W22_2],5.0,moderate [2014],,,,,,,,,,,,,,,,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,5,R,CC,A
349-U1435A-6R-1-A,0,11,45.7,45.81,silty [Leg339],clay [Leg339],,silty   clay ,silty  clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,1,A
