Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
353-U1445B-1H-1-A,0,145,0,1.45,,,clay,,clay,clay,clay,,brown,2.5Y 3/2 (very dark grayish brown),,,,,,,,,,,,,Brown (2.5Y 3/3) coloration in the uppermost ~10 cm potentially related to oxygenation,,,,353,U1445,B,1,H,1,A,,,,
353-U1445B-1H-2-A,0,125,1.5,2.75,,,clay,,clay,clay,clay,,brown,2.5Y 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,353,U1445,B,1,H,2,A,,,,
353-U1445B-1H-3-A,0,74,3,3.74,,,clay,,clay,clay,clay,,brown,2.5Y 3/2 (very dark grayish brown),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,1,H,3,A,,,,
353-U1445B-1H-3-A,74,133,3.74,4.33,,,clay,,clay,clay,clay,,gray,2.5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1445,B,1,H,3,A,,,,
353-U1445B-1H-CC-A,0,3,4.38,4.41,,bioclastic,sand,with foraminifers,bioclastic sand,bioclastic sand with foraminifers,sand with foraminifers,,gray,2.5Y 5/1 (gray),,,,thin bed,normally graded,,,,mottling,Turbidite,,,,,,,353,U1445,B,1,H,CC,A,,,,
353-U1445B-1H-CC-A,3,15,4.41,4.53,,,clay,,clay,clay,clay,,gray,5Y 3/1 (very dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,B,1,H,CC,A,,,,
353-U1445B-2H-1-A,0,26,4.5,4.76,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 3/1 (very dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,1,A,,,,
353-U1445B-2H-1-A,26,27,4.76,4.77,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,1,A,,,,
353-U1445B-2H-1-A,27,93,4.77,5.43,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 3/1 (very dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,1,A,,,,
353-U1445B-2H-1-A,93,94,5.43,5.44,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,1,A,,,,
353-U1445B-2H-1-A,94,130,5.44,5.8,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,1,A,,,,
353-U1445B-2H-2-A,0,41,6,6.41,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,41,43,6.41,6.43,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),planar,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,43,112,6.43,7.12,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,112,114,7.12,7.14,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,114,115,7.14,7.15,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,115,117,7.15,7.17,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,117,129,7.17,7.29,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,129,130,7.29,7.3,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-2-A,130,145,7.3,7.45,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,2,A,,,,
353-U1445B-2H-3-A,0,9,7.5,7.59,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,3,A,,,,
353-U1445B-2H-3-A,9,10,7.59,7.6,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),irregular,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,3,A,,,,
353-U1445B-2H-3-A,10,104,7.6,8.54,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,3,A,,,,
353-U1445B-2H-3-A,104,106,8.54,8.56,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),planar,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,3,A,,,,
353-U1445B-2H-3-A,106,121,8.56,8.71,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),gradational,,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,3,A,,,,
353-U1445B-2H-3-A,121,122,8.71,8.72,,bioclastic,sand,,bioclastic sand,bioclastic sand,sand,,gray,2.5Y 5/2 (grayish brown),planar,sharp,,very thin bed,normally graded,,,,,Turbidite,,,Very coarse sand - shells visible,,,,353,U1445,B,2,H,3,A,,,,
353-U1445B-2H-3-A,122,135,8.72,8.85,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,2.5Y 4/1 (dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,3,A,,,,
353-U1445B-2H-4-A,0,8,9,9.08,,biosilica rich,clay,with nannofossils,biosilica rich clay,biosilica rich clay with nannofossils,clay with nannofossils,,gray,5Y 3/1 (very dark gray),planar,sharp,,,,,,,mottling,,,,,,,,353,U1445,B,2,H,4,A,,,,
353-U1445B-2H-4-A,8,9,9.08,9.09,,foraminifer rich,sand,with foraminifers,foraminifer rich sand,foraminifer rich sand,sand,,gray,2.5Y 5/2 (grayish brown),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1445,B,2,H,4,A,,,,
