Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
354-U1450A-1H-1-A,0,19,0.0,0.19,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,light brown,bioturbated,sub-horizontal,,,,H,,,,,,,,,,354,U1450,A,1,H,1,A
354-U1450A-1H-1-A,19,66,0.19,0.66,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,dark gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1450,A,1,H,1,A
354-U1450A-1H-1-A,66,108,0.66,1.08,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1450,A,1,H,1,A
354-U1450A-1H-1-A,108,141,1.08,1.41,,foraminifer rich,calcareous clay [Leg210],,foraminifer rich calcareous clay,foraminifer rich calcareous clay,calcareous clay,,light gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1450,A,1,H,1,A
354-U1450A-1H-1-A,141,150,1.41,1.5,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,,,,,,H,,mottling [BJ80],,,,,,,,354,U1450,A,1,H,1,A
354-U1450A-1H-2-A,0,9,1.5,1.59,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1450,A,1,H,2,A
354-U1450A-1H-2-A,9,27,1.59,1.77,,,volcanic ash [MMK88],with nannofossils [2014],volcanic ash,volcanic ash with nannofossils,volcanic ash with nannofossils,,light gray,bioturbated,sub-horizontal,,,,A,vitric,normally graded,,,,,,,,354,U1450,A,1,H,2,A
354-U1450A-1H-2-A,27,34,1.77,1.84,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1450,A,1,H,2,A
354-U1450A-1H-2-A,34,59,1.84,2.09,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp irregular,sub-vertical,,,,H,,,,,,,,,,354,U1450,A,1,H,2,A
354-U1450A-1H-2-A,59,65,2.09,2.15,,,volcanic ash [MMK88],with nannofossils [2014],volcanic ash,volcanic ash with nannofossils,volcanic ash with nannofossils,,gray,sharp irregular,sub-vertical,,,,A,,,,,,,,,,354,U1450,A,1,H,2,A
