Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1454C-1H-1-A,0,24,0,0.24,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1454C-1H-1-A,24,150,0.24,1.5,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,indurated layer 27-30 cm,,,
354-U1454C-1H-2-A,0,150,1.5,3,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,black color banding 130-145 cm,,,
354-U1454C-1H-3-A,0,96,3,3.96,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,black color banding; silty layer 77-79 cm; black organic spot at 61 cm,,,
354-U1454C-1H-CC-A,0,11,3.96,4.07,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,,,,,,,,
354-U1454C-2H-1-A,0,69,4.1,4.79,,,clay [Leg210],,clay,clay,clay,,gray,gradational,sub-horizontal,,,,,,,,,,clayey silt layer at 59-62 cm,,,
354-U1454C-2H-1-A,69,80,4.79,4.9,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,normally graded,,,,,,,
354-U1454C-2H-1-A,80,119,4.9,5.29,,,clay [Leg210],,clay,clay,clay,,gray,gradational,sub-horizontal,,,,,,,,,,,,,
354-U1454C-2H-1-A,119,138,5.29,5.48,,,silt [Leg210],with mica,silt,silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,normally graded,,,,,,,
354-U1454C-2H-1-A,138,150,5.48,5.6,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,
