Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
359-U1472A-1H-1-A,0,118,0.0,1.18,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,4.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE. medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid and shell fragments are common and organic matter is present.",,,,359,U1472,A,1,H,1,A,,,,
359-U1472A-1H-2-A,0,144,1.18,2.62,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,4.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE. medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid and shell fragments are common and organic matter is present.",,,,359,U1472,A,1,H,2,A,,,,
359-U1472A-1H-3-A,0,96,2.68,3.64,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,1,H,3,A,,,,
359-U1472A-1H-3-A,96,150,3.64,4.18,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,6.0,,gradational,horizontal,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,1,H,3,A,,,,
359-U1472A-1H-4-A,0,75,4.18,4.93,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,1,H,4,A,,,,
359-U1472A-1H-CC-A,0,9,4.93,5.02,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,1,H,CC,A,,,,
359-U1472A-2H-1-A,0,150,5.2,6.7,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,2,H,1,A,,,,
359-U1472A-2H-2-A,0,150,6.7,8.2,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,2,H,2,A,,,,
359-U1472A-2H-3-A,0,150,8.2,9.7,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,2,H,3,A,,,,
359-U1472A-2H-4-A,0,145,9.7,11.15,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,2,H,4,A,,,,
359-U1472A-2H-5-A,0,150,11.2,12.7,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,2,H,5,A,,,,
359-U1472A-2H-6-A,0,35,12.7,13.05,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud-lean PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, otoliths, echinoid and shell fragments are common and organic matter are present.",,,,359,U1472,A,2,H,6,A,,,,
359-U1472A-2H-6-A,35,118,13.05,13.88,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich mud-lean PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, otoliths, echinoid and shell fragments are common and organic matter are present.",,,,359,U1472,A,2,H,6,A,,,,
359-U1472A-2H-7-A,0,60,13.88,14.48,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich mud-lean PACKSTONE to GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid and shell fragments are common and organic matter is present.",,,,359,U1472,A,2,H,7,A,,,,
359-U1472A-2H-CC-A,0,14,14.48,14.62,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich mud-lean PACKSTONE to GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid and shell fragments are common and organic matter is present.",,,,359,U1472,A,2,H,CC,A,,,,
359-U1472A-3H-1-A,0,150,14.7,16.2,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,3,H,1,A,,,,
359-U1472A-3H-2-A,0,150,16.2,17.7,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,3,H,2,A,,,,
359-U1472A-3H-3-A,0,150,17.7,19.2,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,3,H,3,A,,,,
359-U1472A-3H-4-A,0,145,19.2,20.65,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,3,H,4,A,,,,
359-U1472A-3H-5-A,0,138,20.7,22.08,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud-lean PACKSTONE to GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid and shell fragments are common and organic matter is present.",,,,359,U1472,A,3,H,5,A,,,,
359-U1472A-3H-5-A,138,150,22.08,22.2,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich mud-lean PACKSTONE to GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, Halimeda plates, Pteropods, Otoliths, Echinoid and shell fragments are common and organic matter is present.",,,,359,U1472,A,3,H,5,A,,,,
359-U1472A-3H-6-A,0,142,22.2,23.62,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,3,H,6,A,,,,
359-U1472A-3H-7-A,0,53,23.62,24.15,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,common,4.0,,,,"Unlithified planktic foraminifera-rich GRAINSTONE to mud-lean PACKSTONE. Medium- to fine-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,3,H,7,A,,,,
359-U1472A-3H-CC-A,0,13,24.15,24.28,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,common,4.0,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium- to fine-grained, moderately sorted. Planktic foraminifera are abundant. Benthic foraminifera and organic matter are present.",,,,359,U1472,A,3,H,CC,A,,,,
359-U1472A-4H-1-A,0,14,24.2,24.34,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, shell fragments and otoliths are present.",,,,359,U1472,A,4,H,1,A,,,,
359-U1472A-4H-1-A,14,24,24.34,24.44,planktic foraminifer rich,rudstone,6,planktic foraminifer rich rudstone,unlithified,1,2.5Y 6/2 (light brownish gray),granule,8,foraminifera (planktic),,foraminifera (benthic),,,,intraclast,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich RUDSTONE. Granular-grained. Planktic foraminifera are abundant. Benthic foraminifera, shell fragments and otoliths are present.",,,,359,U1472,A,4,H,1,A,,,,
359-U1472A-4H-1-A,24,34,24.44,24.54,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, shell fragments and otoliths are present.",,,,359,U1472,A,4,H,1,A,,,,
359-U1472A-4H-1-A,34,45,24.54,24.65,planktic foraminifer rich,rudstone,6,planktic foraminifer rich rudstone,unlithified,1,2.5Y 6/2 (light brownish gray),granule,8,foraminifera (planktic),,foraminifera (benthic),,,,intraclast,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich RUDSTONE. Granular-grained. Planktic foraminifera are abundant. Benthic foraminifera, shell fragments and otoliths are present.",,,,359,U1472,A,4,H,1,A,,,,
359-U1472A-4H-1-A,45,104,24.65,25.24,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,,,"Unlithified planktic foraminifera-rich GRAINSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera, shell fragments and otoliths are present.",,,,359,U1472,A,4,H,1,A,,,,
