Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1498B-2R-1-01,0,6.0,9.5,9.56,I,,,,,,,serpentinized,harzburgite,,serpentinized harzburgite,GLEY 2 2.5/10B (bluish black),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,2,R,1,0
366-U1498B-2R-CC-A,0,27.0,9.6,9.87,I,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 5/5B (bluish gray),,,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,,,,,366,U1498,B,2,R,CC,A
366-U1498B-3R-1-01,0,4.0,19.2,19.24,I,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 2.5/5BG (greenish black),,,,,,,5x3 cm large clast of (fully?) serpentinized ultramafic rock with no visible crystals. It features sub-mm white serpentine veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,3,R,1,0
366-U1498B-3R-1-02,0,4.5,19.24,19.285,I,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 2.5/5BG (greenish black),,,,,,,4x4 cm large clast of (fully?) serpentinized ultramafic rock with no visible crystals. It features sub-mm white serpentine veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,3,R,1,0
366-U1498B-3R-1-03,0,3.0,19.285,19.315,I,,,,,,,serpentinized,harzburgite,clast,serpentinized harzburgite clast,GLEY 2 3/5BG (very dark greenish gray),,,,,,,2x1.5 cm large clast of serpentinized harzburgite with 20% Opx or bastite. It features sub-mm white and green serpentine veins and vein planes towards the sides.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,3,R,1,0
366-U1498B-3R-1-04,0,4.5,19.315,19.36,I,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 2.5/5BG (greenish black),,,,,,,6x3 cm large clast of (fully?) serpentinized ultramafic rock with no visible crystals. It features sub-mm white serpentine veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,3,R,1,0
366-U1498B-3R-1-05,0,11.5,19.36,19.475,I,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 2.5/5BG (greenish black),,,,,,,Five pebble-sized (3-5 cm) and several sub-cm clasts of (fully?) serpentinized ultramafic rock with no visible crystals. They feature sub-mm white serpentine veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,3,R,1,0
366-U1498B-3R-1-06,0,9.0,19.475,19.565,I,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 4/5PB (dark bluish gray),,consolidated,clay,1,clay,1,,well,,,,,,,,,,,,,,,,,,,serpentine clay matrix,well,,Mud has some lighter bluish and white lamaellae and may resemble a former ultramafic rock clast.,,,,366,U1498,B,3,R,1,0
366-U1498B-3R-1-07,0,3.0,19.565,19.595,I,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 2.5/5BG (greenish black),,,,,,,3x3 cm large clast of (fully?) serpentinized ultramafic rock with no visible crystals. It features multiple veins with gray halos which are crosscut by later mm to sub-mm white serpentine veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,3,R,1,0
366-U1498B-3R-1-08,0,10.5,19.595,19.7,I,,,,,,,serpentinized,ultramafic rock,clast,serpentinized ultramafic rock clast,GLEY 2 2.5/5BG (greenish black),,,,,,,10x5 cm large clast of (fully?) serpentinized ultramafic rock with no visible crystals. It features multiple veins with gray halos which are crosscut by later mm to sub-mm white serpentine veins.,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1498,B,3,R,1,0
