Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
367-U1500B-2R-1-A,0.0,136.0,846.0,847.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,367,U1500,B,2,R,1,A
367-U1500B-2R-2-A,0.0,150.0,847.36,848.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,367,U1500,B,2,R,2,A
367-U1500B-2R-3-A,0.0,150.0,848.86,850.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,367,U1500,B,2,R,3,A
367-U1500B-2R-4-A,0.0,97.0,850.36,851.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drilling mud,,,,,367,U1500,B,2,R,4,A
367-U1500B-2R-4-A,97.0,136.0,851.33,851.72,,claystone [Leg339],,claystone,claystone,,7.5YR 3/1 (very dark gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,,,very thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,2,R,4,A
367-U1500B-2R-5-A,0.0,147.0,851.72,853.19,,claystone [Leg339],,claystone,claystone,,7.5YR 3/1 (very dark gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,,,very thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,2,R,5,A
367-U1500B-2R-6-A,0.0,115.0,853.19,854.34,,claystone [Leg339],,claystone,claystone,,7.5YR 3/1 (very dark gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,,,very thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,2,R,6,A
367-U1500B-2R-CC-A,0.0,20.0,854.34,854.54,,claystone [Leg339],,claystone,claystone,,7.5YR 3/2 (dark brown),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,,,very thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,2,R,CC,A
367-U1500B-4R-1-A,0.0,9.0,864.7,864.79,,sandstone [Leg339],,sandstone,sandstone,,GLEY 1 5/10GY (greenish gray),lithified [B84],fine sand [W22_2],4,coarse sand [W22_2],6,moderate [2014],,,,,,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,1,A
367-U1500B-4R-1-A,9.0,41.0,864.79,865.11,,claystone [Leg339],with nannofossils [2014],claystone,claystone with nannofossils,,10YR 4/2 (dark grayish brown),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,bioturbated,,,lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,1,A
367-U1500B-4R-1-A,41.0,45.0,865.11,865.15,,nannofossil chalk [Leg339],,nannofossil chalk,nannofossil chalk,,GLEY 1 6/N (gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,planar,,,cross-lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,1,A
367-U1500B-4R-1-A,45.0,144.0,865.15,866.14,,claystone [Leg339],with silt [2014],claystone,claystone with silt,,10YR 4/2 (dark grayish brown),lithified [B84],clay [W22_1],1,fine sand [W22_2],4,well [2014],,,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,1,A
367-U1500B-4R-2-A,0.0,59.0,866.14,866.73,,claystone [Leg339],,claystone,claystone,,10YR 4/2 (dark grayish brown),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,bioturbated,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,2,A
367-U1500B-4R-2-A,59.0,63.0,866.73,866.77,calcareous rich,claystone [Leg339],,calcareous rich claystone,calcareous rich claystone,,GLEY 1 4/10Y (dark greenish gray),lithified [B84],clay [W22_1],1,fine sand [W22_2],4,well [2014],,,,bioturbated,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,2,A
367-U1500B-4R-2-A,63.0,87.0,866.77,867.01,,claystone [Leg339],,claystone,claystone,,10YR 4/2 (dark grayish brown),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,bioturbated,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,2,A
367-U1500B-4R-2-A,87.0,90.0,867.01,867.04,foraminifer rich,sandstone [Leg339],,foraminifer rich sandstone,foraminifer rich sandstone,,GLEY 1 5/10Y (greenish gray),lithified [B84],fine sand [W22_2],4,medium sand [W22_2],5,well [2014],,,,bioturbated,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,2,A
367-U1500B-4R-2-A,90.0,101.0,867.04,867.15,,claystone [Leg339],,claystone,claystone,,10YR 4/2 (dark grayish brown),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,planar,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,B,4,R,2,A
