Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
369-U1514A-1H-1-A,0,7,0.0,0.07,,,,,,foraminiferal ooze,,foraminiferal ooze,,,10YR 8/3 (very pale brown),,,,structureless,,fine sand ,4,,,,,,sharp boundary or contact,curved,sharp,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,369,U1514,A,1,H,1,A,,,,
369-U1514A-1H-1-A,7,57,0.07,0.57,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,,sharp boundary or contact,curved,sharp,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,1,A,,,,
369-U1514A-1H-1-A,57,67,0.57,0.67,,,,,,foraminiferal ooze,,foraminiferal ooze,,,10YR 8/3 (very pale brown),,,,structureless,,fine sand ,4,,,,,,sharp boundary or contact,curved,sharp,,,,,,,foraminiferal ooze,foraminiferal ooze,,,,369,U1514,A,1,H,1,A,,,,
369-U1514A-1H-1-A,67,150,0.67,1.5,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,,,,,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,1,A,,,,
369-U1514A-1H-2-A,0,78,1.5,2.28,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,"Intervals with dark gray clay are common in the section, with Fe-Mn oxides.",gradational boundary or contact,planar,gradational,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,2,A,,,,
369-U1514A-1H-2-A,78,150,2.28,3.0,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,"Intervals with dark gray clay are common in the section, with Fe-Mn oxides.",gradational boundary or contact,planar,gradational,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,2,A,,,,
369-U1514A-1H-3-A,0,17,3.0,3.17,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,,gradational boundary or contact,planar,gradational,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,3,A,,,,
369-U1514A-1H-3-A,17,90,3.17,3.9,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,"Intervals with dark gray clay are common in the section, with Fe-Mn oxides.",gradational boundary or contact,planar,gradational,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1514,A,1,H,3,A,,,,
369-U1514A-1H-3-A,90,145,3.9,4.45,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,,,,,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,3,A,,,,
369-U1514A-1H-4-A,0,150,4.5,6.0,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,,,,,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,4,A,,,,
369-U1514A-1H-5-A,0,122,6.0,7.22,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,10YR 8/2 (very pale brown),,,,structureless,,clay ,1,,,,,,,,,,,,,,,nannofossil ooze,nannofossil ooze with sponge spicules,,,,369,U1514,A,1,H,5,A,,,,
