Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
375-U1519C-2R-1-A,0,150,108,109.5,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured. Some silt layers are still recognizable but neither the base of the layer nor the original thickness can be estimated.,,,,375,U1519,C,2,R,1,A,
375-U1519C-2R-2-A,15,55,109.65,110.05,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured. Some silt layers are still recognizable but neither the base of the layer nor the original thickness can be estimated.,,,,375,U1519,C,2,R,2,A,
375-U1519C-2R-3-A,0,120,110.34,111.54,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured. Some silt layers are still recognizable but neither the base of the layer nor the original thickness can be estimated.,,,,375,U1519,C,2,R,3,A,
375-U1519C-2R-CC-A,0,15,111.54,111.69,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured. Some silt layers are still recognizable but neither the base of the layer nor the original thickness can be estimated.,,,,375,U1519,C,2,R,CC,A,
375-U1519C-3R-1-A,0,11.8,115.6,115.718,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured.,,,,375,U1519,C,3,R,1,A,
375-U1519C-3R-1-A,24.5,48,115.845,116.08,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured.,,,,375,U1519,C,3,R,1,A,
375-U1519C-4R-1-A,0,112.8,125.2,126.328,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured.,,,,375,U1519,C,4,R,1,A,
375-U1519C-4R-1-A,132.65,150,126.527,126.7,,,mudstone,,mudstone,mudstone,mudstone,n 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured.,,,,375,U1519,C,4,R,1,A,
375-U1519C-4R-2-A,24,149,126.94,128.19,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured. Some silt layers are still recognizable but neither the base of the layer nor the original thickness can be estimated.,,,,375,U1519,C,4,R,2,A,
375-U1519C-4R-3-A,0,113,128.19,129.32,,,mudstone,,mudstone,mudstone,mudstone,N 4 (dark gray),,,,,,consolidated,,,,,,,,,,,,,,Mud with variable amounts of silt. Section is pervasively disturbed by drilling so that all sedimentary structures are obscured. Some silt layers are still recognizable but neither the base of the layer nor the original thickness can be estimated.,,,,375,U1519,C,4,R,3,A,
