Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
375-U1520D-1H-1-A,0,151.0,0.0,1.51,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 19, 48, 71, 132, and 145 cm. Silt pod at 111-114 cm. Ash layer at 119 cm.",,,,375,U1520,D,1,H,1,A,,,
375-U1520D-1H-2-A,0,142.0,1.51,2.93,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt (ranging from mud to silt) and mud layers with normal grading. Silt layers at 25 (mud), 52 (mud), 67, 74, 82, 102, and 135 cm. Finer grained layers are distinguished by a slightly darker color which grades into the background color of the mud.",,,,375,U1520,D,1,H,2,A,,,
375-U1520D-1H-3-A,0,15.0,3.03,3.18,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt (ranging from mud to silt) and mud layers with normal grading. Silt layer at 14 (right above ash).,,,,375,U1520,D,1,H,3,A,,,
375-U1520D-1H-3-A,15,30.0,3.18,3.33,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5YR 7/1 (light gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,well [2014],parallel bedding,,,,,,,,,,,Ash layer grading into background mud.,,,,375,U1520,D,1,H,3,A,,,
375-U1520D-1H-3-A,30,102.0,3.33,4.05,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt (ranging from mud to silt) and mud layers with normal grading. Silt layers at 51 (mud), 68, 82, 97 cm. Finer grained layers are distinguished by a slightly darker color which grades into the background color of the mud.",,,,375,U1520,D,1,H,3,A,,,
375-U1520D-1H-3-A,102,127.0,4.05,4.3,,,mud,,mud,mud,mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating layers, but this layer is much finer grained than the surroundin silt layers. It is distinguished based on color.",,,,375,U1520,D,1,H,3,A,,,
375-U1520D-1H-3-A,127,151.0,4.3,4.54,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,,,,,,,,,,,,,,,"Alternating silt and mud layers, but no distinct beds in this inerval of the section.",,,,375,U1520,D,1,H,3,A,,,
375-U1520D-1H-4-A,0,119.0,4.54,5.73,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 20, 29 (disturbed), 36, 50, 56, 65, 84 (distributed silt pods around, likely sheared during drilling), and 100 cm. Ash pod at 21 cm.",,,,375,U1520,D,1,H,4,A,,,
375-U1520D-1H-CC-A,0,15.0,5.73,5.88,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 20, 29 (disturbed), 36, 50, 56, 65, 84 (distributed silt pods around, likely sheared during drilling), and 100 cm. Ash pod at 21 cm.",,,,375,U1520,D,1,H,CC,A,,,
375-U1520D-2H-1-A,0,92.0,6.0,6.92,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 10, 31, 40, 46, 58, 67, and 77 cm. Light gray ash layer at 17 cm.",,,,375,U1520,D,2,H,1,A,,,
375-U1520D-2H-1-A,92,104.0,6.92,7.04,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Very fine sand with normal grading.,,,,375,U1520,D,2,H,1,A,,,
375-U1520D-2H-1-A,104,150.0,7.04,7.5,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 116 and 137 cm.,,,,375,U1520,D,2,H,1,A,,,
