Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data
320-U1331B-1H-6,320,U1331,B,1,1-6,H,6,,,38,40,7.88,7.9,,C,M,3,,R,R,,R,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,L ELONGATA,
320-U1331B-1H-6-W 38/40,320,U1331,B,1,1-6,H,6,W,38/40,0,0,7.88,7.88,mid RP22,C,M,3,,R,R,,R,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,L ELONGATA,
320-U1331B-1H-CC,320,U1331,B,1,1-CC,H,CC,,,0,0,9.77,9.77,,C,M,3,R,R,R,,R,R,,,,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,L ELONGATA,
320-U1331B-1H-CC-PAL-RADS,320,U1331,B,1,1-CC,H,CC,PAL,RADS,0,0,10.07,10.07,mid RP22,,,,,,,,,,vR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,L ELONGATA,
320-U1331B-2H-CC,320,U1331,B,2,2-CC,H,CC,,,0,0,19.74,19.74,,C,M,1,R,R,,,,R,R,,,,C,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,
320-U1331B-2H-CC-PAL-RADS,320,U1331,B,2,2-CC,H,CC,PAL,RADS,0,0,20.11,20.11,RP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
320-U1331B-3H-CC,320,U1331,B,3,3-CC,H,CC,,,0,0,29.18,29.18,,A,M,2,,R,,,,,,,,,,,,,,,,,,,,R,R,vR,,R,R,R,,F,R,R,,,R,,R,,,R,,,,,,,,,,,,,,,,,,
320-U1331B-3H-CC-PAL-RADS,320,U1331,B,3,3-CC,H,CC,PAL,RADS,0,0,29.52,29.52,RP19,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,R,,,,
320-U1331B-4H-CC,320,U1331,B,4,4-CC,H,CC,,,0,0,38.94,38.94,,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,R,R,R,,R,R,R,,,R,,R,R,R,R,F,,F,,R,R,,R,,,,R,R,,,R,,
320-U1331B-4H-CC-PAL-RADS,320,U1331,B,4,4-CC,H,CC,PAL,RADS,0,0,39.15,39.15,RP18,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,,,,,,,,,,R,,,R,,,,,,,,,,,
320-U1331B-5H-CC-PAL-RADS,320,U1331,B,5,5-CC,H,CC,PAL,RADS,0,0,48.08,48.08,RP17,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,R,,,R,R,?,,,,,,vR,R,,R,vR,,R,R,R,,,,,,,,R,,
