Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus macintyrei,Catinaster coalitus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Florisphaera profunda,Helicosphaera carteri,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera sibogae,Comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
349-U1435A-2R-CC-PAL-NANNO,0,1,9.7,9.71,NN21 [G12],M [P33],A [A12],C,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,A,F,,,,,,,,,,F,,,,,F,,F,,,,349,U1435,A,2,R,CC,PAL,NANNO,
349-U1435A-3R-CC-PAL-NANNO,0,1,19.43,19.44,NN15 [G12],G [P33],A [A12],F,C,,,,,,,,,,,C,,,,,,,,,,,A,,,R,,F,,R,R,A,R,F,,,,C,A,A,F,,C,,,,,F,,F,,,,349,U1435,A,3,R,CC,PAL,NANNO,
349-U1435A-3R-CC-W 2/3-TPCK1     ,0,1,19.42,19.43,NN7 [G12],M,A [A12],F,F,,F,F,F,A,F,,,,,,,,C,F,,,F,,F,,,,,,C,,,,F,F,R,,,,,R,C,C,,,,,C,,C,,,,,,,349,U1435,A,3,R,CC,W,2/3-TPCK1,
349-U1435A-4R-CC-PAL-NANNO,0,6,26.65,26.71,NN6 [G12],M [P33],A [A12],,F,,F,A,F,A,F,,,,,,,,C,F,,,F,,F,,,,,,C,,,,F,F,F,,,,,F,C,C,,,,F,C,,C,,,,overgrown discoasters; good preservation of non-discoasters,,,349,U1435,A,4,R,CC,PAL,NANNO,
349-U1435A-5R-CC-PAL-NANNO,0,6,39.62,39.68,NP25 [G12],M [P33],A [A12],F,,,F,F,F,C,,,,,,,,,C,,,,,,,,,,,,C,,,,F,,,,,,F,R,C,C,R,R,,,,,,,,,medium Reticulofenestra sp. = R. bisecta,,,349,U1435,A,5,R,CC,PAL,NANNO,
349-U1435A-6R-CC-PAL-NANNO,0,5,49.25,49.3,NP24 [G12],M [P33],A [A12],F,,,F,F,F,C,,,,,,,,,F,,,,,,,,,,,,F,,,,F,,,,,,,,F,C,,,,,,,F,,,,medium Reticulofenestra sp. = R. bisecta; reworked F. tympaniformis,,,349,U1435,A,6,R,CC,PAL,NANNO,
349-U1435A-7R-CC-PAL-NANNO,0,6,59.54,59.6,NP23 [G12],G [P33],A [A12],,,,F,F,F,C,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,R,,C,,,,,,,,C,,,,medium Reticulofenestra sp. = R. bisecta (<10microns); large Reticulofenestra sp. = R. stavensis (closed central area; >10microns); Blackites sp. = Blackites tenuis,,,349,U1435,A,7,R,CC,PAL,NANNO,
349-U1435A-8R-CC-PAL-NANNO,0,6,71.55,71.61,NP22 [G12],G [P33],A [A12],,,,F,C,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,C,C,,,,,F,,F,,,, large Reticulofenestra sp. = R. stavensis (closed central area; >10microns),,,349,U1435,A,8,R,CC,PAL,NANNO,
349-U1435A-9R-1-W 69/73-NANNO10   ,0,4,75.49,75.53,NP21 [G12],G [P33],A [A12],,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,349,U1435,A,9,R,1,W,69/73-NANNO10,
349-U1435A-9R-2-W 132/136-NANNO11   ,0,4,77.62,77.66,NP21 [G12],M [P33],F [A12],,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,349,U1435,A,9,R,2,W,132/136-NANNO11,
