Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age minimum [Ma],Datum age average [Ma],Datum age maximum [Ma],Datum occurrence,Zone name (short),Zone name,Zone author (year),Zone group,Type (upper zone),Genus/species (upper zone),Type (lower zone),Genus/species lower zone),Zone status,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Agglutinated spp. (indeterminate),Amphicoryna scalaris,Anomalinoides globulosus,Bolivina pusilla,Bolivina robusta,Bolivinita quadrilatera,Bulimina aculeata,Bulimina barbata,Bulimina sp.,Bulimina striata gr.,Cassidulina carinata,Cassidulina sp.,Chrysalogonium tenuicostatum,Chilostomella oolina,Cibicides bradyi,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundulus,Cibicidoides renzi,Cibicidoides sp.,Cyclammina trullissata,Dentalina communis,Eggerella bradyi,Ehrenbergina pacifica,Epistominella exigua,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Gavelinopsis lobatulus,Globobulimina affinis,Globocassidulina subglobosa,Globogyroidina boninensis,Gyroidinoides neosoldanii,Hoeglundina elegans,Karreriella bradyi,Laticarinina pauperata,Lagena sp.,Lenticulina rotulata,Lenticulina sp. ,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Nonionella sp.,Nodosaria longiscata,Nuttallides umbonifera,Oridorsalis umbonatus,Oolina globosa,Parafissurina sp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella brevis,Pleurostomella sp. A,Pseudonodosaria sp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyrgo lucernula,Pyrgo murrhina,Pyrgo sp.,Quinqueloculina lamarckiana,Quinqueloculina sp.,Recurvoides sp.,Rhabdammina? sp.,"Rhizammina sp. (Kaiho, 1992)",Rhizammina sp.,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Tosaia hanzawai,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispida,Uvigerina hispidocostata,Uvigerina senticosa,Uvigerina sp.,File Data,Shore File Links
350-U1437B-1H-CC-PAL-FORAM,350,U1437,B,1,1-CC,H,CC,PAL,FORAM,0,5,5.23,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,52 specimens on 1/8 split,,,,,,,D [A42],,,,A [A42],,,,,,R [A42],,,,,,,R [A42],,,,,,,,,,,R [A42],,,,,,,,,F [A42],,,,,A [A42],,,,,,,,F [A42],,,,,F [A42],,,,,,,,,,,,,,,R [A42],,,A [A42],,,,
350-U1437B-2H-CC-PAL-FORAM,350,U1437,B,2,2-CC,H,CC,PAL,FORAM,0,5,14.53,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,on 1/8 split,,,,,,,,,,,,,,,,P [A42],,,,,,,,R [A42],,,,R [A42],,,,,,,,F [A42],,,,,,,,F [A42],R [A42],,,,R [A42],,,,,,R [A42],,R [A42],,,,,R [A42],,,,,,,,,,,,,,,R [A42],,,A [A42],,,,
350-U1437B-3H-CC-PAL-FORAM,350,U1437,B,3,3-CC,H,CC,PAL,FORAM,0,5,24.39,24.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,1/8 76 specimens,,,,,,,D [A42],,,,R [A42],,,,R [A42],R [A42],,,,,,,,,,,,R [A42],,,,,,,,A [A42],,,,,,,,F [A42],R [A42],,,,R [A42],,,,,,,,,,,,,R [A42],,,,,,,,,R [A42],,,,,,R [A42],R [A42],,A [A42],,,,
350-U1437B-4H-CC-PAL-FORAM48,350,U1437,B,4,4-CC,H,CC,PAL,FORAM48   ,0,5,32.99,33.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,1/8 37 specimens,,,,,,,,F [A42],,R [A42],R [A42],,,,,R [A42],R [A42],,,,,,,F [A42],,,,,,,,F [A42],R [A42],,,R [A42],,,R [A42],,,,,,F [A42],,,,F [A42],,,,,,,,,R [A42],,,,A [A42],,,,,,,,,R [A42],,,,,,,,,,F [A42],,,
350-U1437B-5H-CC-PAL-FORAM,350,U1437,B,5,5-CC,H,CC,PAL,FORAM,0,5,42.4,42.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no benthic in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-6H-CC-PAL-FORAM,350,U1437,B,6,6-CC,H,CC,PAL,FORAM,0,5,52.96,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,24 specimen in 1/8,,,,,,,,F [A42],,R [A42],F [A42],,,,F [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A42],A [A42],,,,F [A42],,,,,,,,,F [A42],,,,R [A42],,,,,,,,R [A42],R [A42],,,,,,,,,,,,,
350-U1437B-7H-CC-PAL-FORAM,350,U1437,B,7,7-CC,H,CC,PAL,FORAM,0,5,62.36,62.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,47 specimens,,,,,,,R [A42],,,R [A42],R [A42],,,,,R [A42],,,,,,,,R [A42],R [A42],,,R [A42],,,,,R [A42],,,A [A42],,,,,,,,A [A42],,,,,A [A42],R [A42],R [A42],,,,,,A [A42],,,,,F [A42],,,,,,,,,,,,,,,R [A42],R [A42],,R [A42],,,,
350-U1437B-8H-CC-PAL-FORAM,350,U1437,B,8,8-CC,H,CC,PAL,FORAM,0,5,71.7,71.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,42 specimens in 1/2 split.,A [A42],,,,,,R [A42],R [A42],R [A42],,,,,,R [A42],F [A42],,,,,,,,,,,,,R [A42],,,,,,,A [A42],,,,,,,,,R [A42],,,,A [A42],R [A42],R [A42],,,,,,R [A42],R [A42],R [A42],R [A42],,,,,,,,,,,R [A42],,,,,,,,,R [A42],R [A42],,,
350-U1437B-9H-CC-PAL-FORAM,350,U1437,B,9,9-CC,H,CC,PAL,FORAM,0,5,79.62,79.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero specimens in whole sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-10H-CC-PAL-FORAM,350,U1437,B,10,10-CC,H,CC,PAL,FORAM,0,5,89.58,89.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 specimens in 1/2 split.,,,,,,,,,,R [A42],,F [A42],,,,R [A42],,,,,,,,F [A42],,,,,,F [A42],,,A [A42],,R [A42],F [A42],,,,,,,,A [A42],F [A42],,,,R [A42],F [A42],,,,,,,F [A42],,A [A42],,,,,,,,,,,,R [A42],,,,,,,R [A42],,A [A42],R [A42],,,
350-U1437B-11F-CC-PAL-FORAM,350,U1437,B,11,11-CC,F,CC,PAL,FORAM,0,5,94.11,94.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A10],,,,115 specimens in 1/2 plit. Some very large (>2mm) specimens of Pyrgo murrhina.,,,R [A42],,,,,,,R [A42],,P [A42],,,R [A42],R [A42],,,,,,,,R [A42],,,,,P [A42],,,R [A42],R [A42],,P [A42],F [A42],,P [A42],,,,,,F [A42],R [A42],,,,A [A42],,,,,,,,R [A42],,,,R [A42],A [A42],P [A42],,,,,,,,R [A42],,,,P [A42],,P [A42],A [A42],,F [A42],,,,
350-U1437B-12F-CC-PAL-FORAM,350,U1437,B,12,12-CC,F,CC,PAL,FORAM,0,5,98.9,98.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],F [A10],,,,36 specimens in 1/4 split.,,,,,,,,,,R [A42],,,,,F [A42],,,,,,,,,R [A42],,,,,R [A42],,,,F [A42],,,A [A42],,,,,R [A42],,,F [A42],R [A42],,,,F [A42],,,,,,,R [A42],R [A42],,F [A42],,,,,,,,,,,,A [A42],,,,,,,F [A42],,,,,,
350-U1437B-12F-CC-PAL-FORAM,350,U1437,B,12,12-CC,F,CC,PAL,FORAM,0,5,98.9,98.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-13F-CC-PAL-FORAM,350,U1437,B,13,13-CC,F,CC,PAL,FORAM,0,5,102.04,102.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,25 specimens in 1/2 split.,R [A42],,,,,,,,,R [A42],R [A42],,,,A [A42],,,,R [A42],,,,,,,,,,R [A42],,R [A42],,,,R [A42],,,,,,,,,A [A42],,,,,A [A42],,,,,,R [A42],R [A42],R [A42],,,,,F [A42],,,,,,,,,F [A42],,,,,,,,R [A42],,,,,
350-U1437B-14F-CC-PAL-FORAM,350,U1437,B,14,14-CC,F,CC,PAL,FORAM,0,5,106.95,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,31 specimens.,,,,,,,R [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A42],,,,,,,,F [A42],,,,,F [A42],,,,,,,,,,R [A42],,,,,,,,,,,,F [A42],,,F [A42],A [A42],,,R [A42],R [A42],A [A42],,,,
350-U1437B-15F-CC-PAL-FORAM,350,U1437,B,15,15-CC,F,CC,PAL,FORAM,0,5,111.65,111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,37 specimen in 1/2 split,,,,,,,,,,,A [A42],,,,,,,,,,,,,R [A42],,,,,,F [A42],,R [A42],F [A42],,,F [A42],,,,,,,,A [A42],R [A42],,,,A [A42],,R [A42],,,,,,R [A42],F [A42],F [A42],,,F [A42],,,,,,,,,,,,,F [A42],,,,,F [A42],,,,
350-U1437B-17F-CC-PAL-FORAM,350,U1437,B,17,17-CC,F,CC,PAL,FORAM,0,5,121.22,121.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,7 specimens in 1/8,,,,,,,,,,,,,,A [A42],,,,,,,,,,A [A42],,,A [A42],,,,,,,,,,,,,,,A [A42],,A [A42],,,,,A [A42],,,,,,,,A [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-18F-CC-PAL-FORAM,350,U1437,B,18,18-CC,F,CC,PAL,FORAM,0,5,125.75,125.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,9 specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A42],,,,,,,,A [A42],,,,,,,,,,,,,A [A42],,,,,,,,,,,,,,,,,,,,F [A42],,,A [A42],,,,
350-U1437B-19F-CC-PAL-FORAM,350,U1437,B,19,19-CC,F,CC,PAL,FORAM,0,5,130.54,130.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-20F-CC-PAL-FORAM,350,U1437,B,20,20-CC,F,CC,PAL,FORAM,0,4,135.17,135.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,27 specimens in 1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A42],,,,,,,
350-U1437B-21F-CC-PAL-FORAM,350,U1437,B,21,21-CC,F,CC,PAL,FORAM,0,5,137.58,137.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27specimens in whole sample,,,,,,,,,,,R [A42],,,,,,,,,,,,,R [A42],,,,,,,,,D [A42],,,,,,,,,,,R [A42],,,R [A42],,A [A42],,R [A42],,,,,,,R [A42],,,,,,,,,,,,,,,,,,,,,,,F [A42],,,
350-U1437B-22F-CC-PAL-FORAM,350,U1437,B,22,22-CC,F,CC,PAL,FORAM,0,5,142.58,142.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,19 specimens,,,,,,,,,,,,,,,,A [A42],,,,,,,,,,,,F [A42],,,,F [A42],,,,,,,,,,,A [A42],,,,,,,,,,,,,,A [A42],,,,,,,,,,,,,,,,,,A [A42],,,,,A [A42],,,,
