Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1464B-1H-CC-PAL-NANNO,0,5,2.21,2.26,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,R,,,F,,,,,,,356,U1464,B,1,H,CC,PAL,NANNO
356-U1464B-2H-CC-PAL-NANNO,0,5,11.46,11.51,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,A,C,,R,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,356,U1464,B,2,H,CC,PAL,NANNO
356-U1464B-4H-CC-PAL-NANNO,0,5,30.77,30.82,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,C,,R,R,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,356,U1464,B,4,H,CC,PAL,NANNO
356-U1464B-5H-CC-PAL-NANNO,0,5,40.52,40.57,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,C,,R,F,,R,,,,,,,,R,,,,,,C,C,,,,,F,,,,,,,,R,,,,,,,,,R,,,,F,,,,,,,356,U1464,B,5,H,CC,PAL,NANNO
356-U1464B-6H-CC-PAL-NANNO,0,7,49.75,49.82,,,G,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,P,,R,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,F,,,,R,,,,,,R,,,R,,,,,,,356,U1464,B,6,H,CC,PAL,NANNO
356-U1464B-7H-CC-PAL-NANNO,0,5,59.41,59.46,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G,C,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,P,,C,C,,,,P,R,,,,R,,,,F,,,,R,,,P,,P,F,,,,,,,,,,356,U1464,B,7,H,CC,PAL,NANNO
356-U1464B-8H-CC-PAL-NANNO,0,5,69.09,69.14,,,M,C,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,coarse micrite grains,,,,356,U1464,B,8,H,CC,PAL,NANNO
356-U1464B-10H-CC-PAL-NANNO,0,5,88.12,88.17,NN17,"NN17 - Discoaster pentaradiatus (Gradstein et al., 2012)",G,C,,,F,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,C,,,,,R,,,,,,,,R,,,,R,,,,,,R,,,,,,,,,,356,U1464,B,10,H,CC,PAL,NANNO
356-U1464B-11H-CC-PAL-NANNO,0,5,97.37,97.42,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,C,,,R,,,,,,,,,,,,,,R,,,,,,,P,P,,,R,,,R,,,,,,,,,,,,,,,,,,,,,C,C,,P,,P,R,,,,R,,,,F,,,,R,,,,,P,R,,,,,,,,,,356,U1464,B,11,H,CC,PAL,NANNO
356-U1464B-12H-CC-PAL-NANNO,0,5,106.87,106.92,,,M,A,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,P,,V,V,,F,,,,,,,F,,,,C,,,,C,,,,,F,C,,,,,,,,,,356,U1464,B,12,H,CC,PAL,NANNO
