Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Group Preservation,Group Abundance,Unknown taxa,Exotic,Comments,Dinocysts,Foraminiferal test linings,Prasinophytes,Acritarchs,Sporomorphs,Black woody phytoclasts,Brown woody phytoclasts,Fungal spores,Insect remains,Amorphous organic matter,Areoligera-Glaphyrocysta Cpx.,Batiacasphaera spp.,Cleistosphaeridium spp.,Cordosphaeridium Cpx.,Cribroperidinioids,Dapsilidinium spp.,Enneadocysta Cpx.,Goniodomids,Impagidinium spp.,Lingulodinium spp.,Nematosphaeropsis spp.,Operculodinium spp.,Spiniferites Cpx.,Deflandrea spp. type phosphoritica,Deflandrea spp. endemics,Other P-cysts,Protoperidinioids,Senegalinium Cpx.,Vozzhennikovia-Spinidinium Cpx.,Achilleodinium biformoides,Achomosphaera alcicornu,Achomosphaera andalousiensis,Adnatosphaeridium multispinosum,Adnatosphaeridium vittanum,Alterbidinium? distinctum,Amiculosphaera umbraculum,Apectodinium augustum,Apectodinium homomorphum,Apteodinium australiense,Apteodinium spiridoides,Arachnodinium antarcticum,Areoligera circumsenonensis,Areoligera gippingensis,Areoligera semicirculata,Areosphaeridium diktyoplokum,Artemisiocysta cladodichotoma,Ataxiodinium choane,Ataxiodinium confusum,Axiodinium prearticulatum,Barssidinium evangelineae,Barssidinium graminosum,Barssidinium pliocenicum,Barssidinium spp.,Batiacasphaera micropapillata,Biconidinium longissimum,Cannosphaeropsis passio,Carpatella cornuta,Cerebrocysta bartonensis,Cerebrocysta poulsenii,Cerebrocysta waipawaensis,Cerodinium diebelii,Cerodinium glabrum,Cerodinium wardenense,Cerodinium speciosum,Charlesdowniea clathrata,Charlesdowniea columna,Charlesdowniea coleothrypta,Charlesdowniea crassiramosa,Charlesdowniea edwardsii,Chichaouadinium vestitum,Chiropteridium galea,Cleistosphaeridium ancyreum,Cleistosphaeridium diversispinosum,Cleistosphaeridium placacanthum,Cordosphaeridium cantharellus,Cordosphaeridium delimurum,Cordosphaeridium fibrospinosum,Cordosphaeridium funiculatum,Cordosphaeridium gracile,Corrudinium devernaliae,Corrudinium harlandii,Corrudinium incompositum,Corrudinium regulare,Cousteaudinium aubryae,Cyclapophysis monmouthensis,Damassadinium californicum,Damassadinium crassimuratum,Dapsilidinium pseudocolligerum,Deflandrea antarctica,Deflandrea convexa,Deflandrea cygniformis,Deflandrea eocenica,Deflandrea oebisfeldensis,Deflandrea phosphoritica,Dinogymnium spp.,Dinopterygium cladoides,Diphyes colligerum,Diphyes ficusoides,Disphaerogena carposphaeropsis,Distatodinium apenninicum,Distatodinium biffii,Distatodinium paradoxum,Dracodinium? Condylos,Dracodinium politum,Dracodinium rhomboideum,Dracodinium varielongitudum/waipawaense,Eatonicysta furensis,Eatonicysta ursulae,Ectosphaeropsis burdigalensis,Edwardsiella sexispinosa,Eisenackia circumtabulata,Eisenackia margarita,Eisenackia reticulata,Elytrocysta brevis,Elytrocysta druggii,Enneadocysta diktyostyla,Enneadocysta multicornuta,"Enneadocysta sp. B sensu Bijl, 2011",Enneadocysta pectiniformis,Eocladopyxis peniculata,Exochosphaeridium insigne,Filisphaera filifera,Galeacysta etrusca,Geonettia waltonensis,Gerdiocysta conopeum,Glaphyrocysta divaricata,Glaphyrocysta extensa,Glaphyrocysta exuberans,Glaphyrocysta intricata,Glaphyrocysta ordinata,Glaphyrocysta retiintexta,Glaphyrocysta semitecta,Gramocysta verricula,Habibacysta tectata,Hafniasphaera delicata,Hemiplacophora semilunifera,Heteraulacacysta porosa,Heteraulacacysta pustulata,Histrocysta palla,Homotryblium floripes,Homotryblium plectilum,Homotryblium tasmaniense,Homotryblium tenuispinosum,Hystrichokolpoma bullatum,Hystrichokolpoma bulbosum,Hystrichokolpoma cinctum,Hystrichokolpoma grimmertingenense,Hystrichokolpoma pusillum,Hystrichokolpoma rigaudiae,Hystrichokolpoma  reductum,Hystrichokolpoma truncatum,Hystrichosphaeridium truswelliae,Hystrichosphaeridium tubiferum,Hystrichosphaeropsis obscura,Hystrichostrogylon cf. membraniphorum,Impagidinium cantabrigiense,Impagidinium cassiculus,Impagidinium multiplexum,Impagidinium parvireticulatum,Impagidinium patulum,Invertocysta lacrymosa,Invertocysta tabulata,Isabelidinium viborgense,Kisselevia insolens,Labyrinthodinium truncatum,Lentinia serrata,Leptodinium italicum,Licracysta corymbus,Lingulodinium machaerophorum,Malvinia escutiana,Manumiella seelandica,Melitasphaeridium pseudorecurvatum,Membranilarnacia? Picena,Membranophoridium aspinatum,Membranophoridium perforatum,Membranophoridium sp. 1,Mendicodinium  robustum,Minisphaeridium latirictum,Nematosphaeropsis downiei,Nematosphaeropsis labyrinthus,Octodinium askiniae,Oligokolpoma galeottii,Oligokolpoma tubulus,Oligosphaeridium poculum,Oligosphaeridium pulcherrimum,Oligosphaeridium spp.,Operculodinium divergens,Operculodinium echigoense,Operculodinium? eirikianum,Operculodinium tegillatum,Palaeocystodinium bulliforme,Palaeocystodinium golzowense,Palaeocystodinium miocaenicum,Palaeocystodinium  striatogranulosum,Palaeocystodinium obesum,Palaeocystodinium teespinosum,Palaeocystodinium  ventricosum,Palaeoperidinium pyrophorum,Palynodinium grallator,Pentadinium alabamensis,Pentadinium sabulum,Pentadinium laticinctum,Phthanoperidinium amoenum,Phthanoperidinium comatum,Phthanoperidinium coreoides,Phthanoperidinium distinctum,Phthanoperidinium stockmansii,Polysphaeridium subtile,Pyxidinopsis fairhavenensis,Reticulatosphaera actinocoronata,Rhombodinium draco,Rhombodinium perforatum,Rhombodinium porosum,Rhombodinium rhomboideum,Rottnestia borussica,Samlandia delicata,Saturnodinium pansum,Saturnodinium perforatum,Schematophora obscura,Schematophora speciosa,Selenopemphix spp.,Selenopemphix armageddonensis,Selenopemphix armata,Selenopemphix dionaeacysta,Senoniasphaera inornata,Spinidinium  densispinatum,Spinidinium echinoideum,Spinidinium macmurdoense,Spinidinium schellenbergii,Spiniferites ovatus,Spiniferites sp.,Spongodinium delitiense,Stoveracysta kakanuiensis,Stoveracysta ornata,Sumatradinium druggii,Sumatradinium soucouyantiae,Surculosphaeridium? longifurcatum,Talladinium clathratum,Thalassiphora delicata,Thalassiphora pelagica,Trinovantedinium applanatum,Trinovantedinium glorianum,Trithyrodinium evittii,Unipontidinium aquaeductus,Vozzhennikovia apertura,Vozzhennikovia cf.,Vozzhennikovia stickleyae,Wetzeliella articulata,Wetzeliella caviarticulata,Wetzeliella gochtii,Wetzeliella meckelfeldensis,Wetzeliella samlandica,Wetzeliella simplex,Wetzeliella symmetrica,Wilsonidium echinosuturatum,Wilsonidium ornatum,Saccate pollen,Nothofagus pollen,Other pollen,trilete spores,Other spores,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name (short)
371-U1509A-13R-CC-PAL-PALY,0,10,114.63,114.73,,,,,,,C,B,B,B,B,F,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,13,R,CC,PAL,,
371-U1509A-17R-CC-PAL-PALY,0,10,149.27,149.37,,,,,,,F,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,17,R,CC,PAL,,
371-U1509A-29R-CC-PAL-PALY,0,10,259.93,260.03,,,,,,,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,29,R,CC,PAL,,
371-U1509A-39R-CC-PAL-PALY,0,10,356.01,356.11,,,,,,,A,F,C,R,R,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,39,R,CC,PAL,,
371-U1509A-45R-CC-PAL-PALY,0,10,407.04,407.14,,,,,,,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,45,R,CC,PAL,,
371-U1509A-46R-2-W 52/54-PALY,0,2,414.75,414.77,,,,,,,C,F,F,F,F,B,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,46,R,2,W,,
371-U1509A-50R-CC-PAL-PALY,0,10,459.22,459.32,,,,,,,C,F,F,F,F,B,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,50,R,CC,PAL,,
371-U1509A-56R-CC-PAL-PALY,0,10,517.17,517.27,,,,,,,C,F,F,B,F,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,56,R,CC,PAL,,
371-U1509A-60R-CC-PAL-PALY,0,10,555.72,555.82,,,,,,,C,F,R,C,F,B,F-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,60,R,CC,PAL,,
371-U1509A-64R-CC-PAL-PALY,0,10,593.78,593.88,,,,,,,A,F,B,B,B,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1509,A,64,R,CC,PAL,,
