Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation palynofacies,Dinocysts,Sporomorphs,Prasinophytes,Acritarchs,Foraminiferal linings,Black phytoclasts,Brown phytoclasts,Amorphous organic matter,Saccate pollen,Nothofagus pollen,Other pollen,Spores,Fungal spores,Dinocysts reworked,Pollen/spores reworked,Total in situ dinocysts,Achomosphaera spp.,Aiora fenestrata,Areosphaeridium diktyoplokus,Arcticacysta sp.,Batiacasphaera sp.,Batiacasphaera cooperi,Batiacasphaera minuta,Batiacasphaera sphaerica,Brigantedinium spp.,Brigantedinium pyinei,Cerebrocysta spp.,Chiropteridium galea,Corrudinium sp.,Cryodinium meridianum ,Deflandrea antarctica,Deflandrea phosphoritica,Distatodinium sp.,Edwardsiella sexispinosa,Enneadocysta,Filisphaera filifera,Gelatia inflata,Hystrichokolpoma sp.,Hystrichokolpoma bullatum,Hystrichokolpoma truncatum,Hystrichosphaeridium,Impagidinium sp.,Impagidinium pallidum,Impagidinium patulum,Invertocysta tabulata,Islandinium round brown/spiny,Lejeunecysta sp.,Lejeunecysta acuminata,Lejeunecysta adeliensis,Lejeunecysta attenuata,Lejeunecysta cowiei,Lejeunecysta katatonos,Lejeunecysta fallax,Lejeunecysta rotunda,Malvinia escutiana,Nematosphaeropsis labyrinthea,Operculodinium sp.,Operculodinium? eirikianum,Operculodinium janduchenei,Operculodinium piaseckii,Palaeocystodinium sp.,Phelodinium sp.,Pyxidinopsis sp.,Protoperidinium sp.1,Protoperidinium sp. 2,Protoperidinium sp. 3,Selenopemphix antarctica,Selenopemphix brinkhuisii,Selenopemphix dionaeacysta,Selenopemphix kepion,Selenopemphix nephroides,Selenopemphix undulata,Selenopemphix sp. 1,Spinidinium macmurdoense,Spiniferites elongatus,Spiniferites mirabilis,Spiniferites ramosus,Unipontidinium aquaeductum,Vozzhennikovia apertura,Leiosphaeridia sp.,Cymatiosphaera transparent sp. 1,Cymatiosphaera brown sp. 3,Cymatiosphaera brown sp. 4,Cymatiosphaera sp.,Comments,Ship File Links,Shore File Links,File Data
374-U1521A-1R-CC-PAL-PALY,0,5,4.23,4.28,,G,R,R,B,R,B,R,R,R,R,B,B,B,B,R,R,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,
374-U1521A-3R-CC-PAL-PALY,0,5,19.36,19.41,,G,C,F,R,R,R,F,F,A,R,R,R,R,F,F,F,,,,,,,,,,XX,XX,,,,,,,,,,,,,,,,,X,,,,X,,,,X,,X,XX,,,,X,,,,,,,,,X,,,X,,,,,,,,,,XX,,X,,,,,,
374-U1521A-5R-CC-PAL-PALY,0,5,40.15,40.2,,P,B,R,B,B,B,R,R,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
374-U1521A-8R-CC-PAL-PALY,0,5,67.75,67.8,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-10R-CC-PAL-PALY,0,5,85.67,85.72,,G,R,R,C,C,B,B,R,R,B,B,R,B,B,B,B,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,XX,,,,,,,,,,,,,,,,,,,,,,XX,,,,XX,,,,
374-U1521A-12R-CC-PAL-PALY,0,5,111.94,111.99,,G,C,F,F,F,R,B,R,R,B,B,R,B,B,B,B,,,,,X,,,XX,XX,X,X,,,,,,,,,,,,,,,,,X,,,,X,,,,X,,,,,X,X,XX,X,,,,,,,,,,,,,,,,,,X,,,,,X,X,XX,,,,
374-U1521A-14R-CC-PAL-PALY,0,7,122.86,122.93,,G,C,C,F,F,R,B,B,R,R,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-16R-CC-PAL-PALY,0,5,147.02,147.07,,G,F,F,F,F,R,R,R,R,R,B,R,R,B,B,B,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,X,X,,,,X,,XX,XX,,X,,,,X,,,,,,X,,,X,,X,X,X,,,,
374-U1521A-18R-CC-PAL-PALY,0,5,167.83,167.88,,G,F,F,F,R,R,R,R,C,R,B,R,R,B,B,B,,X,,,,,,,,XX,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,XX,XX,,X,,,,X,,,,X,,X,,,X,,X,,X,,,,
374-U1521A-20R-CC-PAL-PALY,0,7,189.42,189.49,,G,RF,R,R,R,B,B,R,C,B,B,B,B,B,B,B,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,,,,X,,,,,,X,,,,,,XX,,,,X,,X,X,X,,,,
374-U1521A-22R-CC-PAL-PALY,0,5,204.9,204.95,,G,RF,R,R,R,R,R,R,F,R,B,B,B,B,B,B,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,X,X,X,X,,,,,
374-U1521A-25R-CC-PAL-PALY,0,5,233.07,233.12,,G,RF,R,R,R,R,R,R,F,F,B,R,B,B,B,B,,X,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,X,,,,X,X,,,,,,X,X,X,,,,,,,,,,,X,,,X,X,X,,X,,,,
374-U1521A-27R-CC-PAL-PALY,0,5,253.09,253.14,,G,R,R,R,R,R,B,B,R,R,B,R,B,B,B,B,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,X,,,,X,X,X,,,,,,,,,,,,X,,,X,,,,X,,,,
374-U1521A-29R-CC-PAL-PALY,0,5,272.98,273.03,,G,R,R,R,R,R,F,F,R,R,B,R,R,B,B,R,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,XX,X,,,,,,,
374-U1521A-35R-CC-PAL-PALY,0,5,326.72,326.77,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-39R-CC-PAL-PALY,0,5,359.57,359.62,,P,BR,R,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-41R-CC-PAL-PALY,0,5,371.71,371.76,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-44R-CC-PAL-PALY,0,5,390.45,390.5,,P,BR,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-46R-CC-PAL-PALY,0,5,405.09,405.14,,P,BR,R,B,B,B,B,B,B,R,R,B,B,B,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
374-U1521A-48R-CC-PAL-PALY,0,5,428.97,429.02,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-50R-CC-PAL-PALY,0,5,448.69,448.74,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-51R-CC-PAL-PALY,0,5,450.52,450.57,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-53R-CC-PAL-PALY,0,5,477.71,477.76,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-55R-CC-PAL-PALY,0,5,492.91,492.96,,M,BR,R,R,R,B,B,B,B,R,F,B,R,B,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,,
374-U1521A-58R-CC-PAL-PALY,0,5,524.38,524.43,,P,BR,F,B,R,B,B,B,B,F,F,F,F,B,F,F,,,,,X,,,,,X,,,,,,,X,,,X,,,,,,,,,,,,X,X,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,
374-U1521A-61R-CC-PAL-PALY,0,5,554.47,554.52,,P,BR,F,B,B,B,B,B,B,F,F,F,F,B,F,F,,,,,,,,X,,,,,,,,,X,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,X,,,,,,,,,
374-U1521A-65R-CC-PAL-PALY,0,5,589.69,589.74,,P,BR,R,B,B,B,B,B,B,R,R,R,R,B,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-67R-CC-PAL-PALY,0,5,612.06,612.11,,P,BR,R,B,B,B,B,B,B,R,R,R,R,B,R,R,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-69R-CC-PAL-PALY,0,5,629.66,629.71,,P,BR,R,B,B,R,B,B,B,R,B,B,B,B,R,R,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-U1521A-71R-CC-PAL-PALY,0,5,648.12,648.17,,P,BR,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,
