Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni ,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data
339-U1385A-1H-CC-PAL,339,U1385,A,1,1-CC,H,CC,PAL,0,5,1.39,1.44,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,,,,,,,,
339-U1385A-2H-CC-PAL,339,U1385,A,2,2-CC,H,CC,PAL,0,5,11.3,11.35,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-3H-CC-PAL,339,U1385,A,3,3-CC,H,CC,PAL,0,5,20.87,20.92,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-5H-CC-PAL,339,U1385,A,5,5-CC,H,CC,PAL,0,5,39.92,39.97,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,P ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-6H-CC-PAL,339,U1385,A,6,6-CC,H,CC,PAL,0,5,49.43,49.48,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1385A-7H-CC-PAL,339,U1385,A,7,7-CC,H,CC,PAL,0,6,58.71,58.77,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,
339-U1385A-8H-CC-PAL,339,U1385,A,8,8-CC,H,CC,PAL,0,6,68.58,68.64,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-9H-CC-PAL,339,U1385,A,9,9-CC,H,CC,PAL,0,5,77.78,77.83,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,R ,,,,,,,,,,,,,,,,,,,F ,,,,,,,P ,,,,,,,,,,,,,,
339-U1385A-10H-CC-PAL,339,U1385,A,10,10-CC,H,CC,PAL,0,5,87.73,87.78,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-11H-CC-PAL,339,U1385,A,11,11-CC,H,CC,PAL,0,5,96.78,96.83,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,R ,,,,,,P ,,,,,,,,,,,,,,,
339-U1385A-12H-CC-PAL,339,U1385,A,12,12-CC,H,CC,PAL,0,5,106.29,106.34,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,P ,,,
339-U1385A-13H-CC-PAL,339,U1385,A,13,13-CC,H,CC,PAL,0,5,116.07,116.12,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-14H-CC-PAL,339,U1385,A,14,14-CC,H,CC,PAL,0,5,124.62,124.67,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1385A-15H-CC-PAL,339,U1385,A,15,15-CC,H,CC,PAL,0,5,133.83,133.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,A ,,P ,,,,,,,,,F ,,,,,,,,,,,,,,,P ,,,P ,,,
339-U1385A-16H-CC-PAL,339,U1385,A,16,16-CC,H,CC,PAL,0,5,143.75,143.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,
339-U1385A-17H-CC-PAL,339,U1385,A,17,17-CC,H,CC,PAL,0,5,151.58,151.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,
