Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
341-U1418C-1H-CC-PAL-RADS,0,0,8.62,8.62,B. aquilonaris,Botyrostrobus aquilonaris,,G,R,,,,,,,,R,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,1,H,CC,PAL,RADS
341-U1418C-2H-CC-PAL-RADS,0,0,17.94,17.94,B. aquilonaris,Botyrostrobus aquilonaris,,G,F,,,,,,,,R,F,,,,,,,,,F,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,R,R,,,,,,,,F,R,R,R,,,,,,,,,R,,,,,,,,,,,341,U1418,C,2,H,CC,PAL,RADS
341-U1418C-3H-CC-PAL-RADS,0,0,27.18,27.18,B. aquilonaris,Botyrostrobus aquilonaris,,G,C,,,,,,,,R,R,,,,,,,,,A,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,,R,,,,,,R,,,,,,,,R,,,,,,,,,R,C,,R,,,,,,,,,,,,,,,,,,,,341,U1418,C,3,H,CC,PAL,RADS
341-U1418C-4H-CC-PAL-RADS,0,5,37.23,37.28,B. aquilonaris,Botyrostrobus aquilonaris,,G,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,4,H,CC,PAL,RADS
341-U1418C-5H-CC-PAL-RADS,0,0,46.9,46.9,B. aquilonaris,Botyrostrobus aquilonaris,,G,C,,,,,,,,F,F,,,,,,,,,A,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,A,,R,,,,,,R,,,,,,,,,,,,F,,,,,A,R,,R,,,,,,,,,R,,,,,,,,,,,341,U1418,C,5,H,CC,PAL,RADS
341-U1418C-6H-CC-PAL-RADS,0,5,56.31,56.36,B. aquilonaris,Botyrostrobus aquilonaris,,G,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,6,H,CC,PAL,RADS
341-U1418C-7H-CC-PAL-RADS,0,5,64.09,64.14,B. aquilonaris,Botyrostrobus aquilonaris,,M,F,,,,,,,,F,F,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,,,,,,,,,,,,,,R,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,341,U1418,C,7,H,CC,PAL,RADS
341-U1418C-9H-CC-PAL-RADS,0,5,72.21,72.26,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,9,H,CC,PAL,RADS
341-U1418C-10H-CC-PAL-RADS,0,5,77.45,77.5,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,10,H,CC,PAL,RADS
341-U1418C-11H-CC-PAL-RADS,0,5,82.35,82.4,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,C,C,,,,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,R,,,,,,C,,,,,,,,F,,,,A,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,341,U1418,C,11,H,CC,PAL,RADS
341-U1418C-12H-CC-PAL-RADS,0,5,87.08,87.13,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,341,U1418,C,12,H,CC,PAL,RADS
341-U1418C-13H-CC-PAL-RADS,0,5,91.83,91.88,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,13,H,CC,PAL,RADS
341-U1418C-14H-CC-PAL-RADS,0,1,96.66,96.67,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,14,H,CC,PAL,RADS
341-U1418C-15H-CC-PAL-RADS,0,5,101.15,101.2,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,341,U1418,C,15,H,CC,PAL,RADS
341-U1418C-16H-CC-PAL-RADS,0,5,105.87,105.92,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,16,H,CC,PAL,RADS
341-U1418C-17H-CC-PAL-RADS,0,0,110.55,110.55,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,17,H,CC,PAL,RADS
341-U1418C-18H-CC-PAL-RADS,0,0,115.32,115.32,B. aquilonaris,Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,C,18,H,CC,PAL,RADS
