Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data
342-U1403B-19H-3-W 84/86-FORAM,342,U1403,B,19,19-3,H,3,W,84/86-FORAM,0,2,154.24,154.26,G [P21],R [A60],B,R,B,D,P,,
342-U1403B-19H-4-W 32/34-FORAM,342,U1403,B,19,19-4,H,4,W,32/34-FORAM,0,2,154.65,154.67,G [P21],R [A60],B,P,B,D,P,,
342-U1403B-29X-4-W 25/27-FORAM,342,U1403,B,29,29-4,X,4,W,25/27-FORAM,0,2,231.05,231.07,G [P21],D [A60],P,B,R,D,P,,
342-U1403B-30X-1-W 72/74-FORAM,342,U1403,B,30,30-1,X,1,W,72/74-FORAM,0,2,236.72,236.74,G [P21],D [A60],F,B,B,D,F,,
342-U1403B-30X-2-W 61/63-FORAM,342,U1403,B,30,30-2,X,2,W,61/63-FORAM,0,2,238.11,238.13,G [P21],D [A60],R,R,R,D,R,,
342-U1403B-30X-3-W 43/45-FORAM,342,U1403,B,30,30-3,X,3,W,43/45-FORAM,0,2,239.43,239.45,G [P21],D [A60],P,P,P,D,R,,
342-U1403B-30X-4-W 29/31-FORAM,342,U1403,B,30,30-4,X,4,W,29/31-FORAM,0,2,240.79,240.81,G [P21],D [A60],F,R,B,D,R,,
342-U1403B-31X-1-W 57/59-FORAM,342,U1403,B,31,31-1,X,1,W,57/59-FORAM,0,2,246.27,246.29,G [P21],D [A60],F,B,P,D,P,,
342-U1403B-31X-2-W 95/97-FORAM,342,U1403,B,31,31-2,X,2,W,95/97-FORAM,0,2,248.15,248.17,M [P21],D [A60],P,B,B,D,B,,
342-U1403B-31X-3-W 95/97-FORAM,342,U1403,B,31,31-3,X,3,W,95/97-FORAM,0,2,249.65,249.67,G [P21],D [A60],F,B,B,D,F,,
342-U1403B-31X-4-W 89/91-FORAM,342,U1403,B,31,31-4,X,4,W,89/91-FORAM,0,2,251.09,251.11,G [P21],D [A60],R,B,B,D,P,,
342-U1403B-32X-1-W 66/68-FORAM,342,U1403,B,32,32-1,X,1,W,66/68-FORAM,0,2,256.06,256.08,,b [A60],,,,,,,
342-U1403B-32X-2-W 77/78-FORAM,342,U1403,B,32,32-2,X,2,W,77/78-FORAM,0,1,257.67,257.68,G [P21],D [A60],R,B,P,D,R,,
342-U1403B-32X-3-W 119/120-FORAM,342,U1403,B,32,32-3,X,3,W,119/120-FORAM,0,1,259.59,259.6,G [P21],D [A60],B,B,B,D,B,,
342-U1403B-32X-4-W 86/87-FORAM,342,U1403,B,32,32-4,X,4,W,86/87-FORAM,0,1,260.76,260.77,M [P21],D [A60],P,P,B,D,R,,
342-U1403B-32X-5-W 22/24-FORAM,342,U1403,B,32,32-5,X,5,W,22/24-FORAM,0,2,261.32,261.34,G [P21],D [A60],P,P,B,D,P,,
