Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 µm),Calcidiscus macintyrei,Gephyrocapsa (>5.5 µm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus (acutus),Ceratolithus atlanticus,Ceratolithus cristatus (rugosus),Clausicoccus fenestratus (subdist),Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus   (>7µm),Reticulofenestra pseudoumbilicus  (5-7µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,small Gephyrocapsa (<4µm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,File Data
342-U1405A-1H-1-W 107/107-NANNO,342,U1405,A,1,1-1,H,1,W,107/107-NANNO,0,0,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,Freq,,,C,,,,,,,C,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-1H-2-W 107/107-NANNO,342,U1405,A,1,1-2,H,2,W,107/107-NANNO,0,0,2.57,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,Freq,,,,C,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-1H-3-W 107/107-NANNO,342,U1405,A,1,1-3,H,3,W,107/107-NANNO,0,0,4.07,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,Freq,,Freq,,,,C,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-1H-4-W 120/120-NANNO,342,U1405,A,1,1-4,H,4,W,120/120-NANNO,0,0,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,R,,R,Freq,,Freq,,Freq,,,,Freq,,,,,,,C,,,,,,,,,,C,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-1H-4-W 60/60-NANNO,342,U1405,A,1,1-4,H,4,W,60/60-NANNO,0,0,5.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,Freq,,Freq,,Freq,,,,Freq,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-1H-CC-PAL,342,U1405,A,1,1-CC,H,CC,PAL,,0,5,6.15,6.2,,,,M [P07],A [A22],,,,,,,,,,,,,,,,,,,,,,,R,C,C,,R,C,,Freq,,,,,,,,,R,,,,C,,,,,,,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-2H-4-W 120/120-NANNO,342,U1405,A,2,2-4,H,4,W,120/120-NANNO,0,0,11.9,11.9,,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-2H-CC-PAL,342,U1405,A,2,2-CC,H,CC,PAL,,0,5,16.1,16.15,,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-3H-CC-PAL,342,U1405,A,3,3-CC,H,CC,PAL,,0,5,25.69,25.74,,,,,B [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1405A-4H-CC-PAL,342,U1405,A,4,4-CC,H,CC,PAL,,0,5,35.26,35.31,,,,M [P07],R [A22],,,,,,,Freq,Freq,C,,R,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,R,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
