leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NBRAM0010,Bramletteius serraculoides,RARE,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCAMP0020,Campylosphaera eodela,RARE,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCHIA0090,Chiasmolithus grandis,RARE,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCHIA0130,Chiasmolithus titus,RARE,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCOCO0100,Coccolithus eopelagicus,COMMON,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCORN0030,Coronocyclas serratus,RARE,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCYCO0030,Cyclococcolithina floridana,COMMON,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCYCO0040,Cyclococcolithina formosa,COMMON,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NCYCO0120,Cyclococcolithina protoannula,RARE,  ,1
14,144,,1,1,82.0,84.0,57.00,57.83,18,"ROTH,P.;THIERSTEIN,H.",,14,NANNOFOSSILS,,1,1,,NO AGE GIVEN,448,NDISC0040,Discoaster barbadiensis,COMMON,  ,1
