leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
15,146,,UPPER MIOCENE,,104.5,105.0,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
15,146,,LOWER MIOCENE,,254.0,263.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
15,146,,LOWER EOCENE,,422.0,423.0,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
15,146,,UPPER PALEOCENE,,423.0,441.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
15,146,,MIDDLE PALEOCENE,,449.0,452.0,,NO AGE GIVEN,,NO AGE GIVEN,   58,   60,   59,DSDP INITIAL REPORTS
15,146,,PALEOCENE,,452.0,476.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   65,59.25,DSDP INITIAL REPORTS
15,146,,LOWER PALEOCENE,,476.0,477.2,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
15,146,,UPPER CRETACEOUS,,477.2,486.5,,NO AGE GIVEN,,NO AGE GIVEN,   65,  100, 82.5,DSDP INITIAL REPORTS
15,146,,MAESTRICHTIAN,,494.0,566.0,,NO AGE GIVEN,,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
15,146,,CAMPANIAN,,575.0,614.0,,NO AGE GIVEN,,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
15,146,,UPPER CRETACEOUS,,620.0,640.0,,NO AGE GIVEN,,NO AGE GIVEN,   65,  100, 82.5,DSDP INITIAL REPORTS
15,146,,SANTONIAN,,647.0,676.0,,NO AGE GIVEN,,NO AGE GIVEN,   78,   82,   80,DSDP INITIAL REPORTS
15,146,,SANTONIAN,CONIACIAN,683.0,716.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   78,   86,   82,DSDP INITIAL REPORTS
15,146,,CONIACIAN,TURONIAN,719.0,740.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   82,   92,   87,DSDP INITIAL REPORTS
