leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
15,154,A,1,1,91.0,93.0,1.00,1.92, 7,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0120,Globorotalia crassaformis crassaformis,PRESENT,  ,1
15,154,A,1,1,91.0,93.0,1.00,1.92, 7,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0246,Globorotalia inflata,PRESENT,  ,1
15,154,A,1,1,91.0,93.0,1.00,1.92, 7,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0550,Globorotalia truncatulinoides truncatulinoides,PRESENT,  ,1
15,154,A,1,1,91.0,93.0,1.00,1.92, 7,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOD0410,Globigerinoides ruber,PRESENT,  ,1
15,154,A,1,1,91.0,93.0,1.00,1.92, 7,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOD0410,Globigerinoides ruber,PRESENT,  ,1
15,154,A,1,1,91.0,93.0,1.00,1.92, 7,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOD0610,Globigerinoides trilobus fistulosus,PRESENT,  ,1
15,154,A,1,1,91.0,93.0,1.00,1.92, 7,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FPULL0040,Pulleniatina obliquiloculata obliquiloculata,PRESENT,  ,1
15,154,A,1,2,84.0,86.0,1.00,3.35,11,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0120,Globorotalia crassaformis crassaformis,PRESENT,  ,1
15,154,A,1,2,84.0,86.0,1.00,3.35,11,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0148,Globorotalia cultrata,PRESENT,  ,1
15,154,A,1,2,84.0,86.0,1.00,3.35,11,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0220,Globorotalia hessi,PRESENT,  ,1
15,154,A,1,2,84.0,86.0,1.00,3.35,11,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0246,Globorotalia inflata,PRESENT,  ,1
15,154,A,1,2,84.0,86.0,1.00,3.35,11,"BOLLI,H;PREMOLI-SILVA,I",12/1973,15,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,492,FGLOA0550,Globorotalia truncatulinoides truncatulinoides,PRESENT,  ,1
