leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
2,11,A,4,1,0.0,10.0,259.00,259.05, 6,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NCOCO0100,Coccolithus eopelagicus,PRESENT,  ,1
2,11,A,4,1,0.0,10.0,259.00,259.05, 6,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
2,11,A,4,1,0.0,10.0,259.00,259.05, 6,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NDISC0080,Discoaster brouweri,PRESENT,  ,1
2,11,A,4,1,0.0,10.0,259.00,259.05, 6,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NDISC0102,Discoaster challengerii,PRESENT,  ,1
2,11,A,4,1,0.0,10.0,259.00,259.05, 6,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NDISC0350,Discoaster pentaradiatus,PRESENT,  ,1
2,11,A,4,1,0.0,10.0,259.00,259.05, 6,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NRETI0180,Reticulofenestra pseudoumbilica,PRESENT,  ,1
2,11,A,4,4,39.0,49.0,259.00,263.94, 7,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NCOCO0100,Coccolithus eopelagicus,PRESENT,  ,1
2,11,A,4,4,39.0,49.0,259.00,263.94, 7,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
2,11,A,4,4,39.0,49.0,259.00,263.94, 7,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NCYCI0060,Cyclicargolithus neogammation,PRESENT,  ,1
2,11,A,4,4,39.0,49.0,259.00,263.94, 7,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NDISC0167,Discoaster exilis (q),PRESENT,  ,1
2,11,A,4,4,39.0,49.0,259.00,263.94, 7,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NDISC0527,Discoaster variabilis (q),PRESENT,  ,1
2,11,A,4,4,39.0,49.0,259.00,263.94, 7,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NRETI0180,Reticulofenestra pseudoumbilica,PRESENT,  ,1
2,11,A,4,4,39.0,49.0,259.00,263.94, 7,"BUKRY,D.",,2,NANNOFOSSILS,,,,,NO AGE GIVEN,353,NSPHN0012,Sphenolithus abies (q),PRESENT,  ,1
