leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
20,199,,8,1,107.0,107.0,295.00,296.07, 4,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,154,FGLOA0018,Globorotalia acuta,PRESENT,  ,1
20,199,,8,1,107.0,107.0,295.00,296.07, 4,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,154,FGLOA0228,Globorotalia hispidicidaris,PRESENT,  ,1
20,199,,8,1,107.0,107.0,295.00,296.07, 4,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,154,FGLOA0234,Globorotalia imitata,PRESENT,  ,1
20,199,,8,1,107.0,107.0,295.00,296.07, 4,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,154,FGLOG0805,Globigerina velascoensis,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOA0260,Globorotalia laevigata,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOA0354,Globorotalia occlusa,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOA0435,Globorotalia pseudomenardii,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOA0570,Globorotalia velascoensis,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOG0280,Globigerina eugubina,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOG0313,Globigerina fringa (q),PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOG0445,Globigerina minutula,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOG0695,Globigerina sabina,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGLOG0790,Globigerina umbrica,PRESENT,  ,1
20,199,,10,2,37.0,38.0,371.00,372.88,10,"KRASHENINNIKOV,V.;HOSKINS,R.",11/1973,20,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,146,FGUEB0020,Guembelitria irregularis,PRESENT,  ,1
