leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0010,Artostrobium auritum,RARE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0030,Artostrobium miralestense,COMMON,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RCARP0010,Carpocanarium sp.,TRACE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RLAMR0020,Lamprocyrtis haysi,TRACE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RNEPH0010,Nephrospyris renilla,TRACE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,ROMMA0030,Ommatartus avitus,RARE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,ROMMA0070,Ommatartus tetrathalamus,RARE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSIPA0020,Siphocampe corbula,TRACE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSPON0050,Spongaster tetras,TRACE,  ,1
24,232,,4,6,121.0,123.0,21.50,30.22,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RTHEY0020,Theocorythium trachelium,RARE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0030,Artostrobium miralestense,COMMON,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RBOTO0010,Botryocyrtis sp.,TRACE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RCARP0010,Carpocanarium sp.,RARE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,ROMMA0030,Ommatartus avitus,RARE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,ROMMA0070,Ommatartus tetrathalamus,RARE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSIPA0020,Siphocampe corbula,RARE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSPON0050,Spongaster tetras,RARE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSTIO0070,Stichocorys peregrina,TRACE,  ,1
24,232,,5,3,110.0,112.0,31.00,35.41, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RTHEY0020,Theocorythium trachelium,RARE,  ,1
24,232,,6,4,99.0,101.0,40.50,46.00, 1,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RCYCA0060,Cyclampterium neatum,TRACE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RARTS0030,Artostrobium miralestense,RARE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RBEKM0010,Bekomiforma mynx,TRACE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RCYCA0060,Cyclampterium neatum,TRACE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RLAMR0040,Lamprocyrtis neoheteroporos,TRACE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RNEPH0010,Nephrospyris renilla,TRACE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,ROMMA0030,Ommatartus avitus,RARE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,ROMMA0070,Ommatartus tetrathalamus,RARE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RPTER0070,Pterocanium prismatium,TRACE,  ,1
24,232,,8,3,119.0,121.0,59.50,63.70,12,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,1002,RSPOD0020,Spongodiscus ambus,TRACE,  ,1
