leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0010,Artostrobium auritum,FEW,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0020,Artostrobium doliolum,TRACE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0030,Artostrobium miralestense,RARE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RCARP0010,Carpocanarium sp.,RARE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RCYCA0060,Cyclampterium neatum,TRACE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RLYCD0010,Lychnodictyum audax,TRACE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,ROMMA0030,Ommatartus avitus,TRACE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSIPA0020,Siphocampe corbula,RARE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSPON0040,Spongaster pentas,TRACE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSTIO0050,Stichocorys delmontensis,TRACE,  ,1
24,232,A,1,2,12.0,14.0,159.00,160.63,11,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSTIO0070,Stichocorys peregrina,FEW,  ,2
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0010,Artostrobium auritum,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0030,Artostrobium miralestense,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RARTS0040,Artostrobium rhinoceros,TRACE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RBEKM0010,Bekomiforma mynx,TRACE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RCARP0010,Carpocanarium sp.,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RCYCA0060,Cyclampterium neatum,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RLYCD0010,Lychnodictyum audax,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,ROMMA0030,Ommatartus avitus,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RPTER0070,Pterocanium prismatium,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSIPA0020,Siphocampe corbula,RARE,  ,1
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSPON0050,Spongaster tetras,RARE,  ,2
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSTIO0050,Stichocorys delmontensis,RARE,  ,2
24,232,A,2,1,50.0,52.0,168.50,169.41,13,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,1002,RSTIO0070,Stichocorys peregrina,FEW,  ,2
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTS0010,Artostrobium auritum,FEW,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTS0020,Artostrobium doliolum,TRACE,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTS0030,Artostrobium miralestense,FEW,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RBEKM0010,Bekomiforma mynx,TRACE,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RLYCD0010,Lychnodictyum audax,RARE,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,ROMMA0030,Ommatartus avitus,FEW,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RSIPA0020,Siphocampe corbula,RARE,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RSTIO0050,Stichocorys delmontensis,RARE,  ,1
24,232,A,3,1,81.0,83.0,178.00,178.82, 9,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RSTIO0070,Stichocorys peregrina,FEW,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTS0010,Artostrobium auritum,FEW,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTS0030,Artostrobium miralestense,RARE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RBEKM0010,Bekomiforma mynx,TRACE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RCARP0010,Carpocanarium sp.,RARE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RLYCD0010,Lychnodictyum audax,RARE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,ROMMA0030,Ommatartus avitus,RARE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,ROMMA0050,Ommatartus penultimus,TRACE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RSIPA0020,Siphocampe corbula,RARE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RSTIO0050,Stichocorys delmontensis,TRACE,  ,1
24,232,A,4,2,42.0,44.0,187.50,189.43,10,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RSTIO0070,Stichocorys peregrina,FEW,  ,1
24,232,A,5,1,59.0,61.0,197.00,197.60,17,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTP0031,Artophormis gracilis (q),RARE,  ,1
24,232,A,5,1,59.0,61.0,197.00,197.60,17,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTS0010,Artostrobium auritum,FEW,  ,1
24,232,A,5,1,59.0,61.0,197.00,197.60,17,"SANFILIPPO,A.;RIEDEL,W.R.",10/1974,24,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1002,RARTS0020,Artostrobium doliolum,FEW,  ,1
