leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
26,256,,9,1,130.0,247.00,248.30,  248.50,,BASALT,,"HIGHLY ALTERED FINE-GRAINED BASALT, DRILLING BRECCIA ABOVE BASALT",CARBONATE VEINS,comments: HIGHLY ALTERED FINE-GRAINED BASALT,"PATCHES OF GREENISH GREY (5 G 6/1) AND GREYISH BROWN (10 YR 5/2) LOCATED ABOVE BASALT, DRILLING BRECCIA ABOVE BASALT, SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS FOR MORE INFORMATION",,,,CARB comments :  CARBONATE VEINS | CHLOR | SERP comments :  FOR MORE INFORMATION ON SERP AND CHLOR SEE THE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS,,
26,256,,9,2,0.0,247.00,248.50,  250.00,,BASALT,,FINE GRAINED AND ALTERED,"FRACTURED BASALT WITH CARBONATE, VEINS + GREEN MINERAL, BRECCIATED VEIN (QUESTIONABLE PEGMATITE) AT 55 CM APPROXIMATELY 2 CM WIDE, CARBONATE AND SERPENTINE OCCUPY SAME FRACTURES",comments: FINE GRAINED AND ALTERED,"DARK GREENISH GREY (5 GY 4/1) AND GREEN GREY (5GY 6/1) BASALT, BRECCIATED VEIN (QUESTIONABLE PEGMATITE) AT 55 CM",,,,CARB | SERP comments :  CARBONATE AND SERP IN FRACTURES,,
26,256,,9,3,0.0,247.00,250.00,  251.50,,BASALT,,"FINE GRAINED BASALT AS IN CORE 9 SECTION 2 INTERVAL (0-43 CM), MEDIUM GRAINED BELOW CONTACT AT 43 CM, FINE GRAINED BASALT INTERVAL (80-100 CM)","MUCH SERPENTINE VEINING (0-5 CM) PARALLEL TO ZONING INTERVAL (0-43 CM), FEWER CARBONATE VEINS THAN ABOVE IN PORTION OF SECTION BELOW CONTACT",,SHARP INCLINED CONACT AT 43 CM,,,,CARB | SERP comments :  CARBONATE AND SERP VEINING,,
26,256,,10,1,83.0,256.50,257.33,  258.00,,BASALT,,,,,"(N 5), SAME AS LOWER PORTION CORE 9 SECTION 3, FOR MORE INFORMATION SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS",,,,,,
26,256,,10,2,20.0,256.50,258.20,  259.50,,BASALT,,,TWO CARBONATE VEINS (2 MM WIDE),,"(N 5), SAME AS LOWER PORTION OF CORE 9 SECTION 3, FOR MORE INFORMATION SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS",,,,CARB comments :  TWO CARBONATE VEINS ( 2 MM WIDE),,
26,256,,10,3,20.0,256.50,259.70,  261.00,,BASALT,,,,,"SAME AS LOWER PORTION OF CORE 9 SECTION 3, SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS FOR MORE INFORMATION",,,,,,
26,256,,10,4,10.0,256.50,261.10,  262.50,,BASALT,,"SAME AS LOWER PORTION CORE 9 SECTION 3 (10-60 CM), BECOMES PROGRESSIVELY FINER (60-90 CM), FINEST AT 90 CM, AFTER 90 CM BASALT BECOMES COARSER AGAIN, AT AROUND 11O CM BASALT RETURNS TO MEDIUM GRAINED TEXTURE",,,"(N 5), SAME AS LOWER PORTION OF CORE 9 SECTION 3, BELOW 90 CM BASALT BECOMES (N 4) GREY FROM HERE ON, FOR MORE INFORMATION SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS",,,,,,
26,256,,10,5,30.0,256.50,262.80,  264.00,,BASALT,,MEDIUM GRAINED BASALT LIKE BASE OF CORE 10 SECTION 4,"FRACTURED, OCCASIONAL FINE (LESS THAN 1 MM) CALCITE VEINS AS SEEN AT 95 CM",,"(N 4), SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS FOR MORE INFORMATION",,,,CALCITE comments :  CALCITE VEINS,,
26,256,,11,1,11.0,263.00,263.11,  264.50,,BASALT,,,OCCASIONAL CALCITE VEINS (LESS THAN 1 MM) AS SEEN AT 137 CM,,"SAME AS CORE 10 SECTION 5 EXCEPT COLOR HERE IS (N 5) LIKE CORE 10 SECTION 2, SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS FOR MORE INFORMATION",,,,CALCITE comments :  CALCITE VEINS,,
26,256,,11,2,0.0,263.00,264.50,  266.00,,BASALT,,"BASALT SAME AS CORE 11 SECTION 1, GRAIN SIZE DECREASES AT 55 CM - FINEST GRAIN SIZE IS AT 60 CM  - THEN GRAIN SIZE INCREASES AGAIN TO 68 CM - USUAL TEXTURE AGAIN AFTER 68 CM, OCCASIONAL BRECCIAS AS SEEN AT 133 CM","FRACTURED, OCCASIONAL CALCITE VEINS AND BRECCIAS AS SEEN AT 133 CM",,"BASALT SAME AS CORE 11 SECTION 1, SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS FOR MORE INFORMATION",,,,CALCITE comments :  CALCITE VEINS,,
26,256,,11,3,13.0,263.00,266.13,  267.50,,BASALT,,BASALT SAME AS CORE 11 SECTION 1,"FRACTURED, CALCITE VEINS AS SEEN AT 90 CM",,"BASALT SAME AS CORE 11 SECTION 1, SEE CORE FORM AND LITHOLOGIC DESCRIPTION IN THE INITIAL REPORTS FOR MORE INFORMATION",,,,CALCITE comments :  CALCITE VEINS,,
