leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
34,319,,1,1,0.0,0.0,0.00,0.25, 6,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FGLOA0555,Globorotalia tumida subsp.,PRESENT,  ,1
34,319,,1,1,0.0,0.0,0.00,0.25, 6,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FGLOD0070,Globigerinoides bollii,PRESENT,  ,1
34,319,,1,1,0.0,0.0,0.00,0.25, 6,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FORBU0060,Orbulina universa parkerae,PRESENT,  ,1
34,319,,1,1,0.0,0.0,0.00,0.25, 6,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FORBU0070,Orbulina universa universa,PRESENT,  ,1
34,319,,1,1,0.0,0.0,0.00,0.25, 6,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FSPHE0100,Sphaeroidinellopsis subdehiscens paenedehiscens,PRESENT,  ,1
34,319,,1,1,0.0,0.0,0.00,0.25, 6,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FSPHE0110,Sphaeroidinellopsis subdehiscens subdehiscens,PRESENT,  ,1
34,319,,1,2,0.0,0.0,0.00,1.75, 8,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FGLOA0555,Globorotalia tumida subsp.,PRESENT,  ,1
34,319,,1,2,0.0,0.0,0.00,1.75, 8,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FGLOD0390,Globigerinoides quadrilobatus trilobus,PRESENT,  ,1
34,319,,1,2,0.0,0.0,0.00,1.75, 8,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FGLOG0810,Globigerina venezuelana,PRESENT,  ,1
34,319,,1,2,0.0,0.0,0.00,1.75, 8,"QUILTY,P.G.",04/1976,34,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,655,FORBU0060,Orbulina universa parkerae,PRESENT,  ,1
