leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
34,319,A,1,1,0.0,98.00,98.00,   99.22,"BASS, M.",PLAG-OL SPARSELY MICROPHYRIC BASALTDIABASE,"PCE 1 (3-5), 2 (6-9), 3 (11-17), 4 (20-27), 5 (29-37), 6 (38-46), 7 (48-53), 8 (55-59), 9 (61-64), 10 (67-71), 11 (71-73), 12 (77-81), 13 (77-81), 14 (83-90), 15 (92-96), 16 (98-102), 17 (104-107), 18 (109-115), 19 (117-120), 20 (123-126)","THE GRAIN SIZE INCREASES FROM APHANITIC AT THE TOP TO COARSE-GRAINED AT 38CM & REMAINS COARSE-GRAINED TO ABOUT 98CM & DECREASES THEREAFTER TO FINE-GRAINED VARIOLITIC (PLUMOSE) BASALT AT THE BASE, SPARSELY MICROPHYRIC",VEINS INCLUDE RED & BROWN & RED-BROWN & YELLOW-BROWN & YELLOW & GREENISH YELLOW & GREEN & BLUE SMECTITE & CALCITE & FE.OXIDE & MN.OXIDE & PHILLIPSITE(?),,"STYROFOAM DIVIDERS ABOUT 2CM WIDE SEPARATE PIECES OF CORE THAT ARE NOT PART OF A CONTINUOUS CORE SEGMENT - AN UNKNOWN AMOUNT OF BASALT IS MISSING IN THE PLACES WHERE STYROFOAM HAS BEEN ADDED, A COOLING UNIT EXTENDS FROM THE TOP OF SEC 1 TO AT LEAST 115 & POSSIBLY 122CM, THE ROCK VARIES FROM DARK GRAY (RARELY MEDIUM GRAY) WHERE FRESH TO DARK BROWNISH OR YELLOWISH GRAY","                       ARAGONITE comments : SMALL DIKTYTAXITIC VUGS APPEAR AT 29-46CM & 109- 115CM, RARE LARGE VUGS WITH ARAGONITE APPEAR AT 77-81CM",PLAG      0-2 comments : MICROPHENOCRYSTS OF PLAG & ALTERED OLIVINE VARY INABUNDANCE FROM 1% AT TOP TO ALMOST NIL THROUGHMOST OF THE UNIT TO 1-2% BELOW 104CM WITH ASUGGESTION OF ACCUMULATION IN 104-107CM | OLIVINE,,SMECTITE               OLIVINE comments :  OLIVE GREEN COLOR | FE.OXIDE | MN.OXIDE | PHIL | CALCITE comments :  CONICAL CALCITE CRYSTALS LINE OPEN JOINTS AT 77- 81CM | ARAGONIT,,
34,319,A,1,1,125.0,98.00,99.25,   99.50,"BASS, M.",APHYRIC TO PLAG-OL-AUGITE MICROPHYRIC BASALT,"PCE 21 (124-135), 22 (137-142), 23 (144-148)","APHYRIC TO MICROPHYRIC, VERY FINE-GRAINED TO COARSE- GRAINED, VARIOLITIC (PLUMOSE)",VEINS ARE COMPOSED OF RED & BROWN & RED-BROWN & GREENISH BROWN SMECTITE,,"AN INCOMPLETE COOLING UNIT WHOSE BASE IS IN SEC 2 EXTENDS FROM 125-148CM, COLOR IS DARK GRAY TO DARK BROWNISH GRAY",                       COMBINE comments : DIKTYTAXITIC VUGS AT 137-142CM CONTAIN PHILLIPSITE & MINOR ARAGONITE & CALCITE WITH TRACES OF MN.OXIDE,PLAG        1 comments : PLAG & OLIVINE & AUGITE MICROPHENOCRYSTS ARE 1% OFINTERVAL 137-142CM | OLIVINE comments : MOSTLY ALTERED TO SMECTITE AND/OR CALCITE | AUGITE,,SMECTITE               OLIVINE | CALCITE                OLIVINE | MN.OXIDE | PHIL | ARAGONIT,,
34,319,A,1,1,3.0,98.00,98.03,   98.05,"BASS, M.",SPARSELY MICROPHYRIC BASALT,PCE 1 (3-5),"APHANITIC, 1% MICROPHENOCRYSTS UP TO 1MM LONG","COMPLEX JOINT BLOCK WITH BROWN TO GREEN STAINED JOINTS OF AT LEAST 4 ORIENTATIONS--FLAT TO VERTICAL, ONE FLAT JOINT IS PARTLY COATED WITH DARK BROWN RESINOUS SMECTITE & ANOTHER IS COATED WITH A LIGHT TRANSLUCENT BLUE FILM",,DARK GRAY (2.5Y 3/0 OR 2.5/0),,,,SMECTITE,,
34,319,A,1,1,6.0,98.00,98.06,   98.09,"BASS, M.",BASALTSIMILAR TO PCE 1,PCE 2 (6-9),SLIGHTLY COARSER-GRAINED THAN PCE 1,SEVERAL JOINT ORIENTATIONS--VARIOUS ONES COATED PARTLY BY DARK RED-STAINED SMECTITE & A LIGHT YELLOW POWDERY MATERIAL (ALMOST ISOTROPIC - LIGHT BROWN TO COLORLESS IN TRANSMITTED LIGHT) & A LIGHT BLUE FILM AS IN PCE 1,,THE BLUE FILM IS FORMED OF BLADED CRYSTALS WITH LOW FIRST ORDER GRAY INTERFERENCE COLORS AND (-) ELONGATION (LENGTH FAST)--IT IS ASSOCIATED WITH AN EARTHY CLAY WITH FIRST ORDER YELLOW TO RED INTERFERENCE COLORS,,,,SMECTITE,,
34,319,A,1,1,11.0,98.00,98.11,   98.17,"BASS, M.",PLAG-OL SPARSELY MICROPHYRIC BASALTMASSIVE,PCE 3 (11-17),"FINE-GRAINED, COARSER THAN PCES 1&2, UP TO 1% MICROPHENOCRYSTS UP TO 6MM LONG","ONE VERTICAL & ONE 25-DEGREE DIPPING JOINT-- OTHERWISE MASSIVE, THE VERTICAL JOINT IS COATED BY LIGHT YELLOW CLAY SPOTTED WITH MN.OXIDE, THE 25- DEGREE JOINT HAS INTERLAYERED YELLOW & RED BROWN CLAY COATED BY A DRUSY VERY LIGHT TAN TRANSPARENT LAYER OF COLORLESS PRISMS (PHILLIPSITE?)",,DARK YELLOWISH GRAY (5Y 2.5/2),,,,MN.OXIDE | CLAY,,
34,319,A,1,1,20.0,98.00,98.20,   98.27,"BASS, M.",PLAG-OL SPARSELY MICROPHYRIC BASALTMASSIVE,PCE 4 (20-27),"FINE-GRAINED, SPARSELY MICROPHYRIC","ONE VERTICAL JOINT COATED WITH WHITE CALCITE, ONE 55-DEGREE DIPPING JOINT COATED WITH GREENISH YELLOW & MINOR RED-BROWN CLAY WITH MN.OXIDE DENDRITES, MASSIVE & UNJOINTED OTHERWISE",,"DARK YELLOWISH GRAY TO BROWNISH GRAY, BROWN TO RED SPOTS MAY BE ALTERED MESOSTASIS AND/OR OLIVINE",,PLAG        1    TO 0.6 | OLIVINE comments : MAY INCLUDE OLIVINE,,CALCITE | MN.OXIDE | CLAY,,
34,319,A,1,1,29.0,98.00,98.29,   98.37,"BASS, M.",BASALTSIMILAR TO PCE 4,PCE 5 (29-37),COARSER-GRAINED THAN PCE 4 (MEDIUM TO COARSE- GRAINED),"35-DEGREE DIPPING JOINT ON TOP SURFACE COATED WITH WAXY YELLOW-GREEN + EARTHY RED-BROWN CLAY, ANOTHER 35-DEGREE DIPPING JOINT ON BOTTOM SURFACE COATED WITH DARK EARTHY YELLOW-BROWN MATERIAL, OTHERWISE UNJOINTED",,, comments : RARE TINY DIKTYTAXITIC VUGS,,,CLAY,,
34,319,A,1,1,38.0,98.00,98.38,   98.46,"BASS, M.",BASALT OR DIABASE,PCE 6 (38-46),"COARSE-GRAINED BASALT OR FINE-GRAINED DIABASE, MORE UNIFORMLY TEXTURED THAN OVERLYING ROCKS, COARSEST ROCK SEEN IN SECTION","BROWN STAINED 30-DEGREE DIPPING JOINT WITH YELLOW- BROWN DISCONTINUOUS STAIN & BLACK MN.OXIDE SPOTS ON UPPER SURFACE, TIGHT DISCONTINUOUS CRACKS IN SEVERAL PLACES",,IRREGULAR 20-DEGREE DIPPING SURFACE (SLIGHTLY CRACKED ON ONE SIDE OF CORE) SEPARATES RELATIVELY ALTERED DARK YELLOWISH GRAY ROCK ABOVE FROM FRESHER DARK GRAY BASALT BELOW,  TO 1.5 comments : MINOR DIKTYTAXITIC VUGS--THE LARGEST HAS A BLUE COATING AND OTHERS ARE UNALTERED,,,MN.OXIDE,,
34,319,A,1,1,48.0,98.00,98.48,   98.53,"BASS, M.",SLIGHTLY MICROPHYRIC BASALT,PCE 7 (48-53),"VERY SLIGHTLY FINER-GRAINED THAN PCE 6 BUT COARSER THAN PCE 5, SLIGHTLY MICROPHYRIC","UNJOINTED EXCEPT FOR ONE FLAT TIGHT DISCONTINUOUS CRACK ABOUT 5 CM BELOW TOP, NO VEINS",,DARK GRAY,,,,,,
34,319,A,1,1,55.0,98.00,98.55,   98.59,"BASS, M.",BASALT OR DIABASEMASSIVE,PCE 8 (55-59),COARSE-GRAINED BASALT OR VERY FINE-GRAINED DIABASE,"MASSIVE, UNJOINTED EXCEPT FOR TINY REMNANT ON FLAT JOINT ON UPPER SURFACE COATED WITH LIGHT TO MEDIUM YELLOW-BROWN CLAY",,DARK BROWNISH GRAY,,,,CLAY,,
