leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NCERO0050,Ceratolithus cristatus,RARE,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NCERO0090,Ceratolithus telesmus,RARE,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NCYCO0080,Cyclococcolithina leptopora,COMMON,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NGEPH0100,Gephyrocapsa sp.,ABUNDANT,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NHELI0100,Helicopontosphaera kamptneri,FEW,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NHELI0200,Helicopontosphaera sellii,RARE,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NHELI0221,Helicopontosphaera sp.,RARE,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NOOLI0010,Oolithotus antillarum,RARE,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NPONT0140,Pontosphaera scutellum,FEW,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NPONT0141,Pontospahera sp.,RARE,  ,1
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NPSEU0010,Pseudoemiliania lacunosa,FEW,  ,2
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NPSEU0010,Pseudoemiliania lacunosa,RARE,  ,2
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NRHAD0030,Rhabdolithus vitrea,RARE,  ,2
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NRHAO0010,Rhabdosphaera clavigera,FEW,  ,2
39,357,,1,1,70.0,70.0,0.00,0.70,19,"PERCH-NIELSEN,K.",08/1977,39,NANNOFOSSILS,ABUNDANT,,,,NO AGE GIVEN,730,NSCAP0020,Scapholithus fossilis,FEW,  ,2
