leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0240,Corbisema inermis inermis,3%,  ,1
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0392,Corbisema triacantha triacantha,25%,  ,1
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SDICT0728,Dictyocha sp.,5%,  ,1
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SDIST0492,Distephanus pentagonus s.ampl.,3%,  ,1
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SMACR0010,Macrora barbadensis,43%,  ,1
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SMESO0170,Mesocena oamaruensis,3%,  ,1
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SNAVI0060,Naviculopsis constricta,3%,  ,1
43,386,,14,1,100.0,101.0,328.00,329.51, 8,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SNAVI0080,Naviculopsis foliacea,18%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0010,Corbisema apiculata,1%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0392,Corbisema triacantha triacantha,3%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SDICT0360,Dictyocha fibula stapedia longispina (q),1%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SDICT0660,Dictyocha spinosa,1%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SDICT0728,Dictyocha sp.,3%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SMACR0010,Macrora barbadensis,80%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SMACR0020,Macrora najae,1%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SNAVI0060,Naviculopsis constricta,6%,  ,1
43,386,,14,3,110.0,111.0,328.00,332.61, 9,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SNAVI0080,Naviculopsis foliacea,4%,  ,1
43,386,,14,5,134.0,135.0,328.00,335.85,15,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0010,Corbisema apiculata,2%,  ,1
43,386,,14,5,134.0,135.0,328.00,335.85,15,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0180,Corbisema hastata hastata,1%,  ,1
43,386,,14,5,134.0,135.0,328.00,335.85,15,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0190,Corbisema hastata minor,TRACE,  ,1
43,386,,14,5,134.0,135.0,328.00,335.85,15,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0240,Corbisema inermis inermis,TRACE,  ,1
43,386,,14,5,134.0,135.0,328.00,335.85,15,"BUKRY,D.",,44,SILICOFLAGELLATES,,,,,NO AGE GIVEN,781,SCORB0392,Corbisema triacantha triacantha,12%,  ,1
