leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
48,400,A,PLEISTOCENE,,74.5,96.5,,NO AGE GIVEN,,NO AGE GIVEN,0.011,  1.8,.9055,DSDP INITIAL REPORTS
48,400,A,UPPER PLIOCENE,,96.5,103.0,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
48,400,A,PLEISTOCENE,UPPER PLIOCENE,103.0,112.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,  3.4,1.706,DSDP INITIAL REPORTS
48,400,A,UPPER PLIOCENE,,112.5,160.0,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,  3.4,  2.6,DSDP INITIAL REPORTS
48,400,A,UPPER PLIOCENE,LOWER PLIOCENE,160.0,169.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
48,400,A,LOWER PLIOCENE,,169.5,217.0,,NO AGE GIVEN,,NO AGE GIVEN,  3.4,    5,  4.2,DSDP INITIAL REPORTS
48,400,A,UPPER MIOCENE,,217.0,302.5,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
48,400,A,UPPER MIOCENE,MIDDLE MIOCENE,302.5,312.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5,   16, 10.5,DSDP INITIAL REPORTS
48,400,A,MIDDLE MIOCENE,,312.0,407.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
48,400,A,LOWER MIOCENE,,407.0,473.5,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
48,400,A,UPPER OLIGOCENE,MIDDLE OLIGOCENE,473.5,492.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 22.5,   32,27.25,DSDP INITIAL REPORTS
48,400,A,MIDDLE OLIGOCENE,LOWER EOCENE,492.5,502.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   29, 53.5,41.25,DSDP INITIAL REPORTS
48,400,A,LOWER OLIGOCENE,,502.0,515.1,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
48,400,A,MIDDLE EOCENE,,515.1,568.5,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
48,400,A,LOWER EOCENE,,568.5,607.6,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
48,400,A,UPPER PALEOCENE,,607.6,635.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
48,400,A,MAESTRICHTIAN,,635.0,644.5,,NO AGE GIVEN,,NO AGE GIVEN,   65,   70, 67.5,DSDP INITIAL REPORTS
48,400,A,LOWER MAESTRICHTIAN ,UPPER CAMPANIAN,644.5,654.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   74,70.75,DSDP INITIAL REPORTS
48,400,A,UPPER ALBIAN,,654.0,674.0,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
48,400,A,MIDDLE ALBIAN,LOWER ALBIAN,674.0,692.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  104,  108,  106,DSDP INITIAL REPORTS
48,400,A,LOWER ALBIAN,,692.0,711.0,,NO AGE GIVEN,,NO AGE GIVEN,  106,  108,  107,DSDP INITIAL REPORTS
48,400,A,LOWER ALBIAN,UPPER APTIAN,711.0,719.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  106,  112,  109,DSDP INITIAL REPORTS
48,400,A,UPPER APTIAN,,720.5,777.5,,NO AGE GIVEN,,NO AGE GIVEN,  108,  112,  110,DSDP INITIAL REPORTS
