leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
57,440,B,1,CC,,,139.50,141.57, 7,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,COMMON,,,MODERATE,NO AGE GIVEN,819,FGLOA0118,Globorotalia crassaformis,RARE,  ,1
57,440,B,1,CC,,,139.50,141.57, 7,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,COMMON,,,MODERATE,NO AGE GIVEN,819,FGLOA0246,Globorotalia inflata,ABUNDANT,  ,1
57,440,B,1,CC,,,139.50,141.57, 7,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,COMMON,,,MODERATE,NO AGE GIVEN,819,FGLOG0105,Globigerina bulloides,RARE,  ,1
57,440,B,1,CC,,,139.50,141.57, 7,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,COMMON,,,MODERATE,NO AGE GIVEN,819,FGLOG0580,Globigerina parabulloides,RARE,  ,1
57,440,B,1,CC,,,139.50,141.57, 7,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,COMMON,,,MODERATE,NO AGE GIVEN,819,FGLOG0660,Globigerina quadrilatera,RARE,  ,1
57,440,B,1,CC,,,139.50,141.57, 7,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,COMMON,,,MODERATE,NO AGE GIVEN,819,FNEOG0040,Neogloboquadrina dutertrei,FEW,  ,1
57,440,B,1,CC,,,139.50,141.57, 7,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,COMMON,,,MODERATE,NO AGE GIVEN,819,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),COMMON,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOA0118,Globorotalia crassaformis,RARE,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOA0246,Globorotalia inflata,RARE,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOG0105,Globigerina bulloides,RARE,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOG0580,Globigerina parabulloides,RARE,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOG0660,Globigerina quadrilatera,RARE,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOG0670,Globigerina quinqueloba,RARE,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FNEOG0110,Neogloboquadrina pachyderma,FEW,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FNEOG0112,Neogloboquadrina pachyderma (right-coiling),FEW,  ,1
57,440,B,3,CC,,,158.50,168.05, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),ABUNDANT,  ,1
57,440,B,4,CC,,,168.00,174.80, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOA0526,Globorotalia tosaensis,RARE,  ,1
57,440,B,4,CC,,,168.00,174.80, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOG0580,Globigerina parabulloides,RARE,  ,1
57,440,B,4,CC,,,168.00,174.80, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FNEOG0110,Neogloboquadrina pachyderma,FEW,  ,1
57,440,B,4,CC,,,168.00,174.80, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FNEOG0112,Neogloboquadrina pachyderma (right-coiling),RARE,  ,1
57,440,B,7,2,40.0,44.0,196.50,198.42, 6,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOA0246,Globorotalia inflata,FEW,  ,1
57,440,B,7,2,40.0,44.0,196.50,198.42, 6,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOA0554,Globorotalia tumida,RARE,  ,1
57,440,B,7,2,40.0,44.0,196.50,198.42, 6,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,819,FGLOG0580,Globigerina parabulloides,RARE,  ,1
