leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
6,56,B,1,1,0.0,3.0,73.20,73.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0080,Discoaster brouweri,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0170,Discoaster extensus,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0350,Discoaster pentaradiatus,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0390,Discoaster quinqueramus,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0466,Discoaster surculus (q),PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NCERO0100,Ceratolithus tricorniculatus,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NCYCC0130,Cyclococcolithus macintyrei,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NDISC0100,Discoaster challengerii,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NDISC0395,Discoaster quintatus,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NDISC0465,Discoaster surculus,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NSPHN0010,Sphenolithus abies,PRESENT,  ,1
6,56,B,1,1,0.0,3.0,73.20,73.22, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,983,NTRIQ0040,Triquetrorhabdulus rugosus,PRESENT,  ,1
6,56,B,1,2,0.0,3.0,73.20,74.72, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0080,Discoaster brouweri,PRESENT,  ,1
6,56,B,1,2,0.0,3.0,73.20,74.72, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0170,Discoaster extensus,PRESENT,  ,1
6,56,B,1,2,0.0,3.0,73.20,74.72, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0350,Discoaster pentaradiatus,PRESENT,  ,1
6,56,B,1,2,0.0,3.0,73.20,74.72, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0390,Discoaster quinqueramus,PRESENT,  ,1
6,56,B,1,2,0.0,3.0,73.20,74.72, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0466,Discoaster surculus (q),PRESENT,  ,1
6,56,B,1,2,145.0,150.0,73.20,76.18, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0080,Discoaster brouweri,PRESENT,  ,1
6,56,B,1,2,145.0,150.0,73.20,76.18, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0170,Discoaster extensus,PRESENT,  ,1
6,56,B,1,2,145.0,150.0,73.20,76.18, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0350,Discoaster pentaradiatus,PRESENT,  ,1
6,56,B,1,2,145.0,150.0,73.20,76.18, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0390,Discoaster quinqueramus,PRESENT,  ,1
6,56,B,1,2,145.0,150.0,73.20,76.18, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0466,Discoaster surculus (q),PRESENT,  ,1
6,56,B,1,3,0.0,3.0,73.20,76.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0080,Discoaster brouweri,PRESENT,  ,1
6,56,B,1,3,0.0,3.0,73.20,76.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0170,Discoaster extensus,PRESENT,  ,1
6,56,B,1,3,0.0,3.0,73.20,76.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0350,Discoaster pentaradiatus,PRESENT,  ,1
6,56,B,1,3,0.0,3.0,73.20,76.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0390,Discoaster quinqueramus,PRESENT,  ,1
6,56,B,1,3,0.0,3.0,73.20,76.22, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0466,Discoaster surculus (q),PRESENT,  ,1
6,56,B,1,4,14.0,15.0,73.20,77.85, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0080,Discoaster brouweri,PRESENT,  ,1
6,56,B,1,4,14.0,15.0,73.20,77.85, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0170,Discoaster extensus,PRESENT,  ,1
6,56,B,1,4,14.0,15.0,73.20,77.85, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0350,Discoaster pentaradiatus,PRESENT,  ,1
6,56,B,1,4,14.0,15.0,73.20,77.85, 5,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1010,NDISC0390,Discoaster quinqueramus,PRESENT,  ,1
