leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
63,469,,1,1,136.0,137.0,0.00,1.37, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
63,469,,1,1,136.0,137.0,0.00,1.37, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DDENI0100,Denticulopsis seminae,RARE,  ,1
63,469,,1,1,136.0,137.0,0.00,1.37, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
63,469,,1,1,136.0,137.0,0.00,1.37, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAS0005,Thalassiothrix sp.,RARE,  ,1
63,469,,1,1,136.0,137.0,0.00,1.37, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAS0020,Thalassiothrix longissima,RARE,  ,1
63,469,,1,4,65.0,67.0,0.00,5.16, 2,BARRON,09/1981,63,DIATOMS,RARE,,,POOL,NO AGE GIVEN,513,DCOSC0580,Coscinodiscus nodulifer,RARE,  ,1
63,469,,1,4,65.0,67.0,0.00,5.16, 2,BARRON,09/1981,63,DIATOMS,RARE,,,POOL,NO AGE GIVEN,513,DTHAS0020,Thalassiothrix longissima,RARE,  ,1
63,469,,2,1,60.0,62.0,7.50,8.11, 3,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DCOSC0580,Coscinodiscus nodulifer,RARE,  ,1
63,469,,2,1,60.0,62.0,7.50,8.11, 3,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
63,469,,2,1,60.0,62.0,7.50,8.11, 3,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAS0020,Thalassiothrix longissima,RARE,  ,1
63,469,,2,CC,,,7.50,11.93, 1,BARRON,09/1981,63,DIATOMS,RARE,,,POOL,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
63,469,,3,1,60.0,62.0,17.00,17.61, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
63,469,,3,1,60.0,62.0,17.00,17.61, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DDENI0100,Denticulopsis seminae,RARE,  ,1
63,469,,3,1,60.0,62.0,17.00,17.61, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAA0280,Thalassiosira oestrupii,RARE,  ,1
63,469,,3,1,60.0,62.0,17.00,17.61, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
63,469,,3,1,60.0,62.0,17.00,17.61, 5,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAS0020,Thalassiothrix longissima,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DCOSC0580,Coscinodiscus nodulifer,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DDENI0100,Denticulopsis seminae,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DDENI0100,Denticulopsis seminae,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DNITZ0380,Nitzschia marina,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DNITZ0570,Nitzschia reinholdii,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DRHIZ0090,Rhizosolenia curvirostris,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAA0280,Thalassiosira oestrupii,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
63,469,,3,5,98.0,100.0,17.00,23.99,10,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAS0020,Thalassiothrix longissima,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DCOSC0580,Coscinodiscus nodulifer,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DDENI0100,Denticulopsis seminae,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DDENI0100,Denticulopsis seminae,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DHEMD0010,Hemidiscus cuneiformis,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DNITZ0380,Nitzschia marina,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DNITZ0570,Nitzschia reinholdii,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DRHIZ0040,Rhizosolenia barboi,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DRHIZ0090,Rhizosolenia curvirostris,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DRHIZ0205,Rhizosolenia matuyamai,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DTHAA0280,Thalassiosira oestrupii,RARE,  ,1
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,2
63,469,,3,CC,,,17.00,26.70,12,BARRON,09/1981,63,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,513,DTHAS0020,Thalassiothrix longissima,FEW,  ,2
63,469,,4,1,13.0,14.0,26.50,26.64, 7,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DCOSC0490,Coscinodiscus marginatus,RARE,  ,1
63,469,,4,1,13.0,14.0,26.50,26.64, 7,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DDENI0100,Denticulopsis seminae,RARE,  ,1
63,469,,4,1,13.0,14.0,26.50,26.64, 7,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DNITZ0380,Nitzschia marina,RARE,  ,1
63,469,,4,1,13.0,14.0,26.50,26.64, 7,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DRHIZ0040,Rhizosolenia barboi,RARE,  ,1
63,469,,4,1,13.0,14.0,26.50,26.64, 7,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DRHIZ0090,Rhizosolenia curvirostris,RARE,  ,1
63,469,,4,1,13.0,14.0,26.50,26.64, 7,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
63,469,,4,1,13.0,14.0,26.50,26.64, 7,BARRON,09/1981,63,DIATOMS,RARE,,,MODERATE,NO AGE GIVEN,513,DTHAS0020,Thalassiothrix longissima,RARE,  ,1
63,469,,4,3,90.0,92.0,26.50,30.41, 2,BARRON,09/1981,63,DIATOMS,RARE,,,POOL,NO AGE GIVEN,513,DHEMD0010,Hemidiscus cuneiformis,RARE,  ,1
63,469,,4,3,90.0,92.0,26.50,30.41, 2,BARRON,09/1981,63,DIATOMS,RARE,,,POOL,NO AGE GIVEN,513,DTHAL0060,Thalassionema nitzschioides,RARE,  ,1
