leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
65,482,D,8,1,0.0,138.00,138.00,  139.50,"MORRISON, M. ANN",PLAG VERY SPARSELY PHYRIC BASALTMASSIVE,"PCES 1 (0-5), 2A (6-12), 2B (12-20), 3 (21-25), 4A (28-32), 4B (32-44), 5 (46-49), 6 (51-60), 7 (61-64), 8 (65-60), 9 (71-77), 10 (79-85), 11 (86-97), 12 (101-115), 13 (116-123), 14 (125-11), 15 (132-135), 16 (137-140), 17 (141-150)","PCE 1 IS RUBBLE OF FINE-GRAINED BASALT, PCES 2-17 ARE SPARSELY PHYRIC, GRAIN SIZE INCREASES DOWNWARDS BUT IN PCES 14-17 THERE IS A DECREASE IN GRAIN SIZE TO THE BOTTOM, NO SIGNS OF GLASS","SMECTITE & CALCITE VEINS OFTEN WITH SULFIDES COMMON IN HAIRLINE CRACKS & IN ABUNDANCE DOWN THE SECTION, PCES 2-17 MASSIVE",FRESH PCES 11 AND 14 HAVE VERY FAINT ALTERATION HALOS AROUND VEINS,"PCE 1 IS VERY SIMILAR TO PCES 2-17, NO BASALT-SED CONTACT SEEN ON ANY OF THE PCES","            1          CALCITE,SULFIDES comments : PCES 11 & 14 HAVE SMALL VESICLES",PLAG      <<1         1,,"CALCITE | SMECTITE | SULFIDES comments :  DISSEMINATED IN GROUNDMASS OF PCES(1-4,6,8,14)",,
65,482,D,8,2,0.0,138.00,139.50,  139.80,"KUDO, A.",APHYRIC BASALT,"PCES 1 (0-5), 2 (7-12), 3 (15-21), 4 (23-28)","APHYRIC, VARIABLE GRAIN SIZE(PCE 4 IS COARSEST), PCE 2 MAY HAVE COOLING RIND WITH CALCITE AND SULFIDE ON OUTSIDE",PCE 4 HAS VEINS OF CALCITE AND SULFIDE AND CLAY,FRESH,"MAY BE ANOTHER COOLING UNIT, POSITION OF SAMPLE 1-4 UNCERTAIN",,,,CLAY | CALCITE | SULFIDE,,
65,482,D,9,1,0.0,140.50,140.50,  140.65,"SCHMINCKE, H.",MUDSTONE,PCE 1 (0-15),,,,,,,,,,
65,482,D,9,1,15.0,140.50,140.65,  142.00,"SCHMINCKE, H.",APHYRIC BASALTMASSIVE,"PCES 2 (15-22), 3A (24-30), 3B (30-37), 3C (36-45), 4 (45-59), 5 (60-70), 6 (70-80), 7 (82-89), 8 (90-105), 9 (105-112), 10 (114-120), 11 (121-127), 12 (127-140), 13 (142-150)","MEDIUM-GRAINED, PRACTICALLY APHYRIC, VESICLE FILLINGS ZONED","MAJOR FRACTURES SUBVERTICAL-SOME SUBHORIZONTAL TO OBLIQUE, VEINS UP TO 2MM WIDE FILLED WITH UP TO 1CM CARBONATE CRYSTALS AND SULFIDE AND BLUISH SMECTITE AND PHILIPPSITE(?)",MODERATE PRONOUNCED ALTERATION HALOS ALONGSIDE FACTURES UP TO 2CM WIDE AND GRADING DIFFUSELY INTO FRESHER SALT,GREY,    TO 1 <1-2          SMECTITE comments : GREEN TO BROWN SMECTITE BECOMES SMALLER AND SCARCER AS GO DOWNWARDS,PLAG      <<1        <3 comments : VERY RARE PLA PHENOS,,"SULFIDE comments :  IN GROUNDMASS IN ALTERATION HALOS | SMECTITE comments :  BLUISH TO GREEN TO BROWN, REPLACING GROUNDMASS | CARB comments :  AS CRYSTALS OF CARBONATE | PHILLIPS",,
65,482,D,9,2,0.0,140.50,142.00,  143.50,"ZOLOTAREV, B.",APHYRIC BASALTMASSIVE,"PCES 1A (0-10), 1B (10-7), 1C (18-24), 1D (23-27), 1E (28-31), 2 (33-39), 3 (40-43), 4 (45-48), 5 (50-57), 6 (58-62), 7 (74-75), 8 (77-86), 9 (87-95), 10 (96-100), 11 (101-110), 12 (111-114), 1 (116-123), 14 (125-130), 15 (130-137), 16 (140-145), 17 (145-150)","MOSTLY APHYRIC, FINELY GRAINED","PCES(1,2,8,11-13) MOD FRACTURED AND FILLED WITH CARBONATE AND SMECTITE AND UNEVEN PYRITE, MASSIVE",MOD,"GREY, ALL SAMPLES SAME COMPOSITION AND TEXTURE","    TO 1    1          SMECTITE, CARB |                        PYRITE comments : VESICLES FILLED WITH WHITE AND GRAY GREENISH MATERIAL WHICH COULD BE CARB AND SMECTITE WITH PYRITE GRAINS INSIDE CARBONATE","PLAG      <<1     1.5-2 comments : DISTRIBUTION UNEVEN PCES(7,11,17), PHENOS VERYRARE",,CAB | SMECTITE | PYRITE,,
65,482,D,9,3,0.0,140.50,143.50,  144.51,"ZOLOTAREV, B.",APHYRIC BASALTMASSIVE,"PCES 1 (0-5), 2 (7-10), 3 (11-17), 4 (19-27), 5 (27-32), 6 (33-38), 7 (40-47), 8 (48-51), 9 (58-61), 10 (63-67), 11 (70-76), 12 (77-82), 13 (83-87), 14 (88-93), 15 (95-101)",APHYRIC,"MASSIVE, SOME FRACTURE FILLED WITH CARB AND SMECTITE AND UNEVEN PYRITE",SLIGHT TO MODERATE,"SAME AS 9-2, GREY","   0.5-1   <1          SMECTITE,CARB comments : SPARSELY VESICULAR",PLAG                  1 comments : VERY RARE MICROPHENOS,,CARB | PYRITE | SMECTITE,,
65,482,D,10,1,0.0,150.50,150.50,  151.95,"FLOWER, M.",APHYRIC BASALTMASSIVE,"PCES 1 (0-6), 2 (8-12), 3 (14-18), 4 (20-25), 5 (26-27), 6 (31-35), 7 (36-43), 8 (45-53), 9 (54-68), 10A (70-75), 10B (74-80), 10C (80-87), 10D (88-92), 11 (94-110), 12 (111-117), 13 (119-127), 14 (28-132), 15A (134-140), 15B (138-145)","APHYRIC, FRAGMENTATION OF CORE","MASSIVE, FEW CALCITE FILLED HAIRLINE FRACTURES, PCES 10D-13 SHOW FACES OF THICKER VEINS CONTAINING CALCITE AND GREEN SMECTITE AND MOSTLY DISSEMINATED SULFIDE",FRESH MOSTLY,"LITHOLOGY CONTINUED FROM 9-3, GREY",            0,,,SULFIDE comments :  DISSEMINAED MOSTLY | CALCITE | SMECTITE,,
65,482,D,10,2,0.0,150.50,152.00,  153.50,"FLOWER, M.",APHYRIC BASALTMASSIVE,"PCES 1 (0-5), 2 (6-14), 3 (15-29), 4 (30-35), 5A (37-40), 5B (41-51), 5C (51-54), 5D (55-89), 5E (90-93), 5F (93-97), 6 (98-100), 7 (102-105), 8 (106-115), 9 9117-122), 10A (124-132), 10B (132-138), 11 (139-142), 12 (145-150)","APHYRIC, MOTTLED APPEARANCE OF SOME PCES MAY BE GROUDMASS, TRANSITION  GLOMERHYRIC BASALT SEEMS GRADATIONAL","SMECTITE AND CALCITE VEINS IN PCE 10A, MASSIVE",FRESH,LITHOLOGY CONTINUOUS FROM PREVIOUS CORE 10-1,,COMBINE comments : INCLUDES PLAG(+OR- CPX) GLOMEROPYRIC CLOTS WITHLARGER AND MORE ABUNDANT CLOTS IN PCE 10,,SMECTITE | CALCITE,,
65,482,D,10,3,0.0,150.50,153.50,  154.10,"FLOWER, M.",APHYRIC BASALTMASSIVE,"PCES 1 (0-3), 2A (5-9), 2B (10-17), 2C (18-20), 3 (22-30), 4 (31-40), 5 (42-50), 6 (50-60)","APHYRIC, INCREASING GRAIN SIZE, PCE 6 SHOWS DISTINCT COOLING MARGIN AND GLASSY RIND","ALTERED CRACKS SHOWING SMECTITE AND CALCITE AND SULFIDE, PCES 3-4 SHOW FAINT ALTERATION ALONG FRACTURE SURFACES, MASSIVE",FRESH PCES 3-4 SHOW FAINT ALTERATION,LITHOLOGY CONTINUOUS FROM CORE 10-2,,"PLAG | CPX comments : GLOMEROCRYSTIC CLOTS OF PLAG-AUGITE IN PCES 9-12,LCITELFIDEECTITE",,,,
65,482,D,10,3,60.0,150.50,154.10,  154.15,"FLOWER, M.",SEDIMENT,PC 7 (60-65),INDURATED,,,,,,,,,
