leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
69,504,B,2,1,0.0,270.00,270.00,  270.95,"PERTSEV, N.",SEDIMENT,,,,,,,,,,,
69,504,B,2,1,95.0,270.00,270.95,  271.45,"PERTSEV, N.",PLAG-CPX-OL MOD PHYRIC BASALT,"PCES 232 (95-100), 233 (104-110), 234 (113-118), 235 (120-127), 236 (130-137), 237 (140-143)","SPARSELY PHYRIC,MICROLITIC,PCE 232 SEEMS TO HAVE THE ZONE NEXT TO GLASS","CRACKS FILLED WITH SMEC ABUNDANT ONLY IN PCE 232, MANY OF THE OTHER SAMPLES HAVE SURFACES ALONG FORMER CRACKS",FRESH TO SLIGHTLY IT 1,,      <1 RARE          SMEC comments : LIGHT GREEN OR YELLOW OR ORANGE,PLAG               TO 3 | CPX                TO 3 | OL                 TO 3 comments : ALL PHENOS TOTAL 5%,,SMEC                   OL comments :  GREEN OR YELLOW OR ORANGE,,
69,504,B,3,1,0.0,278.00,278.00,  279.45,"ADAMSON, A. C.",APHYRIC BASALT,"PCES 238 (1-13), 239 (15-23), 240 (20-22), 241 (24-28), 242 (24-28), 243 (32-35), 244 (40-49), 245 (51-59), 246 (61-69), 247 (68-70), 248 (70-79), 249 (78-84), 250 (85-90), 251 (90-100), 252 (99-105), 253 (105-115), 254 (115-118), 255 (119-125), 256 (125-131), 257 (131-135), 258 (136-143), 259 (143-145)","APHYRIC,BOTTOM PCE 244 & TOP PCE 246 VARIOLITIC TEXTURE INDICATING TOP OF A FLOW,PCE 259 HAS FINE- GRAINED ZONE INDICATING THE BOTTOM OF A FLOW,80CM THIN FLOW FROM PCE 246-259","CRACKS(TO 2MM) WITH CARB IN PCES 239-240+253,LARGE CRACKS WITH DARK GREEN PRODUCT IN PCES 251+258",comments: OL REPLACED BY GREEN CLAYS,"LIGHT GRAY BASALT,CONTINUATION OF UNIT 1","                       CLAY.MINS comments : SMALL,FILLED WITH YELLOW & ORANGE & RED OR GREEN CLAYS-GENERALLY A RIM WITH YELLOW & RED CLAYS & A CORE WITH GREEN CLAYS",OL       TO 1 comments : REPLACED BY DARK GREEN CLAYS,,CLAY                   OL | DARK GREEN | CLAY comments :  YELLOW & RED & ORANGE OR GREEN | UNIDENT comments :  DARK GREEN IN PCES 251+258,,
69,504,B,3,2,1.0,278.00,279.51,  279.80,"ADAMSON, A. C.",APHYRIC BASALT,"PCES 260 (1-8), 261 (13-20), 262 (20-25), 263 (25-30)",APHYRIC,PCES 262-263 LARGE CRACKS FILLED WITH DARK GREEN PRODUCT,"MOD PCES 261-263,OXIDIZED ZONES",CONTINUATION OF UNIT 1,"                       CLAY.MINS comments : VESICLES FILLED WITH YELLOW-ORANGE-RED &/OR GREEN CLAY.MINS |                        UNIDENT comments : PCE 261,BIG VESICLES WITH DARK GREEN UNIDENT.MINS",OL         <1 comments : REPLACED BY GREEN CLAYS,,CLAY comments :  YELLOW-ORANGE-RED &/OR GREEN | CLAY                   OL comments :  GREEN | UNIDENT comments :  DARK GREEN PRODUCT FILLS VESICLES(PCE 261) & CRACKS(262-263),,
69,504,B,4,1,1.0,280.00,280.01,  280.20,"ADAMSON, A. C.",APHYRIC TO PLAG-OL SPARSELY PHYRIC BASALT,"PCES 264 (1-7), 265 (14-16), 266 (7-14), 267 (14-19)",APHYRIC TO SPARSELY PHYRIC,,"MOD PCES 264+266,ALTERATION AS RED-ORANGE OXIDATION RIMS",PCES 264-267 CONTINUATION OF UNIT 1,,PLAG       <1       1-2 | OL         <1      TO 1 comments : COMPLETELY REPLACED BY DARK GREEN CLAYS,,CLAY       <1      TO 1OL,,
69,504,B,4,1,20.0,280.00,280.20,  280.47,"ADAMSON, A. C.",PLAG-OL MOD PHYRIC BASALT,"PCES 268 (22-31), 269 (32-41), 270 (32-41), 271 (41-47)","MOD PHYRIC,TOP OF PCE 268 HAS VARIOLITIC TEXTURE SUGGESTING CLOSE PROXIMITY TO GLASS MARGIN",,,PCE 268 BEGINS SUBUNIT 2A,     1-2   <1          CLAY.MINS comments : GREEN CLAY.MIN FILLING,PLAG      4-5       2-3 | OL       TO 2       1-2 comments : COMPLETELY REPLACED,,CLAY comments :  GREEN,,
69,504,B,4,1,49.0,280.00,280.49,  280.90,"ADAMSON, A. C.",APHYRIC TO PLAG-OL SPARSELY PHYRIC BASALT,"PCES 272 (49-55), 273 (57-60), 274 (62-70), 275 (72-77), 276 (78-83), 277 (75-78), 278 (83-90)","APHYRIC TO SPARSELY PHYRIC,PCE 274 ALMOST ALL GLASS",PCE 274 GREEN CLAY VEINS,,SUBUNIT 2A,,PLAG       TR        <1 comments : TRACE OF MICROPHENOS | OL       TO 1        <1 comments : PSEUDOMORPHS,,CLAY comments :  GREEN IN PCE 274,,
69,504,B,4,1,100.0,280.00,281.00,  281.41,"ADAMSON, A. C.",OL-PLAG MOD PHYRIC BASALTPILLOW BASALT,"PCES 279 (92-94), 280 (98-103), 281 (104-112), 282 (112-117), 283 (123-126), 284 (112-123), 285 (125-128), 286 (127-130), 287 (128-130), 288 (130-136), 289 (136-140)","MOD PHYRIC,PCE 280 SAME AS PCES 268-271,PCES 281-289 FINE-GRAINED & MAKE UP ONE PILLOW",PILLOW BASALT,,PCES 281-289 ARE DARK GRAY,,PLAG      4-5       2-3 | OL          1       1-2,,,,
69,504,B,4,1,90.0,280.00,280.90,  281.00,"ADAMSON, A. C.",SEDIMENT,,,,,,,,,,,
69,504,B,4,1,90.0,280.00,280.90,  281.00,"ADAMSON, A. C.",NANNOFOSSIL LIMESTONE,,,,,PCES 279A & 279B,,,,,,
