leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
80,550,B,1,1,0.0,150.0,456.00,456.00,457.50,SPV, NANNOFOSSIL CHALK," GRAY,GREEN,WHITE", BURROWS,,, IRON,,, FIRM, 11121210
80,550,B,1,2,0.0,150.0,456.00,457.50,459.00,KO, NANNOFOSSIL CHALK," WHITE,LIGHT GRAY,BROWN"," LAMINAE,MOTTLING,BURROWS",,,,,, FIRM, 11121210
80,550,B,1,3,0.0,150.0,456.00,459.00,460.50,KO, NANNOFOSSIL CHALK," BROWN,OLIVE GREEN"," MOTTLING,BANDING,BURROWS",, CALCITE,,,, FIRM, 11121210
80,550,B,1,4,0.0,150.0,456.00,460.50,462.00,SPV, NANNOFOSSIL CHALK," WHITE,GRAY,GREEN", BURROWS,, PEBBLES,,,, FIRM, 11121210
80,550,B,1,5,0.0,150.0,456.00,462.00,463.50,KO, MARLY NANNOFOSSIL CHALK," BROWN,PINK,GRAY,WHITE,PINKISH BROWN,YELLOWISH RED"," BURROWS,LAMINAE,BANDING,MOTTLING",,,,,, FIRM, 12221210
80,550,B,1,6,0.0,104.0,456.00,463.50,464.54,KO, MARLY NANNOFOSSIL CHALK," DARK GRAYISH BROWN,LIGHT YELLOWISH BROWN",,,,,,, FIRM, 12221210
80,550,B,1,CC,0.0,25.0,456.00,464.72,464.87,KO, MARLY NANNOFOSSIL CHALK," BROWN,GRAY", BANDING,,,,,, FIRM, 12221210
80,550,B,2,1,0.0,26.0,465.50,465.50,465.76,KO, DRILLING MUD AND BRECCIA,,,,,,,, FIRM, 33213000
80,550,B,2,1,26.0,150.0,465.50,465.76,467.00,KO, CALCAREOUS CHALK, BROWNS, SLICKENSIDES, MODERATELY DISTURBED, PEBBLES,,,, FIRM, 11120000
80,550,B,2,2,0.0,150.0,465.50,467.00,468.50,SPV, CALCAREOUS CHALK, BROWNS, BURROWS,, PEBBLES, CHERT,,, FIRM, 11120000
80,550,B,2,3,0.0,127.0,465.50,468.50,469.77,KO, CALCAREOUS CHALK," BLUISH WHITE,GREENISH GRAY,DARK RED,DARK BROWN, PALE BROWN,LIGHT YELLOWISH BROWN"," BURROWS,LAMINAE,BEDDING",,,,,, FIRM, 11120000
80,550,B,2,CC,0.0,16.0,465.50,469.87,469.93,KO, CALCAREOUS CHALK, BROWN, BURROWS,,,,,, FIRM, 11120000
80,550,B,3,1,0.0,150.0,475.00,475.00,476.50,SPV, NANNOFOSSIL CHALK, LIGHT YELLOWISH BROWN, FRACTURING, MODERATELY DISTURBED,,,,, FIRM, 11121210
80,550,B,3,2,0.0,112.0,475.00,476.50,477.62,PL, NANNOFOSSIL CHALK, LIGHT GRAY," MOTTLING,BEDDING,CONTACT",, CALCITE,,,, FIRM, 11121210
