leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BBOLI0345,Bolivina thalmani,2%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BBULI0020,Bulimina aculeata,1%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BCASI0172,Cassidulina obtusa,1%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BCIBC0010,Cibicidoides sp.,1%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BCIBC0085,Cibicidoides kullenbergi,2%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BDENT0010,Dentalina sp.,1%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BEGGE0010,Eggerella bradyi,1%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BEPIT0030,Epistominella exigua,4%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BEPON0090,Eponides tumidulus,2%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BFISS0010,Fissurina sp.,11%,  ,1
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BFRAN0010,Francesita advena,1%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BFURS0045,Fursenkoina schreibersiana,3%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BGLOU0050,Globulina sp.,2%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BGYRI0075,Gyroidinoides sp.,4%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BHOEG0010,Hoeglundia elegans,5%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BMELO0030,Melonis barleeanus,1%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BMELO0060,Melonis pompilioides,4%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BORID0030,Oridorsalis umbonatus,2%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BOSAN0093,Osangularia rugosa,3%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BPLAL0090,Planulina wuellerstorfi,2%,  ,2
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BPULL0020,Pullenia bulloides,2%,  ,3
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BPULL0110,Pullenia quinqueloba,20%,  ,3
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BPYRG0050,Pyrgo murrhina,5%,  ,3
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BSPHE0010,Sphaeroidina bulloides,2%,  ,3
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BTRIL0006,Triloculina gibba,5%,  ,3
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BUVIG0140,Uvigerina peregrina,2%,  ,3
81,553,,1,CC,0.0,0.0,0.00,8.35,27,MURRAY,12/1984,81,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,510,BVALL0010,Valvulineria sp.,14%,  ,3
