leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
82,563,,1,1,0.0,150.0,156.50,156.50,158.00,DMC, NANNOFOSSIL OOZE, WHITE," BURROWS,MOTTLING,BEDDING", MODERATELY DISTURBED,,,,, SOFT*,
82,563,,1,2,0.0,110.0,156.50,158.00,159.10,DMC, FORAM NANNOFOSSIL OOZE, WHITE,, MODERATELY DISTURBED,,,,, SOFT*,
82,563,,1,3,0.0,140.0,156.50,159.50,160.90,DMC, FORAM NANNOFOSSIL OOZE, WHITE," BEDDING,BURROWS,MOTTLING"," MODERATELY DISTURBED,GREATLY DISTURBED",,,,, SOFT*,
82,563,,1,CC,0.0,10.0,156.50,161.02,161.02,DMC, FORAM NANNOFOSSIL OOZE, WHITE,, GREATLY DISTURBED,,,,, SOFT*,
82,563,,2,1,0.0,150.0,166.00,166.00,167.50,DMC, NANNOFOSSIL OOZE, WHITE, MOTTLING, GREATLY DISTURBED,,,,, SOFT*,
82,563,,2,2,0.0,150.0,166.00,167.50,169.00,DMC, FORAM NANNOFOSSIL OOZE, WHITE, MOTTLING, GREATLY DISTURBED,,,,, SOFT*,
82,563,,2,3,0.0,150.0,166.00,169.00,170.50,DMC, FORAM NANNOFOSSIL OOZE, WHITE TO VERY PALE BROWN, MOTTLING, GREATLY DISTURBED,,,,, SOFT*,
82,563,,2,4,0.0,150.0,166.00,170.50,172.00,DMC, FORAM NANNOFOSSIL OOZE, WHITE TO VERY PALE BROWN, MOTTLING, GREATLY DISTURBED,,,,, SOFT*,
82,563,,2,5,0.0,150.0,166.00,172.00,173.50,DMC, NANNOFOSSIL OOZE, WHITE TO VERY PALE BROWN, MOTTLING, GREATLY DISTURBED,,,,, SOFT*,
82,563,,2,6,0.0,150.0,166.00,173.50,175.00,DMC, FORAM NANNOFOSSIL OOZE, WHITE, MOTTLING, GREATLY DISTURBED,,,,, SOFT*,
82,563,,2,7,0.0,45.0,166.00,175.00,175.45,DMC, FORAM NANNOFOSSIL OOZE, WHITE, MOTTLING, GREATLY DISTURBED,,,,, SOFT*,
82,563,,3,1,0.0,150.0,175.50,175.50,177.00,DMC, NANNOFOSSIL OOZE," LIGHT GRAY TO WHITE,PALE BROWN", BURROWS, GREATLY DISTURBED,,,,, SOFT*,
82,563,,3,2,0.0,150.0,175.50,177.00,178.50,DMC, NANNOFOSSIL OOZE, PALE BROWN TO LIGHT GRAY," BURROWS,MOTTLING", GREATLY DISTURBED,,,,, SOFT*,
82,563,,3,3,0.0,150.0,175.50,178.50,180.00,DMC, FORAM NANNOFOSSIL OOZE, PALE BROWN TO LIGHT GRAY," BURROWS,MOTTLING", GREATLY DISTURBED,,,,, SOFT*,
82,563,,3,4,0.0,150.0,175.50,180.00,181.50,DMC, FORAM NANNOFOSSIL OOZE, PALE BROWN TO LIGHT GRAY," BURROWS,MOTTLING", GREATLY DISTURBED,,,,, SOFT*,
82,563,,3,5,0.0,150.0,175.50,181.50,183.00,DMC, FORAM NANNOFOSSIL OOZE, PALE BROWN, BURROWS, GREATLY DISTURBED,,,,, SOFT*,
82,563,,3,6,0.0,140.0,175.50,183.00,184.40,DMC, FORAM NANNOFOSSIL OOZE," PALE BROWN,WHITE,LIGHT BROWNISH GRAY"," BURROWS,CONTACT", GREATLY DISTURBED,,,,, SOFT*,
82,563,,3,CC,0.0,10.0,175.50,184.50,184.50,DMC, FORAM NANNOFOSSIL OOZE," PALE BROWN,WHITE,LIGHT BROWNISH GRAY",, GREATLY DISTURBED,,,,, SOFT*,
82,563,,4,1,0.0,145.0,185.00,185.00,186.45,DMC, CLAYEY NANNOFOSSIL OOZE, PALE BROWN TO WHITE," MOTTLING,BURROWS", MODERATELY DISTURBED,,,,, SOFT*,
82,563,,4,2,0.0,120.0,185.00,186.50,187.70,DMC, CLAYEY NANNOFOSSIL OOZE, WHITE TO PALE BROWN," MOTTLING,BURROWS", MODERATELY DISTURBED,,,,, SOFT*,
