leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RAMPR0020,Amphirhopalum ypsilon,PRESENT,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RCALC0090,Calocycletta tuberosa,TRACE,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RDIDY0060,Didymocyrtis tetrathalamus,PRESENT,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RLAMR0050,Lamprocyrtis nigriniae,PRESENT,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RPHOO0030,Phormostichoartus corbula,PRESENT,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RPTEC0020,Pterocorys hertwigii,PRESENT,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RSPON0050,Spongaster tetras,PRESENT,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RSTYR0010,Stylotracta universa,PRESENT,  ,1
85,572,C,1,CC,0.0,0.0,0.00,9.52, 9,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RTHEY0020,Theocorythium trachelium,TRACE,  ,1
85,572,C,2,CC,0.0,0.0,10.10,19.66,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RAMPR0020,Amphirhopalum ypsilon,PRESENT,  ,1
