leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
87,583,A,1,1,0.1,1.0,0.00,0.01, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BHAPO0010,Haplophragmoides sp.,PRESENT,  ,1
87,583,A,1,1,0.1,1.0,0.00,0.01, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BPROT0010,Proteonina sp.,PRESENT,  ,1
87,583,A,1,1,0.1,1.0,0.00,0.01, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BREOP0010,Reophax sp.,PRESENT,  ,1
87,583,A,1,1,0.1,1.0,0.00,0.01, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BTROC0010,Trochammina sp.,PRESENT,  ,1
87,583,A,1,CC,.1,0.0,0.00,3.78, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BCHIL0030,Chilostomella oolina,PRESENT,  ,1
87,583,A,1,CC,.1,0.0,0.00,3.78, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BGLOB0015,Globobulimina auriculata,PRESENT,  ,1
87,583,A,1,CC,.1,0.0,0.00,3.78, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BMELO0060,Melonis pompilioides,PRESENT,  ,1
87,583,A,1,CC,.1,0.0,0.00,3.78, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BTOSA0020,Tosaia hanzawai,PRESENT,  ,1
87,583,A,2,CC,.1,0.0,4.00,8.62, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BCHIL0030,Chilostomella oolina,PRESENT,  ,1
87,583,A,2,CC,.1,0.0,4.00,8.62, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BGLOB0015,Globobulimina auriculata,PRESENT,  ,1
87,583,A,2,CC,.1,0.0,4.00,8.62, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BTEXT0010,Textularia sp.,PRESENT,  ,1
87,583,A,2,CC,.1,0.0,4.00,8.62, 4,LAGOE,02/1986,87,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,594,BTOSA0020,Tosaia hanzawai,PRESENT,  ,1
