leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
90,593,A,1,1,0.0,150.0,0.00,0.00,1.50,JVG, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,1,2,0.0,150.0,0.00,1.50,3.00,JVG, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,1,3,0.0,150.0,0.00,3.00,4.50,JVG, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,1,4,0.0,150.0,0.00,4.50,6.00,JVG, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,1,5,0.0,150.0,0.00,6.00,7.50,JVG, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,1,CC,0.0,22.0,0.00,7.60,7.72,JVG, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,2,1,0.0,150.0,7.70,7.70,9.20,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,2,2,0.0,150.0,7.70,9.20,10.70,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,2,3,0.0,150.0,7.70,10.70,12.20,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,2,4,0.0,150.0,7.70,12.20,13.70,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,2,5,0.0,150.0,7.70,13.70,15.20,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,2,6,0.0,98.0,7.70,15.20,16.18,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,2,CC,0.0,19.0,7.70,16.29,16.38,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,3,1,0.0,150.0,17.30,17.30,18.80,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,3,2,0.0,150.0,17.30,18.80,20.30,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,3,3,0.0,150.0,17.30,20.30,21.80,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,3,4,0.0,150.0,17.30,21.80,23.30,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,3,5,0.0,68.0,17.30,23.30,23.98,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,3,CC,0.0,24.0,17.30,24.08,24.22,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,4,1,0.0,150.0,26.90,26.90,28.40,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,4,2,0.0,150.0,26.90,28.40,29.90,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,4,3,0.0,150.0,26.90,29.90,31.40,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,4,4,0.0,150.0,26.90,31.40,32.90,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,4,5,0.0,150.0,26.90,32.90,34.40,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,4,6,0.0,100.0,26.90,34.40,35.40,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,4,CC,0.0,15.0,26.90,35.50,35.55,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,5,1,0.0,150.0,36.50,36.50,38.00,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,5,2,0.0,150.0,36.50,38.00,39.50,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,5,3,0.0,150.0,36.50,39.50,41.00,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,5,4,0.0,150.0,36.50,41.00,42.50,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,5,5,0.0,150.0,36.50,42.50,44.00,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,5,6,0.0,42.0,36.50,44.00,44.42,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,5,CC,0.0,20.0,36.50,44.54,44.64,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,6,1,0.0,150.0,46.10,46.10,47.60,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,6,2,0.0,150.0,46.10,47.60,49.10,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,6,3,0.0,150.0,46.10,49.10,50.60,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
90,593,A,6,4,0.0,150.0,46.10,50.60,52.10,STE, FORAM-BEARING NANNOFOSSIL OOZE,,,,,,,, SOFT, 11111210.1221
