leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
92,597,A,1,CC,0.0,0.0,0.00,4.58, 4,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,292,FGLOQ0030,Globoquadrina altispira,PRESENT,  ,1
92,597,A,1,CC,0.0,0.0,0.00,4.58, 4,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,292,FGLOQ0400,Globoquadrina venezuelana,PRESENT,  ,1
92,597,A,1,CC,0.0,0.0,0.00,4.58, 4,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,292,FNEOG0030,Neogloboquadrina continuosa,RARE,  ,1
92,597,A,1,CC,0.0,0.0,0.00,4.58, 4,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,RARE,,,POOL,NO AGE GIVEN,292,FSPHE0017,Sphaeroidinellopsis disjuncta,FEW,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FCATA0030,Catapsydrax dissimilis,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOA0256,Globorotalia kugleri,ABUNDANT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOA0288,Globorotalia mayeri,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOA0498,Globorotalia siakensis,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOD0290,Globigerinoides primordius,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOG0089,Globigerina brazieri,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOG0596,Globigerina praebulloides,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOG0820,Globigerina woodi,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOQ0300,Globoquadrina praedehiscens,PRESENT,  ,1
92,597,A,2,CC,0.0,0.0,4.60,14.22,10,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FNEOG0030,Neogloboquadrina continuosa,FEW,  ,1
92,597,A,3,6,0.0,0.0,14.20,21.70, 6,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FCATA0030,Catapsydrax dissimilis,PRESENT,  ,1
92,597,A,3,6,0.0,0.0,14.20,21.70, 6,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOA0256,Globorotalia kugleri,PRESENT,  ,1
92,597,A,3,6,0.0,0.0,14.20,21.70, 6,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOA0288,Globorotalia mayeri,PRESENT,  ,1
92,597,A,3,6,0.0,0.0,14.20,21.70, 6,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOG0040,Globigerina angustiumbilicata,PRESENT,  ,1
92,597,A,3,6,0.0,0.0,14.20,21.70, 6,ROMINE,00/1900,92,PLANKTONIC FORAMINIFERA,FEW,,,POOL,NO AGE GIVEN,292,FGLOG0596,Globigerina praebulloides,PRESENT,  ,1
