leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
94,611,C,2,CC,0.0,0.0,2.40,7.23, 1,BALDAUF,00/1900,94,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,747,DPSED0010,Pseudoeunotia doliolus,RARE,  ,1
94,611,C,3,CC,0.0,0.0,7.40,12.33, 1,BALDAUF,00/1900,94,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,747,DPSED0010,Pseudoeunotia doliolus,FEW,  ,1
94,611,C,4,CC,0.0,0.0,12.40,21.41, 1,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DPSED0010,Pseudoeunotia doliolus,COMMON,  ,1
94,611,C,6,CC,0.0,0.0,31.60,40.56, 3,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DDENI0100,Denticulopsis seminae,COMMON,  ,1
94,611,C,6,CC,0.0,0.0,31.60,40.56, 3,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,RARE,  ,1
94,611,C,6,CC,0.0,0.0,31.60,40.56, 3,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,RARE,  ,1
94,611,C,8,CC,0.0,0.0,50.80,59.75, 3,BALDAUF,00/1900,94,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,FEW,  ,1
94,611,C,8,CC,0.0,0.0,50.80,59.75, 3,BALDAUF,00/1900,94,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,RARE,  ,1
94,611,C,8,CC,0.0,0.0,50.80,59.75, 3,BALDAUF,00/1900,94,DIATOMS,FEW,,,MODERATE,NO AGE GIVEN,747,DPSED0010,Pseudoeunotia doliolus,FEW,  ,1
94,611,C,9,CC,0.0,0.0,60.40,69.85, 3,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,COMMON,  ,1
94,611,C,9,CC,0.0,0.0,60.40,69.85, 3,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,FEW,  ,1
94,611,C,9,CC,0.0,0.0,60.40,69.85, 3,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DPSED0010,Pseudoeunotia doliolus,COMMON,  ,1
94,611,C,11,CC,0.0,0.0,79.60,89.02, 2,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,COMMON,  ,1
94,611,C,11,CC,0.0,0.0,79.60,89.02, 2,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,COMMON,  ,1
94,611,C,13,CC,0.0,0.0,98.80,107.79, 1,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,FEW,  ,1
94,611,C,14,CC,0.0,0.0,108.40,117.66, 2,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,MODERATE,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,FEW,  ,1
94,611,C,14,CC,0.0,0.0,108.40,117.66, 2,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,MODERATE,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,RARE,  ,1
94,611,C,15,4,43.0,45.0,118.00,122.94, 2,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,RARE,  ,1
94,611,C,15,4,43.0,45.0,118.00,122.94, 2,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,RARE,  ,1
94,611,C,15,CC,0.0,0.0,118.00,127.61, 2,BALDAUF,00/1900,94,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,FEW,  ,1
94,611,C,15,CC,0.0,0.0,118.00,127.61, 2,BALDAUF,00/1900,94,DIATOMS,COMMON,,,GOOD,NO AGE GIVEN,747,DTHAA0050,Thalassiosira convexa,RARE,  ,1
94,611,C,16,6,43.0,45.0,127.60,135.54, 5,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,RARE,  ,1
94,611,C,16,6,43.0,45.0,127.60,135.54, 5,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DNITZ0310,Nitzschia jouseae,RARE,  ,1
94,611,C,16,6,43.0,45.0,127.60,135.54, 5,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DNITZ0570,Nitzschia reinholdii,RARE,  ,1
94,611,C,16,6,43.0,45.0,127.60,135.54, 5,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DRHIZ0290,Rhizosolenia praebergonii,RARE,  ,1
94,611,C,16,6,43.0,45.0,127.60,135.54, 5,BALDAUF,00/1900,94,DIATOMS,ABUNDANT,,,GOOD,NO AGE GIVEN,747,DTHAA0050,Thalassiosira convexa,FEW,  ,1
94,611,C,16,CC,0.0,0.0,127.60,137.25, 3,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DNITZ0150,Nitzschia fossilis,FEW,  ,1
94,611,C,16,CC,0.0,0.0,127.60,137.25, 3,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DNITZ0310,Nitzschia jouseae,RARE,  ,1
94,611,C,16,CC,0.0,0.0,127.60,137.25, 3,BALDAUF,00/1900,94,DIATOMS,COMMON,,,MODERATE,NO AGE GIVEN,747,DTHAA0050,Thalassiosira convexa,FEW,  ,1
