leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
94,611,C,1,1,0.0,150.0,0.00,0.00,1.50,PRH, MARLY FORAM NANNO OOZE, YELLOWISH BROWN," MOTTLING,BURROWS",, PEBBLES, PUMICE,,, SOFT, 00000000
94,611,C,1,2,0.0,84.0,0.00,1.50,2.34,PRH, MARLY FORAM NANNO OOZE, YELLOWISH BROWN, MOTTLING,,,,,, SOFT, 00000000
94,611,C,1,CC,0.0,13.0,0.00,2.44,2.47,PRH, MARLY FORAM NANNO OOZE, YELLOWISH BROWN, MOTTLING,,,,,, SOFT, 00000000
94,611,C,2,1,0.0,64.0,2.40,2.40,3.04,JFD, FORAM NANNO OOZE, GRAY,, GREATLY DISTURBED,,,,, SOFT, 00000000
94,611,C,2,1,64.0,94.0,2.40,3.04,3.34,JFD, NANNO OOZE, GRAY,,,,,,, SOFT, 00000000
94,611,C,2,1,94.0,105.0,2.40,3.34,3.45,JFD, CALCAREOUS MUD," YELLOWISH BROWN,GREYISH BROWN", MOTTLING,,,,,, SOFT, 00000000
94,611,C,2,1,105.0,150.0,2.40,3.45,3.90,JFD, NANNO OOZE, GRAY TO BROWNISH GRAY, MOTTLING,,,,,, SOFT, 11111210
94,611,C,2,2,0.0,48.0,2.40,3.90,4.38,JFD, MARLY NANNO OOZE, GRAY, MOTTLING, UNDISTURBED,,,,, SOFT, 12211210
94,611,C,2,2,48.0,150.0,2.40,4.38,5.40,JFD, NANNO OOZE, GRAY,, GREATLY DISTURBED,,,,, SOFT, 11111210
94,611,C,2,3,0.0,10.0,2.40,5.40,5.50,JFD, NANNO OOZE, GRAY,, GREATLY DISTURBED,,,,, SOFT, 11111210
94,611,C,2,3,10.0,150.0,2.40,5.50,6.90,JFD, CALCAREOUS MUD, GRAY,, GREATLY DISTURBED, PEBBLES,,,, SOFT, 33213000.1110
94,611,C,2,4,0.0,23.0,2.40,6.90,7.13,JFD, CALCAREOUS MUD, GRAY,, GREATLY DISTURBED,,,,, SOFT, 33213000.1110
94,611,C,2,CC,0.0,18.0,2.40,7.23,7.31,JFD, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 33213000.1110
94,611,C,3,1,0.0,150.0,7.40,7.40,8.90,PRH, SILTY MUD TO NANNO OOZE," GRAY,ORANGE",, GREATLY DISTURBED,,,,, SOFT, 11111210
94,611,C,3,2,0.0,85.0,7.40,8.90,9.75,PRH, SILTY MUD TO NANNO OOZE, GRAY,, GREATLY DISTURBED,,,,, SOFT, 11111210
94,611,C,3,2,85.0,150.0,7.40,9.75,10.40,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 33213000.1110
94,611,C,3,3,0.0,71.0,7.40,10.40,11.11,PRH, CALCAREOUS MUD, GRAY," MOTTLING,BURROWS",,,,,, SOFT, 33213000.1110
94,611,C,3,3,71.0,139.0,7.40,11.11,11.79,PRH, FORAM NANNO SILICEOUS OOZE, GRAY,,,, PYRITE,,, SOFT, 21110000.1210
94,611,C,3,3,139.0,150.0,7.40,11.79,11.90,PRH, CALCAREOUS MUD, GRAY, MOTTLING,,,,,, SOFT, 33213000.1110
94,611,C,3,4,0.0,26.0,7.40,11.90,12.16,PRH, CALCAREOUS MUD, GRAY, MOTTLING,,,,,, SOFT, 33213000.1110
94,611,C,3,4,26.0,33.0,7.40,12.16,12.23,PRH, FORAM NANNO SILICEOUS OOZE, GRAY, MOTTLING,,,,,, SOFT, 21110000.1210
94,611,C,3,CC,0.0,24.0,7.40,12.33,12.47,PRH, FORAM NANNO SILICEOUS OOZE, GRAY, MOTTLING,,,,,, SOFT, 21110000.1210
94,611,C,4,1,0.0,150.0,12.40,12.40,13.90,PRH, CALCAREOUS MUD, GRAY, MOTTLING,, PEBBLES,,,, SOFT, 33213000.1110
94,611,C,4,2,0.0,25.0,12.40,13.90,14.15,PRH, CALCAREOUS MUD, GRAY,,, PEBBLES,,,, SOFT, 33213000.1110
94,611,C,4,2,25.0,98.0,12.40,14.15,14.88,PRH, NANNO OOZE, GRAY,, GREATLY DISTURBED,,,,, SOFT, 11111210
94,611,C,4,2,98.0,150.0,12.40,14.88,15.40,PRH, MARLY NANNO OOZE, GRAY, CONTACT,,,,,, SOFT, 12211210
94,611,C,4,3,0.0,120.0,12.40,15.40,16.60,PRH, NANNO OOZE, GRAY, BURROWS, MODERATELY DISTURBED, PEBBLES,, CORAL,, SOFT, 11111210
94,611,C,4,3,120.0,150.0,12.40,16.60,16.90,PRH, CALCAREOUS MUD, GRAY, MOTTLING,,,,,, SOFT, 33213000.1110
94,611,C,4,4,0.0,124.0,12.40,16.90,18.14,JFD, CALCAREOUS MUD, GRAY, MOTTLING,, PEBBLES,,,, SOFT, 00000000
94,611,C,4,4,124.0,140.0,12.40,18.14,18.30,JFD, NANNO OOZE, GRAY, MOTTLING,,,,,, SOFT, 11111210
94,611,C,4,4,140.0,150.0,12.40,18.30,18.40,JFD, CALCAREOUS MUD, GRAY, MOTTLING,,,,,, SOFT, 33213000.1110
94,611,C,4,5,0.0,22.0,12.40,18.40,18.62,JFD, NANNO OOZE, WHITE, MOTTLING,,,,,, SOFT, 11111210
94,611,C,4,5,22.0,72.0,12.40,18.62,19.12,JFD, MARLY NANNO OOZE, GRAY, MOTTLING,,,,,, SOFT, 12211210
94,611,C,4,5,72.0,150.0,12.40,19.12,19.90,JFD, NANNO OOZE," GRAY,GREEN"," MOTTLING,LAMINAE",,,,,, SOFT, 00000000
94,611,C,4,6,0.0,57.0,12.40,19.90,20.47,JFD, CALCAREOUS MUD," GRAY,OLIVE,GREEN"," MOTTLING,LAMINAE",,,,,, SOFT, 33213000.1110
94,611,C,4,6,57.0,141.0,12.40,20.47,21.31,JFD, MARLY NANNO OOZE," GRAY,GREENISH GRAY"," MOTTLING,LAMINAE",,,,,, SOFT, 12211210
94,611,C,4,CC,0.0,22.0,12.40,21.41,21.53,JFD, MARLY NANNO OOZE, GRAY, MOTTLING, MODERATELY DISTURBED,,,,, SOFT, 12211210
94,611,C,5,1,0.0,30.0,22.00,22.00,22.30,PRH, CALCAREOUS MUD, GRAY, MOTTLING,,,,,, SOFT, 33213000.1110
94,611,C,5,1,30.0,60.0,22.00,22.30,22.60,PRH, FORAM OOZE," GRAY,GREEN"," MOTTLING,LAMINAE",,,,,, SOFT, 00000000
94,611,C,5,1,60.0,110.0,22.00,22.60,23.10,PRH, CALCAREOUS MUD," GREENISH GRAY,GRAY",,, VOLCANOGENIC DEPOSITS,,,, SOFT, 33213000.1110
94,611,C,5,1,110.0,134.0,22.00,23.10,23.34,PRH, FORAM NANNO OOZE, GRAY,,,,,,, SOFT, 11111210.1221
94,611,C,5,1,134.0,150.0,22.00,23.34,23.50,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 33213000.1110
94,611,C,5,2,0.0,9.0,22.00,23.50,23.59,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 33213000.1110
94,611,C,5,2,9.0,88.0,22.00,23.59,24.38,PRH, FORAM NANNO OOZE, GRAY, LAMINAE,,,,,, SOFT, 00000000
94,611,C,5,2,88.0,150.0,22.00,24.38,25.00,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,5,3,0.0,44.0,22.00,25.00,25.44,PRH, CALCAREOUS MUD, GRAY, MOTTLING,,,,,, SOFT, 00000000
94,611,C,5,3,44.0,130.0,22.00,25.44,26.30,PRH, MARLY FORAM NANNO OOZE, GRAY,,,,,,, SOFT, 00000000
94,611,C,5,3,130.0,150.0,22.00,26.30,26.50,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,5,4,0.0,150.0,22.00,26.50,28.00,PRH, CALCAREOUS MUD," DARK GRAYISH BROWN,GREENISH GRAY,GRAY",,,,,,, SOFT, 00000000
94,611,C,5,5,0.0,150.0,22.00,28.00,29.50,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,5,6,0.0,22.0,22.00,29.50,29.72,PRH, FORAM NANNO OOZE, GRAY,,,,,,, SOFT, 00000000
94,611,C,5,6,22.0,124.0,22.00,29.72,30.74,PRH, MARLY FORAM NANNO OOZE, GRAY, LAMINAE,,,,,, SOFT, 00000000
94,611,C,5,6,124.0,150.0,22.00,30.74,31.00,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,5,7,0.0,18.0,22.00,31.00,31.18,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,5,CC,0.0,21.0,22.00,31.28,31.39,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,6,1,0.0,96.0,31.60,31.60,32.56,PRH, CALCAREOUS MUD, GRAY TO GRAYISH BROWN,,,,,,, SOFT, 00000000
94,611,C,6,1,96.0,140.0,31.60,32.56,33.00,PRH, MARLY NANNO OOZE, GRAY,,,,,,, SOFT, 00000000
94,611,C,6,1,140.0,150.0,31.60,33.00,33.10,PRH, NANNO OOZE, GRAY,,,,,,, SOFT, 00000000
94,611,C,6,2,0.0,20.0,31.60,33.10,33.30,PRH, NANNO OOZE, GRAY,,,,,,, SOFT, 00000000
94,611,C,6,2,20.0,80.0,31.60,33.30,33.90,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,6,2,80.0,125.0,31.60,33.90,34.35,PRH, NANNO OOZE, GRAY,,,,,,, SOFT, 00000000
94,611,C,6,2,125.0,140.0,31.60,34.35,34.50,PRH, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 33213000.1110
94,611,C,6,2,140.0,150.0,31.60,34.50,34.60,PRH, NANNO OOZE, GRAY,,,,,,, SOFT, 11111210
94,611,C,6,3,0.0,18.0,31.60,34.60,34.78,PRH, NANNO OOZE, GRAY,,,,,,, SOFT, 11111210
94,611,C,6,3,18.0,81.0,31.60,34.78,35.41,PRH, CALCAREOUS MUD," GRAY TO GRAYISH BROWN,BROWN",,,,,,, SOFT, 33213000.1110
94,611,C,6,3,81.0,106.0,31.60,35.41,35.66,PRH, NANNO OOZE, GRAY,,,,,,, SOFT, 11111210
94,611,C,6,3,106.0,132.0,31.60,35.66,35.92,PRH, CALCAREOUS MUD," GRAY,BROWNISH GRAY",,,,,,, SOFT, 33213000.1110
94,611,C,6,3,132.0,150.0,31.60,35.92,36.10,PRH, NANNO OOZE, GRAY,,,,,,, SOFT, 11111210
94,611,C,6,4,0.0,55.0,31.60,36.10,36.65,LDK, NANNO OOZE, GREENISH GRAY,,,,,,, SOFT, 11111210
94,611,C,6,4,55.0,150.0,31.60,36.65,37.60,LDK, CALCAREOUS MUD," GRAY,GREENISH GRAY",,,,,,, SOFT, 00000000
94,611,C,6,5,0.0,40.0,31.60,37.60,38.00,LDK, CALCAREOUS MUD," GREENISH GRAY,GREEN,GRAY",,,,,,, SOFT, 00000000
94,611,C,6,5,40.0,100.0,31.60,38.00,38.60,LDK, NANNO OOZE, LIGHT GRAY,,,,,,, SOFT, 00000000
94,611,C,6,5,100.0,150.0,31.60,38.60,39.10,LDK, CALCAREOUS MUD, GREENISH GRAY,,,,,,, SOFT, 00000000
94,611,C,8,1,0.0,150.0,50.80,50.80,52.30,LDK, CALCAREOUS MUD," GREENISH GRAY,GRAYISH BROWN",,,,,,, SOFT, 00000000
94,611,C,8,2,0.0,150.0,50.80,52.30,53.80,LDK, CALCAREOUS MUD," GREENISH GRAY,GRAYISH BROWN",,,,,,, SOFT, 00000000
94,611,C,8,3,0.0,150.0,50.80,53.80,55.30,LDK, CALCAREOUS MUD," GRAY,BROWNISH GRAY,GRAYISH BROWN", LAMINAE,,,,,, SOFT, 00000000
94,611,C,8,4,0.0,150.0,50.80,55.30,56.80,LDK, CALCAREOUS MUD," GREENISH GRAY,GRAY",,,,,,, SOFT, 00000000
94,611,C,8,5,0.0,150.0,50.80,56.80,58.30,LDK, CALCAREOUS MUD," GRAY,GREENISH GRAY",,," PEBBLES,VOLCANOGENIC DEPOSIT", VOLCANIC ASH,,, SOFT, 00000000
94,611,C,8,6,0.0,95.0,50.80,58.30,59.25,LDK, CALCAREOUS MUD, GRAY,,,,,,, SOFT, 00000000
94,611,C,8,6,95.0,120.0,50.80,59.25,59.50,LDK, MARLY NANNO OOZE, GREENISH GRAY,,,,,,, SOFT, 00000000
94,611,C,8,6,120.0,135.0,50.80,59.50,59.65,LDK, CALCAREOUS MUD, GREENISH GRAY,,,,,,, SOFT, 00000000
94,611,C,8,CC,0.0,19.0,50.80,59.75,59.84,LDK, CALCAREOUS MUD BRECCIA, GREENISH GRAY,,,,,,, FIRM, 00000000
94,611,C,9,1,0.0,150.0,60.40,60.40,61.90,LDK, CALCAREOUS MUD, GREENISH GRAY,, GREATLY DISTURBED,,,,, SOFT, 00000000
94,611,C,9,2,0.0,150.0,60.40,61.90,63.40,LDK, CALCAREOUS MUD, GREENISH GRAY,, GREATLY DISTURBED,,,,, SOFT, 00000000
