leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
95,612,,1,3,80.0,84.0,0.00,3.82, 2,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OFINM0010,Finmarchinella finmarchica,PRESENT,  ,1
95,612,,1,3,80.0,84.0,0.00,3.82, 2,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMUEL0010,Muellerina sp.,PRESENT,  ,1
95,612,,2,3,80.0,84.0,4.80,8.62, 4,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OCYTP0010,Cytheropteron sp.,PRESENT,  ,1
95,612,,2,3,80.0,84.0,4.80,8.62, 4,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHETC0030,Heterocycprideis sorbyana,PRESENT,  ,1
95,612,,2,3,80.0,84.0,4.80,8.62, 4,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMUEL0010,Muellerina sp.,PRESENT,  ,1
95,612,,2,3,80.0,84.0,4.80,8.62, 4,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OUNID0010,Unidentified ostracodes,PRESENT,  ,1
95,612,,3,3,80.0,84.0,14.40,18.22, 5,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OARGI0010,Argilloecia sp.,PRESENT,  ,1
95,612,,3,3,80.0,84.0,14.40,18.22, 5,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OCYTP0010,Cytheropteron sp.,PRESENT,  ,1
95,612,,3,3,80.0,84.0,14.40,18.22, 5,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OFINM0010,Finmarchinella finmarchica,PRESENT,  ,1
95,612,,3,3,80.0,84.0,14.40,18.22, 5,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,3,3,80.0,84.0,14.40,18.22, 5,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMUEL0010,Muellerina sp.,PRESENT,  ,1
95,612,,4,3,80.0,84.0,24.00,27.82, 1,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OCYTP0010,Cytheropteron sp.,PRESENT,  ,1
95,612,,5,3,80.0,84.0,33.60,37.42, 3,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OFINM0010,Finmarchinella finmarchica,PRESENT,  ,1
95,612,,5,3,80.0,84.0,33.60,37.42, 3,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHENR0010,Henryhowella sp.,PRESENT,  ,1
95,612,,5,3,80.0,84.0,33.60,37.42, 3,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,7,3,80.0,84.0,44.60,48.42, 2,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHENR0010,Henryhowella sp.,PRESENT,  ,1
95,612,,7,3,80.0,84.0,44.60,48.42, 2,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,7,CC,0.0,0.0,44.60,50.62, 2,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHENR0010,Henryhowella sp.,PRESENT,  ,1
95,612,,7,CC,0.0,0.0,44.60,50.62, 2,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,14,3,80.0,84.0,107.50,111.32, 1,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OPARN0020,Paranesdiea cespedensis (q),PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OABYS0010,Abyssocythere sp.,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OARGI0010,Argilloecia sp.,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OCYTE0010,Cytherella sp.,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OEUCY0001,Eucythere sp.,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHENR0010,Henryhowella sp.,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMESS0030,Messinella guanajayensis,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OPARN0020,Paranesdiea cespedensis (q),PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OTRAC0015,Trachyleberidea cubensis,PRESENT,  ,1
95,612,,17,3,80.0,84.0,136.20,140.02,10,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OXEST0011,Xestolebris sp.,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OABYS0010,Abyssocythere sp.,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OCYTE0010,Cytherella sp.,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHENR0010,Henryhowella sp.,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMESS0030,Messinella guanajayensis,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OPARN0020,Paranesdiea cespedensis (q),PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OTRAC0015,Trachyleberidea cubensis,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OUNID0010,Unidentified ostracodes,PRESENT,  ,1
95,612,,18,3,80.0,84.0,145.70,149.52, 9,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OXEST0011,Xestolebris sp.,PRESENT,  ,1
95,612,,19,3,80.0,84.0,155.20,159.02, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHENR0010,Henryhowella sp.,PRESENT,  ,1
95,612,,19,3,80.0,84.0,155.20,159.02, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,19,3,80.0,84.0,155.20,159.02, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMESS0030,Messinella guanajayensis,PRESENT,  ,1
95,612,,19,3,80.0,84.0,155.20,159.02, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OPARN0020,Paranesdiea cespedensis (q),PRESENT,  ,1
95,612,,19,3,80.0,84.0,155.20,159.02, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OTRAC0015,Trachyleberidea cubensis,PRESENT,  ,1
95,612,,19,3,80.0,84.0,155.20,159.02, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OUNID0010,Unidentified ostracodes,PRESENT,  ,1
95,612,,19,3,80.0,84.0,155.20,159.02, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OXEST0011,Xestolebris sp.,PRESENT,  ,1
95,612,,20,3,80.0,84.0,164.70,168.52, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OAGRE0014,Agrenocythere gosnoldi,PRESENT,  ,1
95,612,,20,3,80.0,84.0,164.70,168.52, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OHENR0010,Henryhowella sp.,PRESENT,  ,1
95,612,,20,3,80.0,84.0,164.70,168.52, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,20,3,80.0,84.0,164.70,168.52, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMESS0030,Messinella guanajayensis,PRESENT,  ,1
95,612,,20,3,80.0,84.0,164.70,168.52, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OPARN0020,Paranesdiea cespedensis (q),PRESENT,  ,1
95,612,,20,3,80.0,84.0,164.70,168.52, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OUNID0010,Unidentified ostracodes,PRESENT,  ,1
95,612,,20,3,80.0,84.0,164.70,168.52, 7,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OXEST0011,Xestolebris sp.,PRESENT,  ,1
95,612,,21,3,80.0,84.0,174.20,178.02, 6,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OABYS0010,Abyssocythere sp.,PRESENT,  ,1
95,612,,21,3,80.0,84.0,174.20,178.02, 6,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OKRIT0010,Krithe sp.,PRESENT,  ,1
95,612,,21,3,80.0,84.0,174.20,178.02, 6,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OMESS0030,Messinella guanajayensis,PRESENT,  ,1
95,612,,21,3,80.0,84.0,174.20,178.02, 6,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OPARN0020,Paranesdiea cespedensis (q),PRESENT,  ,1
95,612,,21,3,80.0,84.0,174.20,178.02, 6,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OTRAC0015,Trachyleberidea cubensis,PRESENT,  ,1
95,612,,21,3,80.0,84.0,174.20,178.02, 6,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OXEST0011,Xestolebris sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OABYS0010,Abyssocythere sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OARGI0010,Argilloecia sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OALAT0001,Alatacythere sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OBARO0010,Bairdoppilata sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OBYTO0010,Bythocypris sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OCYTE0010,Cytherella sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OCYTP0010,Cytheropteron sp.,PRESENT,  ,1
95,612,,22,3,80.0,84.0,183.80,187.62,16,CRONIN,,95,OSTRACODES,,,,,NO AGE GIVEN,440,OEUCY0001,Eucythere sp.,PRESENT,  ,1
