Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
108, 660,A,Initial Reports          ,      13.900,    0.470000,LO Pseudoemiliania lacunosa
,,,,,,
108, 660,A,Initial Reports          ,      19.100,    0.730000,Brunhes/Matuyama
,,,,,,
108, 660,A,Initial Reports          ,      22.900,    0.910000,Matuyama/Jaramillo
,,,,,,
108, 660,A,Initial Reports          ,      32.700,    1.450000,LO Calcidiscus macintyrei
,,,,,,
108, 660,A,Initial Reports          ,      36.300,    1.660000,Matuyama/Olduvai
,,,,,,
108, 660,A,Initial Reports          ,      40.350,    1.890000,LO Discoaster brouweri
,,,,,,
108, 660,A,Initial Reports          ,      42.150,    2.070000,FO Discoaster triradiatus acme
,,,,,,
108, 660,A,Initial Reports          ,      44.600,    2.200000,LO Globorotalia miocenica
,,,,,,
108, 660,A,Initial Reports          ,      46.450,    2.350000,LO Discoaster pentaradiatus
,,,,,,
108, 660,A,Initial Reports          ,      47.950,    2.450000,LO Discoaster surculus
,,,,,,
108, 660,A,Initial Reports          ,      49.350,    2.470000,Matuyama/Gauss
,,,,,,
108, 660,A,Initial Reports          ,      53.750,    2.650000,LO Discoaster tamalis
,,,,,,
108, 660,A,Initial Reports          ,      54.850,    2.920000,Gauss/Kaena
,,,,,,
108, 660,A,Initial Reports          ,      57.700,    3.000000,LO Sphaeroidinellopsis seminulina
,,,,,,
108, 660,A,Initial Reports          ,      58.750,    3.180000,Mammoth/Gauss
,,,,,,
108, 660,A,Initial Reports          ,      62.600,    3.450000,LO Sphenolithus spp.
,,,,,,
108, 660,A,Initial Reports          ,      64.150,    3.560000,LO Reticulofenestra pseudoumbillica
,,,,,,
108, 660,A,Initial Reports          ,      70.750,    3.900000,LO Globigerina nepenthes
,,,,,,
108, 660,A,Initial Reports          ,      73.400,    4.600000,FO Ceratolithus rugosus present
,,,,,,
