Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
113, 690,B,Initial Reports          ,       2.100,    3.600000, 
,,,,,,
113, 690,B,Initial Reports          ,      16.550,    5.100000,LO Cycladophora spongothorax (R)
,,,,,,
113, 690,B,Initial Reports          ,      31.100,    9.500000, 
,,,,,,
113, 690,B,Initial Reports          ,      47.600,   17.650000, 
,,,,,,
113, 690,B,Initial Reports          ,      51.450,   23.600000,LO Chiasmolithus altus (N)
,,,,,,
113, 690,B,Initial Reports          ,      64.950,   30.000000,LO Chiloguembelina cubensis (PF)
,,,,,,
113, 690,B,Initial Reports          ,      74.600,   32.000000,LO Subbotina angiporoides (PF)
,,,,,,
113, 690,B,Initial Reports          ,      84.950,   34.700001,LO Reticulofenestra umbilica (N)
,,,,,,
113, 690,B,Initial Reports          ,      93.150,   37.000000,FO Isthmolithus recurvus (N)
,,,,,,
113, 690,B,Initial Reports          ,     101.350,   40.000000,FO FO Chiasmolithus oamaruensis (N)
,,,,,,
113, 690,B,Initial Reports          ,     102.850,   42.500000,LO Acarinina spp. (PF)
,,,,,,
113, 690,B,Initial Reports          ,     129.150,   52.599998,FO Discoaster sublodoensis (N)
,,,,,,
113, 690,B,Initial Reports          ,     130.350,   57.799999,FO Planorotalites wilcoxensis (PF)
,,,,,,
113, 690,B,Initial Reports          ,     185.500,   59.200001,FO Discoaster multiradiatus (N)
,,,,,,
113, 690,B,Initial Reports          ,     209.000,   62.000000,FO Fasciculithus tympaniformis (N)
,,,,,,
