Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
119, 744,A,Post Moratorium          ,      61.680,   17.600000,LO Globorotalia zealandica
,,,,,,
119, 744,A,Post Moratorium          ,      68.680,   17.600000,LO Catapsydrax dissimilis
,,,,,,
119, 744,A,Post Moratorium          ,      80.680,   17.700001,FO Globorotalia praescitula
,,,,,,
119, 744,A,Post Moratorium          ,      88.830,   19.250000,FO Cyrtocapsella longithorax
,,,,,,
119, 744,A,Post Moratorium          ,      91.080,   19.900000,FO Thalassiosira fraga
,,,,,,
119, 744,A,Post Moratorium          ,      95.580,   22.200001,FO Thalassiosira spumellaroides
,,,,,,
119, 744,A,Post Moratorium          ,      97.080,   21.700001,LO Thalassiosira primalabiata
,,,,,,
119, 744,A,Post Moratorium          ,      99.500,   23.600000,FO Thalassiosira spinosa
,,,,,,
119, 744,A,Post Moratorium          ,      99.760,   24.000000,LO Reticulofenestra bisecta
,,,,,,
119, 744,A,Post Moratorium          ,     100.160,   24.000000,LO Reticulofenestra bisecta
,,,,,,
119, 744,A,Post Moratorium          ,     106.870,   25.500000,LO Chiasmolithus altus
,,,,,,
119, 744,A,Post Moratorium          ,     109.180,   28.200001,LO Globigerina labiacrassata
,,,,,,
119, 744,A,Post Moratorium          ,     110.050,   26.200001,FO Rocella gelida
,,,,,,
119, 744,A,Post Moratorium          ,     117.680,   30.100000,LO Chiloguembelina cubensis
,,,,,,
119, 744,A,Post Moratorium          ,     118.650,   32.000000,LO Subbotina angiporoides
,,,,,,
119, 744,A,Post Moratorium          ,     121.800,   32.000000,FO Rocella vigilans
,,,,,,
119, 744,A,Post Moratorium          ,     124.050,   33.000000,FO Synedra jouseana
,,,,,,
119, 744,A,Post Moratorium          ,     127.080,   32.200001,LO Reticulofenestra umbilica
,,,,,,
119, 744,A,Post Moratorium          ,     128.000,   33.000000,LO Rhizosolenia oligocenica
,,,,,,
119, 744,A,Post Moratorium          ,     130.700,   34.799999,LO Isthmolithus recurvus
,,,,,,
119, 744,A,Post Moratorium          ,     147.120,   35.500000,FO Rhizosolenia oligocenica
,,,,,,
119, 744,A,Post Moratorium          ,     147.980,   36.000000,LO Reticulofenestra oamaruensis
,,,,,,
119, 744,A,Post Moratorium          ,     157.550,   37.099998,LO Globigerinatheka index
,,,,,,
119, 744,A,Post Moratorium          ,     161.610,   36.400002,LO Discoaster saipanensis
,,,,,,
119, 744,A,Post Moratorium          ,     166.970,   38.000000,FO Reticulofenestra oamaruensis
,,,,,,
119, 744,A,Post Moratorium          ,     169.600,   38.799999,FO Isthmolithus recurvus
,,,,,,
