Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
128, 798,B,Post Moratorium          ,      79.500,    0.730000,Brunhes/Matuyama boundary
,,,,,,
128, 798,B,Post Moratorium          ,      90.000,    0.900000,Top Jaramillo
,,,,,,
128, 798,B,Post Moratorium          ,      99.500,    0.980000,Bottom Jaramillo
,,,,,,
128, 798,B,Post Moratorium          ,     190.000,    1.660000,Top Olduvai
,,,,,,
128, 798,B,Post Moratorium          ,     212.000,    1.880000,Bottom Olduvai
,,,,,,
128, 798,B,Post Moratorium          ,     295.000,    2.470000,Top Gauss
,,,,,,
128, 798,B,Post Moratorium          ,     320.000,    2.920000,Top Kaena
,,,,,,
128, 798,B,Post Moratorium          ,     330.000,    2.990000,Base Kaena
,,,,,,
128, 798,B,Post Moratorium          ,     410.000,    3.080000,Top Mammoth
,,,,,,
128, 798,B,Post Moratorium          ,     420.000,    3.180000,Base Mammoth
,,,,,,
