Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
145, 884,C,Post Moratorium          ,       7.150,    0.050000,R1; LO Lychnocanoma nipponica sakaii
,,,,,,
145, 884,C,Post Moratorium          ,      16.650,    0.300000,D1; LO Simonseniella curvirostris
,,,,,,
145, 884,C,Post Moratorium          ,      26.150,    0.550000,R3; LO Stylatractus universus
,,,,,,
145, 884,C,Post Moratorium          ,      64.150,    1.000000,R4; LO Eucyrtidium matuyamai
,,,,,,
145, 884,C,Post Moratorium          ,      83.300,    2.000000,R5; FO Eucyrtidium matuyamai
,,,,,,
145, 884,C,Post Moratorium          ,     141.150,    2.650000,D5; LCO Neodenticula kamtschatica
,,,,,,
145, 884,C,Post Moratorium          ,     160.500,    3.150000,D7; LO Thalassiosira marujamica
,,,,,,
145, 884,C,Post Moratorium          ,     199.150,    3.680000,D8; FO Neodenticula koizumii
,,,,,,
145, 884,C,Post Moratorium          ,     208.850,    3.750000,D9; FO Actinocyclus oculatus
,,,,,,
145, 884,C,Post Moratorium          ,     266.420,    4.550000,D10; LO Thalassiosira jacksonii (plicate)
,,,,,,
145, 884,C,Post Moratorium          ,     275.230,    4.850000,D11; FO Thalassiosira latimarginata s. str.
,,,,,,
145, 884,C,Post Moratorium          ,     285.900,    5.300000,D12; FO Thalassiosira oestrupii
,,,,,,
145, 884,C,Post Moratorium          ,     324.360,    5.950000,D13; FO Thalassiosira praeoestrupii
,,,,,,
145, 884,C,Post Moratorium          ,     343.450,    6.200000,D14; FO Thalassiosira miocenica
,,,,,,
